reviewer_label,n_cases,s_text_median,s_text_q25,s_text_q75,s_cpv_median,s_cpv_q25,s_cpv_q75,s_time_median,s_time_q25,s_time_q75,s_buyer_median,s_buyer_q25,s_buyer_q75,composite_score_median,composite_score_q25,composite_score_q75,gbm_score_median,gbm_score_q25,gbm_score_q75,top1_top2_margin_median,top1_top2_margin_q25,top1_top2_margin_q75,n_candidates_for_source_median,n_candidates_for_source_q25,n_candidates_for_source_q75,gap_months_median,gap_months_q25,gap_months_q75,buyer_n_sources_median,buyer_n_sources_q25,buyer_n_sources_q75
CORRECT_LINK,8,0.5427753111821508,0.42619706496134335,0.6745215427849741,1.0,0.1,1.0,0.6441086289969338,0.34570740254051685,0.761826544021025,0.6,0.6,1.0,0.6658056446989458,0.4899068446254933,0.7496291165293311,0.691378428481267,0.3248690593997797,0.9026075161716586,0.26934858691145763,0.17905983699842018,0.391955750480148,4.5,2.5,9.0,8.130749014454665,6.118593955321945,9.329829172141919,9.0,6.75,25.5
CORRECT_REJECTION,21,0.06977906185062405,0.025237750190312574,0.14632966799010405,0.0,0.0,0.1,0.6550591327201052,0.3662395970214629,0.8439553219448095,0.6,0.6,1.0,0.31284190213406454,0.2840779145359966,0.3235003084273246,,,,0.07411466716836715,0.0065088586649667,0.1592246423524977,1.0,1.0,4.0,8.639947437582128,6.562089356110381,10.65210249671485,13.0,5.0,61.0
INSUFFICIENT_INFORMATION,3,0.0673083210820267,0.03862710014225145,0.09598954202180195,0.55,0.325,0.775,0.6769601401664476,0.6687472623740691,0.6851730179588261,0.6,0.6,0.6,0.4177979474203213,0.358283155301148,0.4773127395394946,0.6280855193487622,0.47043403739816747,0.7857370012993571,0.15155840296018594,0.07795342284929158,0.2251633830710803,1.0,0.5,2.5,11.136662286465176,9.822601839684625,12.450722733245728,9.0,8.5,19.5
MISSED_LINK,4,0.01997621167629355,0.013309516354917877,0.026642906997669226,0.1,0.05,0.15000000000000002,0.21977660972404725,0.1773434077967586,0.2622098116513359,0.6,0.6,0.6,0.1519358265177145,0.12399418267341085,0.17987747036201815,,,,0.1519358265177145,0.12399418267341085,0.17987747036201815,0.5,0.0,1.0,3.580814717477004,3.1701708278580814,3.9914586070959266,6.5,3.25,13.75
WRONG_LINK,64,0.10095120711714234,0.018164184342720373,0.2284977797112302,0.2,0.1,1.0,0.6386333771353483,0.2498904949627682,0.8480617608409987,0.6,0.6,0.6,0.3977135691529401,0.3063422368632361,0.4935656444227603,0.48388945676613637,0.27226276705472563,0.8530792855071635,0.11932640741742055,0.036586552100369596,0.26274092765773843,2.0,1.0,7.5,6.521024967148488,4.977003942181341,9.485873850197109,20.0,8.0,40.0
