buyer_key,n_sources,rank,cumulative_source_share
NAME:cc vendee grand littoral,5,123,0.6396449704142012
NAME:cc ocean marais de monts,5,124,0.6411242603550296
NAME:ville de thouare-sur-loire,5,125,0.642603550295858
NAME:chu d angers,5,126,0.6440828402366864
SIRET:12000601000058,5,127,0.6455621301775148
NAME:commune de saint jean de monts,5,128,0.6470414201183432
NAME:vendee grand littoral,5,129,0.6485207100591716
NAME:insee,5,130,0.65
SIRET:54665016900057,5,131,0.6514792899408284
SIRET:23350001600040,5,132,0.6529585798816568
NAME:universite gustave eiffel,5,133,0.6544378698224852
SIRET:31468496000045,5,134,0.6559171597633137
NAME:ca pornic agglo pays de retz,5,135,0.657396449704142
NAME:territoire d energie loire-atlantique,5,136,0.6588757396449704
NAME:ville de reze,5,137,0.6603550295857988
NAME:commune de pornic,5,138,0.6618343195266272
NAME:sdis 49,5,139,0.6633136094674557
SIRET:24440061000055,5,140,0.664792899408284
NAME:commune de reze,5,141,0.6662721893491125
NAME:centre hospitalier de saint-nazaire,5,142,0.6677514792899408
NAME:angers loire metropole 49,5,143,0.6692307692307692
NAME:lycee polyvalent leonard de vinci,5,144,0.6707100591715977
SIRET:25850022200033,5,145,0.672189349112426
NAME:universite de rennes 1,5,146,0.6736686390532545
NAME:cte de communes de la region de blain,5,147,0.6751479289940828
NAME:angers nantes opera syndicat mixte,5,148,0.6766272189349113
NAME:ville de saint sebastien sur loire,4,149,0.677810650887574
NAME:cci nantes saint-nazaire,4,150,0.6789940828402367
NAME:ville d alencon,4,151,0.6801775147928995
SIRET:25440253000011,4,152,0.6813609467455621
NAME:communaute de cnes terres de montaigu,4,153,0.6825443786982248
SIRET:20007187600011,4,154,0.6837278106508876
SIRET:18009202500121,4,155,0.6849112426035503
NAME:cesame - ch de sainte gemmes sur loire,4,156,0.686094674556213
NAME:concarneau cornouaille agglomeration,4,157,0.6872781065088758
NAME:syndicat departemental d energie,4,158,0.6884615384615385
NAME:cci de maine et loire,4,159,0.6896449704142011
SIRET:20004131700013,4,160,0.6908284023668639
NAME:cci pays de la loire,4,161,0.6920118343195266
NAME:st gilles croix de vie agglomeration,4,162,0.6931952662721893
NAME:uniha gcs,4,163,0.6943786982248521
SIRET:18440128900022,4,164,0.6955621301775148
SIRET:24440055200026,4,165,0.6967455621301775
SIRET:26490003600015,4,166,0.6979289940828403
SIRET:13001855900018,4,167,0.6991124260355029
NAME:com d agglo reg nazairienne estuaire,4,168,0.7002958579881656
NAME:universite de rennes,4,169,0.7014792899408284
NAME:chambre agriculture pays de la loire,4,170,0.7026627218934911
NAME:ubs,4,171,0.7038461538461539
SIRET:13001232100050,4,172,0.7050295857988166
NAME:mairie de saint-herblain,4,173,0.7062130177514793
NAME:ville d avrille,4,174,0.7073964497041421
NAME:centre hospitalier paul chapron,4,175,0.7085798816568047
SIRET:26720016000013,4,176,0.7097633136094674
NAME:ville de coulaines,4,177,0.7109467455621302
NAME:si energies de maine et loire,4,178,0.7121301775147929
NAME:commune de la baule,4,179,0.7133136094674556
NAME:universite de la rochelle,4,180,0.7144970414201184
SIRET:92084215000012,4,181,0.7156804733727811
NAME:vendee,4,182,0.7168639053254438
NAME:institut 4 10,4,183,0.7180473372781065
NAME:mairie de reze,4,184,0.7192307692307692
NAME:communaute de communes sud vendee littoral,4,185,0.7204142011834319
NAME:dir interdepartementale routes ouest,4,186,0.7215976331360947
NAME:centre hospitalier de laval,4,187,0.7227810650887574
NAME:caisse des depots,4,188,0.7239644970414201
NAME:acoss,3,189,0.7248520710059172
SIRET:88324710800011,3,190,0.7257396449704142
NAME:saint barthelemy d anjou,3,191,0.7266272189349112
NAME:mayenne tres haut debit,3,192,0.7275147928994082
NAME:mairie,3,193,0.7284023668639054
NAME:greta loire atlantique,3,194,0.7292899408284024
NAME:cte de cnes de la vallee de clisson,3,195,0.7301775147928994
NAME:prefecture,3,196,0.7310650887573964
NAME:mairie de blain,3,197,0.7319526627218935
NAME:association e-toile,3,198,0.7328402366863905
SIRET:79924570900016,3,199,0.7337278106508875
SIRET:20007326000016,3,200,0.7346153846153847
SIRET:20006947400019,3,201,0.7355029585798817
NAME:semitan mandataire de la cun,3,202,0.7363905325443787
NAME:commune de chemille en anjou,3,203,0.7372781065088757
SIRET:21350051500019,3,204,0.7381656804733728
NAME:mancelle d habitation,3,205,0.7390532544378698
SIRET:79820357600029,3,206,0.7399408284023669
NAME:ville d arnage,3,207,0.7408284023668639
SIRET:19440100600011,3,208,0.741715976331361
NAME:institut regional administration lyon,3,209,0.742603550295858
NAME:gcs esante pays de la loire,3,210,0.743491124260355
NAME:centre de gestion fpt loire-atlantique,3,211,0.744378698224852
NAME:territoire energie loire atlantique,3,212,0.7452662721893492
NAME:commune d avrille,3,213,0.7461538461538462
SIRET:20005433600017,3,214,0.7470414201183432
SIRET:25490130900032,3,215,0.7479289940828402
NAME:c s t b,3,216,0.7488165680473373
NAME:vendee habitat - oph de vendee,3,217,0.7497041420118343
NAME:centre de gestion de la fonction publi,3,218,0.7505917159763313
SIRET:21850222700018,3,219,0.7514792899408284
NAME:region des pays de la loire,3,220,0.7523668639053255
NAME:c h d la roche sur yon-lucon-montaigu,3,221,0.7532544378698225
SIRET:20004248900019,3,222,0.7541420118343195
SIRET:28490001600023,3,223,0.7550295857988165
NAME:comsopgn,3,224,0.7559171597633136
SIRET:27490003400019,3,225,0.7568047337278107
NAME:ccrla,3,226,0.7576923076923077
SIRET:18440128900386,3,227,0.7585798816568048
NAME:ville de saint-hilaire-de-riez,3,228,0.7594674556213018
NAME:institut mines-telecom atlantique,3,229,0.7603550295857988
NAME:synd dep d energie et d eqpt de vendee,3,230,0.7612426035502958
SIRET:24440043800127,3,231,0.762130177514793
NAME:mairie de saint etienne de montluc,3,232,0.76301775147929
NAME:sgami ouest,3,233,0.763905325443787
NAME:commune de ombree d anjou,3,234,0.764792899408284
NAME:ifth,3,235,0.7656804733727811
NAME:mairie de st herblain,3,236,0.7665680473372781
NAME:museum national d histoire naturelle,3,237,0.7674556213017751
SIRET:20003329800015,3,238,0.7683431952662721
SIRET:25720243200015,3,239,0.7692307692307693
NAME:caf de la sarthe,3,240,0.7701183431952663
SIRET:38105376800028,3,241,0.7710059171597633
NAME:geves,3,242,0.7718934911242603
NAME:ville de vertou,3,243,0.7727810650887574
NAME:ville de bouchemaine,3,244,0.7736686390532544
SIRET:18004301001485,3,245,0.7745562130177515
NAME:ca saumur val de loire,3,246,0.7754437869822485
NAME:esat foyers,3,247,0.7763313609467456
NAME:commune du croisic,3,248,0.7772189349112426
NAME:oti du pays de st gilles croix de vie,3,249,0.7781065088757396
NAME:mairie de la chapelle sur erdre,3,250,0.7789940828402366
NAME:sydela,3,251,0.7798816568047338
NAME:communaute de communes sevre et loire,3,252,0.7807692307692308
NAME:saint nazaire agglomeration tourisme,3,253,0.7816568047337278
NAME:communaute de communes de sable,3,254,0.7825443786982249
NAME:chu nantes,3,255,0.7834319526627219
SIRET:25440253000029,3,256,0.7843195266272189
NAME:unicancer achats,3,257,0.785207100591716
SIRET:18440132100015,2,258,0.7857988165680473
NAME:epcc esbanm,2,259,0.7863905325443787
SIRET:80355563000018,2,260,0.7869822485207101
SIRET:26850242400016,2,261,0.7875739644970414
NAME:ville de noirmoutier,2,262,0.7881656804733728
NAME:syndicat d eau de l anjou 49,2,263,0.7887573964497041
SIRET:13002068800011,2,264,0.7893491124260354
NAME:ville de saint-herblain,2,265,0.7899408284023669
NAME:etablissement public foncier bretagne,2,266,0.7905325443786982
NAME:centre hospitalier le faouet,2,267,0.7911242603550296
NAME:saeml la folle journee,2,268,0.7917159763313609
NAME:le grand t - theatre loire-atlantique,2,269,0.7923076923076923
SIRET:50519064500018,2,270,0.7928994082840237
NAME:etablissement francais du sang,2,271,0.7934911242603551
SIRET:18000501900047,2,272,0.7940828402366864
NAME:service public local,2,273,0.7946745562130177
NAME:grand port maritime de nantes saint-nazaire,2,274,0.7952662721893491
SIRET:28850001000013,2,275,0.7958579881656804
NAME:sdegm,2,276,0.7964497041420119
SIRET:17440430100015,2,277,0.7970414201183432
NAME:adoma,2,278,0.7976331360946746
NAME:communaute de communes baugeois vallee,2,279,0.7982248520710059
NAME:maine loire habitat office pub habitat,2,280,0.7988165680473372
NAME:dragages ports,2,281,0.7994082840236686
NAME:cci metropolitaine bretagne ouest,2,282,0.8
NAME:mairie de cordemais,2,283,0.8005917159763314
NAME:dir interdepartementale des rte ouest,2,284,0.8011834319526627
SIRET:24610066300011,2,285,0.8017751479289941
NAME:soc publique reg abe de fontevraud,2,286,0.8023668639053254
SIRET:37977417700016,2,287,0.8029585798816568
SIRET:20006763500132,2,288,0.8035502958579882
SIRET:52411092100037,2,289,0.8041420118343195
SIRET:21490328800014,2,290,0.8047337278106509
NAME:sde35,2,291,0.8053254437869822
NAME:chambre reg agri pays de la loire,2,292,0.8059171597633136
SIRET:20007186800158,2,293,0.806508875739645
SIRET:05720113900045,2,294,0.8071005917159764
