buyer_key_type,n_sources,n_buyers,median_sources_per_buyer,candidate_pair_count,link_count,source_share
NAME_FALLBACK,2506,580,2.0,8507,721,0.7414201183431952
RAW_SIRET,874,239,1.0,2355,282,0.25857988165680473
