layer,eligible_source_count,unique_buyer_keys,sources_with_at_least_one_candidate,zero_candidate_sources,blocking_coverage,candidate_pair_count,accepted_links,overall_linking_rate,acceptance_rate_conditional_on_candidates,unique_selected_candidates,candidate_reuse_rate,maximum_candidate_multiplicity,n_potential_tier_links,event_rate_survival_handoff,median_link_text_similarity,median_link_margin
boamp_only,3159,790,1236,1923,0.3912630579297246,6137,618,0.1956315289648623,0.5,443,0.27313769751693,6,235,0.1956315289648623,0.16921934433345118,0.08208664889990475
enriched,3159,778,1504,1655,0.47610003165558723,8228,847,0.26812282367837925,0.5631648936170213,570,0.29473684210526313,8,328,0.26812282367837925,0.14562679778885645,0.07465638137712088
