source_notice_id,linked_l1,linked_l2,candidate_l1,candidate_l2,score_l1,score_l2,margin_l1,margin_l2,confidence_tier_l1,confidence_tier_l2,mechanism_l2,link_status
15-31076,False,False,,,,,,,,,,UNLINKED_BOTH
15-64142,True,True,15-169809,15-169809,0.49667398139987223,0.5116739813998723,0.028942380213564656,0.02894238021356471,POTENTIAL,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-50278,False,False,,,,,,,,,,UNLINKED_BOTH
15-50732,False,False,,,,,,,,,,UNLINKED_BOTH
15-51571,False,False,,,,,,,,,,UNLINKED_BOTH
15-55527,False,False,,,,,,,,,,UNLINKED_BOTH
15-56776,False,False,,,,,,,,,,UNLINKED_BOTH
15-55114,False,False,,,,,,,,,,UNLINKED_BOTH
15-51820,False,False,,,,,,,,,,UNLINKED_BOTH
15-55973,False,False,,,,,,,,,,UNLINKED_BOTH
15-58213,False,False,,,,,,,,,,UNLINKED_BOTH
15-63415,True,True,15-126308,15-126308,0.3913895925017935,0.4063895925017935,0.04761237780586597,0.04761237780586597,POTENTIAL,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-50024,True,True,15-159973,15-159973,0.42458603265586553,0.43958603265586554,0.12386617043017295,0.12386617043017295,MEDIUM,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-65940,False,False,,,,,,,,,,UNLINKED_BOTH
15-65742,False,True,,15-142353,,0.3913092371319065,,0.3913092371319065,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT
15-76604,False,False,,,,,,,,,,UNLINKED_BOTH
15-76852,True,True,15-173700,15-173700,0.3913333844049117,0.40633338440491173,0.06259106019946586,0.06259106019946586,MEDIUM,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-81652,True,True,16-7903,16-7903,0.37920420690866397,0.37920420690866397,0.010425905168698735,0.01042590516869879,POTENTIAL,POTENTIAL,M0_NAME_FALLBACK,SAME_LINK
15-74702,False,False,,,,,,,,,,UNLINKED_BOTH
15-75102,False,False,,,,,,,,,,UNLINKED_BOTH
15-78724,False,False,,,,,,,,,,UNLINKED_BOTH
15-78916,True,True,16-72442,16-72442,0.35152169048029624,0.36652169048029626,0.03024982631184997,0.03024982631184997,POTENTIAL,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-68078,False,False,,,,,,,,,,UNLINKED_BOTH
15-74861,False,False,,,,,,,,,,UNLINKED_BOTH
15-79398,False,False,,,,,,,,,,UNLINKED_BOTH
15-81231,False,False,,,,,,,,,,UNLINKED_BOTH
15-71764,True,True,16-32344,16-32344,0.4091085902780168,0.42410859027801684,0.07952108254392254,0.04585815234774426,MEDIUM,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-72457,False,True,,15-141361,,0.5513735045520598,,0.11897540894560482,,HIGH,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT
15-67480,False,False,,,,,,,,,,UNLINKED_BOTH
15-75567,True,True,15-159244,15-159244,0.6666185365260533,0.6666185365260533,0.23644778864190175,0.23644778864190175,HIGH,HIGH,M0_NAME_FALLBACK,SAME_LINK
15-79099,True,True,15-185335,15-185335,0.3466581339884194,0.3466581339884194,0.06900627269958393,0.06900627269958393,MEDIUM,MEDIUM,EXACT_SIRET_RECONCILIATION,SAME_LINK
15-70236,False,False,,,,,,,,,,UNLINKED_BOTH
