population,score,count,mean,std,min,p25,p50,p75,max
all_candidate_pairs,m0_composite_score,6137.0,0.2504968148534396,0.11087612880619659,0.06,0.1717441908753584,0.24077776514623,0.3082036562145999,0.9381483561867048
all_candidate_pairs,s_text,6137.0,0.08341561832085996,0.15504856873037157,0.0,0.0111936710921891,0.0273042614054337,0.0885771189702553,1.0000000000000002
all_candidate_pairs,s_cpv,6137.0,0.10322633208408016,0.17922408030817225,0.0,0.0,0.1,0.1,1.0
all_candidate_pairs,s_time,6137.0,0.4981563469990338,0.2911570749763248,0.0,0.2389399912395969,0.5017520805957074,0.7536136662286466,1.0
all_candidate_pairs,s_buyer,6137.0,0.6579436206615609,0.14079494026478287,0.6,0.6,0.6,0.6,1.0
rank1_best_candidate,m0_composite_score,1236.0,0.3450732011445297,0.14167141535901925,0.06,0.26420166983556403,0.32302169365652333,0.39308340344166265,0.9381483561867048
rank1_best_candidate,s_text,1236.0,0.1800469298303267,0.2716549285654451,0.0,0.01493797928866735,0.05290271811467765,0.21708881473128447,1.0000000000000002
rank1_best_candidate,s_cpv,1236.0,0.17686084142394823,0.27795991914590695,0.0,0.0,0.1,0.2,1.0
rank1_best_candidate,s_time,1236.0,0.648939076925694,0.28599842526450103,0.0,0.4579500657030223,0.731712658782304,0.8904949627682873,1.0
rank1_best_candidate,s_buyer,1236.0,0.6676375404530743,0.14999460615976382,0.6,0.6,0.6,0.6,1.0
