variable,type,level,event_mean,censored_mean,standardized_mean_difference,event_share,censored_share
declared_duration_months,numeric,,28.48705501618123,33.96536796536797,-0.2961330666008623,,
n_scored_candidates,numeric,,6.825242718446602,0.7552144824872098,1.3008507081313947,,
buyer_publication_frequency,numeric,,63.35275080906149,19.255804801259348,0.8813127180927856,,
publication_year,categorical_share,2015,,,,0.13268608414239483,0.07241243604879968
publication_year,categorical_share,2016,,,,0.13268608414239483,0.0889413616686344
publication_year,categorical_share,2017,,,,0.17313915857605178,0.08461235733963007
publication_year,categorical_share,2018,,,,0.1343042071197411,0.0881542699724518
publication_year,categorical_share,2019,,,,0.11003236245954692,0.09681227863046045
publication_year,categorical_share,2020,,,,0.08576051779935275,0.08107044470680834
publication_year,categorical_share,2021,,,,0.06634304207119741,0.1042896497441952
publication_year,categorical_share,2022,,,,0.032362459546925564,0.11216056670602124
publication_year,categorical_share,2023,,,,0.016181229773462782,0.10743801652892562
publication_year,categorical_share,2024,,,,0.04854368932038835,0.07083825265643448
publication_year,categorical_share,2025,,,,0.05663430420711974,0.06060606060606061
publication_year,categorical_share,2026,,,,0.011326860841423949,0.03266430539157812
buyer_key_type,categorical_share,NAME_FALLBACK,,,,0.7766990291262136,0.773711137347501
buyer_key_type,categorical_share,RAW_SIRET,,,,0.22330097087378642,0.226288862652499
cpv_division,categorical_share,09,,,,0.0,0.0003935458480913026
cpv_division,categorical_share,16,,,,0.0,0.0003935458480913026
cpv_division,categorical_share,22,,,,0.0,0.0011806375442739079
cpv_division,categorical_share,30,,,,0.038834951456310676,0.07044470680834317
cpv_division,categorical_share,31,,,,0.0016181229773462784,0.0015741833923652105
cpv_division,categorical_share,32,,,,0.06796116504854369,0.12908303817394726
cpv_division,categorical_share,33,,,,0.011326860841423949,0.0011806375442739079
cpv_division,categorical_share,34,,,,0.0,0.0007870916961826052
cpv_division,categorical_share,35,,,,0.02912621359223301,0.05470287288469106
cpv_division,categorical_share,38,,,,0.0,0.005116096025186935
cpv_division,categorical_share,39,,,,0.008090614886731391,0.0019677292404565133
cpv_division,categorical_share,42,,,,0.003236245954692557,0.006690279417552145
cpv_division,categorical_share,43,,,,0.0016181229773462784,0.0
cpv_division,categorical_share,44,,,,0.0048543689320388345,0.0011806375442739079
cpv_division,categorical_share,45,,,,0.021035598705501618,0.029122392758756395
cpv_division,categorical_share,48,,,,0.11650485436893204,0.15505706414797324
cpv_division,categorical_share,50,,,,0.0048543689320388345,0.018496654860291225
cpv_division,categorical_share,51,,,,0.0,0.0003935458480913026
cpv_division,categorical_share,55,,,,0.0,0.0003935458480913026
cpv_division,categorical_share,64,,,,0.0048543689320388345,0.0023612750885478157
cpv_division,categorical_share,65,,,,0.0,0.0003935458480913026
cpv_division,categorical_share,66,,,,0.0016181229773462784,0.0019677292404565133
cpv_division,categorical_share,71,,,,0.003236245954692557,0.021251475796930343
cpv_division,categorical_share,72,,,,0.2993527508090615,0.27705627705627706
cpv_division,categorical_share,75,,,,0.0016181229773462784,0.0023612750885478157
cpv_division,categorical_share,77,,,,0.0,0.0003935458480913026
cpv_division,categorical_share,79,,,,0.019417475728155338,0.018496654860291225
cpv_division,categorical_share,80,,,,0.0016181229773462784,0.0070838252656434475
cpv_division,categorical_share,85,,,,0.0,0.0027548209366391185
cpv_division,categorical_share,90,,,,0.0016181229773462784,0.0011806375442739079
cpv_division,categorical_share,92,,,,0.006472491909385114,0.0035419126328217238
cpv_division,categorical_share,nan,,,,0.3511326860841424,0.18299881936245574
dur_was_imputed,categorical_share,False,,,,0.11165048543689321,0.12160566706021252
dur_was_imputed,categorical_share,True,,,,0.8883495145631068,0.8783943329397875
zero_candidate_cause,categorical_share,has_candidates,,,,1.0,0.24321133412042503
zero_candidate_cause,categorical_share,no_later_same_buyer_notice,,,,0.0,0.3140495867768595
zero_candidate_cause,categorical_share,temporal_window_excluded_all_later_same_buyer,,,,0.0,0.4427390791027155
