,0
siret_or_siren_missing,0.7277572291221063
name_fallback,0.7277572291221063
cpv_missing_or_generic,0.34651335925221277
duration_missing,0.8635477352492821
text_weak_or_missing,0.10446332557342566
award_link_unresolved,0.7596870827080108
,siret_or_siren_missing,name_fallback,cpv_missing_or_generic,duration_missing,text_weak_or_missing,award_link_unresolved
siret_or_siren_missing,1.0,1.0,-0.06310068657365751,0.2188280012721617,-0.0050668176965429634,0.05223484176132525
name_fallback,1.0,1.0,-0.06310068657365751,0.2188280012721617,-0.0050668176965429634,0.05223484176132525
cpv_missing_or_generic,-0.06310068657365751,-0.06310068657365751,1.0,-0.33240478404430573,-0.004236408670130901,0.12831177474453553
duration_missing,0.2188280012721617,0.2188280012721617,-0.33240478404430573,1.0,-0.003349779624282722,-0.0010388066223187768
text_weak_or_missing,-0.0050668176965429634,-0.0050668176965429634,-0.004236408670130901,-0.003349779624282722,1.0,0.007176580621085768
award_link_unresolved,0.05223484176132525,0.05223484176132525,0.12831177474453553,-0.0010388066223187768,0.007176580621085768,1.0
