variant,term,test_statistic,p,-log2(p)
broad,buyer_key_type_RAW_SIRET,0.4518524611527517,0.5014565603775843,0.9958033648220258
broad,cpv_division_22.0,0.7304564134130745,0.39273528714375694,1.348370865357266
broad,cpv_division_30.0,6.273854888849057,0.01225322792038512,6.3506943351359455
broad,cpv_division_31.0,0.1497918907984698,0.6987343142589344,0.5171841033284595
broad,cpv_division_32.0,8.262844111855527,0.004046468486162093,7.94912092484113
broad,cpv_division_33.0,0.1037322680335831,0.7473959213203318,0.4200554042045444
broad,cpv_division_34.0,0.1775410054704753,0.6734950338591512,0.5702607871406743
broad,cpv_division_35.0,2.199629753648447,0.1380438906620092,2.8568010541664215
broad,cpv_division_38.0,1.2050508307317789,0.27231451191573175,1.8766542277792757
broad,cpv_division_39.0,0.005220280798477958,0.9424017526424388,0.08558587264788979
broad,cpv_division_42.0,0.06995264812948869,0.7914057368028714,0.33751057161989284
broad,cpv_division_43.0,1.110504952707231,0.29197220937273244,1.7760970384813006
broad,cpv_division_44.0,0.03397831225723687,0.8537529562611419,0.22810942590524347
broad,cpv_division_45.0,0.09646725511419403,0.7561109753496519,0.40333009875222153
broad,cpv_division_48.0,6.419113878573185,0.011289848101449212,6.468830114182868
broad,cpv_division_50.0,0.9625207343499657,0.3265525966879153,1.6146127145412243
broad,cpv_division_51.0,5.430338812265785,0.019789839289951316,5.659096293232235
broad,cpv_division_55.0,0.3205976957213368,0.5712486729552704,0.807809186179367
broad,cpv_division_64.0,0.00643715808524872,0.9360528178779245,0.09533815702240926
broad,cpv_division_65.0,0.3060909155481782,0.5800889213018225,0.785654028288153
broad,cpv_division_66.0,0.020522989044669333,0.8860860540948399,0.17448127896582227
broad,cpv_division_71.0,0.8357420976061877,0.36061737939667393,1.4714591679862035
broad,cpv_division_72.0,17.30460195862597,3.1841478681373594e-05,14.938733139913595
broad,cpv_division_75.0,0.20641758119015985,0.6495898754765779,0.622398948068647
broad,cpv_division_77.0,1.8685470678178207,0.17164157842779998,2.5425290215042686
broad,cpv_division_79.0,7.922732892051693,0.0048817476932296105,7.678386551430103
broad,cpv_division_80.0,0.021936147253775403,0.8822570894992388,0.1807289768596371
broad,cpv_division_85.0,0.029909058425509075,0.862696738130817,0.21307459375078416
broad,cpv_division_9.0,0.7684882722928195,0.3806851240304716,1.3933298998408385
broad,cpv_division_90.0,0.011133150260229636,0.9159681644026829,0.12663063832990756
broad,cpv_division_92.0,1.2001421578200895,0.27329326737781157,1.871478175605403
broad,cpv_division_MISSING,3.984020123069634,0.0459338103750488,4.444299724500782
broad,dur_was_imputed,14.16199897975309,0.0001677239838621741,12.54162337624665
broad,duration_sq,38.38394872005059,5.810837708375613e-10,30.680534786861667
broad,log_duration,22.947064197425334,1.6652433405700212e-06,19.195835556843335
