window_months,n_eligible_sources,n_sources_with_candidate,blocking_coverage,n_candidate_pairs,n_links,linking_rate,threshold_p50,median_margin,n_reused_candidates,max_candidate_multiplicity,jaccard_vs_reference,source_event_status_changes,survival_at_24m,rmst_60m,mean_s_text,mean_s_cpv,mean_s_time,mean_s_buyer
6,3159,1236,0.3912630579297246,6137,618,0.1956315289648623,0.3230216936565234,0.08271847224585346,121,6,1.0,0,0.9140593013493117,53.51300707789051,0.30476749342403314,0.29563106796116506,0.7187573977917547,0.6893203883495144
9,3159,1386,0.43874643874643876,8692,693,0.21937321937321938,0.3344010410609952,0.07518112494137671,131,6,0.7364238410596027,97,0.9048845027476137,52.801371489616145,0.34108817383979456,0.33823953823953823,0.7295241381969372,0.6900432900432899
12,3159,1508,0.4773662551440329,10793,754,0.23868312757201646,0.3441998756369461,0.07281563492058818,149,8,0.5788262370540852,196,0.8993890037943699,52.222053442726235,0.37073226085855165,0.3812997347480106,0.717672341177031,0.6933687002652518
18,3159,1668,0.5280151946818613,14097,834,0.26400759734093066,0.3542940146426595,0.060582291308925534,155,9,0.45345345345345345,306,0.8899172019456192,51.36121775326009,0.37997193872772494,0.41426858513189446,0.7470836296359321,0.6925659472422061
