scope_dim,value,n,siret_or_siren_missing_rate,cpv_missing_rate,duration_missing_rate,text_missing_rate
is_digital_scope,False,79793,0.7264922988232051,0.30387377338864313,0.8608399233015427,1.2532427656561352e-05
is_digital_scope,True,4830,0.7486542443064182,0.18074534161490682,0.9082815734989648,0.0
is_in_pdl,True,84623,0.7277572291221063,0.29684601113172543,0.8635477352492821,1.181711827753684e-05
