metric,value
historical_2015_2023_notices_gaining_siren,919
m0_source_notices_gaining_siren_any_year,1215
m0_name_fallback_sources_become_siren_keyed,1215
automatic_historical_aliases,1247
ambiguous_or_review_only_aliases,1912
ambiguous_multiple_siren_aliases,48
incremental_links_from_historical_aliases,198
