method,eligible_source_count,sources_with_at_least_one_candidate,zero_candidate_sources,blocking_coverage,candidate_pair_count,accepted_links,overall_linking_rate,acceptance_rate_conditional_on_candidates,unique_selected_candidates,candidate_reuse_rate,maximum_candidate_multiplicity,event_rate_survival_handoff
M0_BALANCED_OFFICIAL,3159,1236,1923,0.3912630579297246,6137,618,0.1956315289648623,0.5,443,0.27313769751693,6,0.1956315289648623
M1_BUYER_SIREN_ENRICHED,3159,1504,1655,0.47610003165558723,8228,847,0.26812282367837925,0.5631648936170213,570,0.29473684210526313,8,0.26812282367837925
