sweep,R0,R1,R2,R3,delta_R
combined,1.0,0.9422310756972112,0.5717131474103586,0.4900398406374502,0.5099601593625498
cpv_only,1.0,0.9960159362549801,0.9661354581673307,0.7669322709163346,0.23306772908366535
text_only,1.0,0.9681274900398407,0.8764940239043825,0.8446215139442231,0.15537848605577687
duration_only,1.0,0.9800796812749004,0.7629482071713147,0.9900398406374502,0.009960159362549792
