class,dimension,alpha,beta,weighted_mean,weighted_var,gap_m_minus_u,gap_rank
mixing_weight,p_hat,,,0.1809373839237613,,,
M,s_buyer,1.7269599189247733,0.14981789918189542,0.9201728101555278,0.025533709674649324,0.32018910476195783,1.0
U,s_buyer,144.75328784157227,96.50874401080743,0.5999837053935699,0.0009906763219174838,0.32018910476195783,1.0
M,s_cpv,0.10746069683683533,0.3883133384649244,0.21675337792030175,0.11350066726234534,0.13852712955200436,2.0
U,s_cpv,0.45128283357411747,5.317661005448183,0.07822624836829738,0.010652607577984259,0.13852712955200436,2.0
M,s_text,0.10509160861746539,0.536890210118546,0.16369873032289095,0.08337574414736844,0.09793540767448643,3.0
U,s_text,0.3742447282798803,5.316537203173515,0.06576332264840452,0.009182560225707502,0.09793540767448643,3.0
M,s_time,0.9229596972892266,0.9637332473261452,0.4891944393619305,0.0865638447363829,-0.010942030410368786,4.0
U,s_time,0.9829892294957842,0.9824527826480546,0.5001364697722993,0.08430445793653071,-0.010942030410368786,4.0
