variant,term,exp_coef,ci_lower,ci_upper,p
balanced_reference,log_duration,0.6195518586194374,0.5420902334584747,0.7080823114445625,2.1333878835723547e-12
no_temporal_rescoring,log_duration,0.6978338314047655,0.5880294824968462,0.8281422458365708,3.8094812508549386e-05
forward_24m_no_duration,log_duration,1.3439313360014713,1.205881087804104,1.4977856889485524,9.029595929230489e-08
