file,year_in_filename,sha256,bytes,parquet_rows,read_rows,columns,date_min,date_max,missing_notice_id_count,missing_notice_id_rate,distinct_notice_ids,duplicate_notice_id_rows,notice_ids_with_multiple_rows,missing_siren_count,missing_siren_rate,missing_recovered_siret_count,missing_recovered_siret_rate,join_key_recommendation,many_to_many_risk,overlap_current_clean_boamp_notices,overlap_m0_source_notices,overlap_m0_candidate_notice_universe
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2024.parquet.parquet,2024,7185ea96eff1fb680f02e862cce4b23ea9f8afcc2fd1105dd9ffa5b71a29fefb,452801215,136625,136625,84,2024-01-01,2024-12-31,0,0.0,136625,0,0,5,3.659652333028362e-05,22163,0.1622177493138152,B_17_idweb -> notice_id,LOW,7547,210,92
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2025.parquet.parquet,2025,83c0527e0dc00cbc5fee65fec0987ba3f97e370cb88db9d57a50a6ebe2c2e049,477768824,137423,137423,84,2025-01-01,2025-12-31,0,0.0,137423,0,0,1,7.276802282005196e-06,40505,0.29474687643262043,B_17_idweb -> notice_id,LOW,7810,189,102
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2026.parquet.parquet,2026,05eb328232e2f06f8edff17358cfa9993c74e4b52be646fbb5015ac26935b7de,176082126,49890,49890,84,2026-01-01,2026-05-28,0,0.0,49890,0,0,1,2.0044097013429547e-05,15208,0.30483062738023653,B_17_idweb -> notice_id,LOW,2741,59,26
