stratum_dim,stratum_value,flag_a,flag_b,joint_rate,n
publication_year,2017,cpv_missing_or_generic,text_weak_or_missing,0.03915830546265329,7176
publication_year,2018,cpv_missing_or_generic,text_weak_or_missing,0.03567447045707915,7176
publication_year,2019,cpv_missing_or_generic,text_weak_or_missing,0.022230739747029514,7827
publication_year,2020,cpv_missing_or_generic,text_weak_or_missing,0.023664446648717585,7057
publication_year,2021,cpv_missing_or_generic,text_weak_or_missing,0.017484413120086743,7378
publication_year,2022,cpv_missing_or_generic,text_weak_or_missing,0.01737551867219917,7712
publication_year,2023,cpv_missing_or_generic,text_weak_or_missing,0.016932394018044743,8091
publication_year,2024,cpv_missing_or_generic,text_weak_or_missing,0.05830131177951504,7547
publication_year,2025,cpv_missing_or_generic,text_weak_or_missing,0.07285531370038412,7810
publication_year,2026,cpv_missing_or_generic,text_weak_or_missing,0.08756379264034381,3723
publication_year,2015,cpv_missing_or_generic,award_link_unresolved,0.3020833333333333,6144
publication_year,2016,cpv_missing_or_generic,award_link_unresolved,0.2923231165855056,6982
publication_year,2017,cpv_missing_or_generic,award_link_unresolved,0.28037904124860646,7176
publication_year,2018,cpv_missing_or_generic,award_link_unresolved,0.2633779264214047,7176
publication_year,2019,cpv_missing_or_generic,award_link_unresolved,0.21860227417912353,7827
publication_year,2020,cpv_missing_or_generic,award_link_unresolved,0.20391101034433895,7057
publication_year,2021,cpv_missing_or_generic,award_link_unresolved,0.16454323664949852,7378
publication_year,2022,cpv_missing_or_generic,award_link_unresolved,0.13887448132780084,7712
publication_year,2023,cpv_missing_or_generic,award_link_unresolved,0.1281670992460759,8091
publication_year,2024,cpv_missing_or_generic,award_link_unresolved,0.4840333907512919,7547
publication_year,2025,cpv_missing_or_generic,award_link_unresolved,0.5313700384122919,7810
publication_year,2026,cpv_missing_or_generic,award_link_unresolved,0.6473274241203331,3723
publication_year,2015,duration_missing,text_weak_or_missing,0.052083333333333336,6144
publication_year,2016,duration_missing,text_weak_or_missing,0.09810942423374391,6982
publication_year,2017,duration_missing,text_weak_or_missing,0.13740245261984393,7176
publication_year,2018,duration_missing,text_weak_or_missing,0.12416387959866221,7176
publication_year,2019,duration_missing,text_weak_or_missing,0.10284911204803884,7827
publication_year,2020,duration_missing,text_weak_or_missing,0.10245146662887912,7057
publication_year,2021,duration_missing,text_weak_or_missing,0.08918406072106262,7378
publication_year,2022,duration_missing,text_weak_or_missing,0.11021784232365145,7712
publication_year,2023,duration_missing,text_weak_or_missing,0.11852675812631319,8091
publication_year,2024,duration_missing,text_weak_or_missing,0.03988339737644097,7547
publication_year,2025,duration_missing,text_weak_or_missing,0.03610755441741357,7810
publication_year,2026,duration_missing,text_weak_or_missing,0.038678485092667206,3723
publication_year,2015,duration_missing,award_link_unresolved,0.7394205729166666,6144
