variant,n_links,event_rate,jaccard_vs_reference,event_status_changes_vs_reference,n_reused_candidates,max_candidate_multiplicity,observed_duration_event_rate,imputed_duration_event_rate,median_event_time
balanced_reference,618,0.1956315289648623,1.0,0,121,6,0.18253968253968253,0.19741100323624594,37.69710906701708
no_temporal_score_reference_pool,618,0.1956315289648623,0.41418764302059496,246,120,6,0.18518518518518517,0.19705142035239123,42.64126149802891
forward_24m_no_duration,1105,0.3497942386831276,0.06423718344657196,901,181,5,0.25132275132275134,0.3631787126932758,5.814717477003942
