variant,model,term,coef,exp_coef,p,ci_lower,ci_upper
boamp_only_balanced,cox_clustered,log_duration,-0.07998683611308015,0.9231284982658163,0.38390118240014315,0.771026508083326,1.105235961898221
boamp_only_balanced,cox_clustered,dur_was_imputed,-0.8367938018263522,0.43309689422297265,0.0001702220141914231,0.2799793324078594,0.6699527360553109
boamp_only_balanced,cox_clustered,cpv_division_22,-1.6341228567733592,0.19512344746936855,0.00035796094328550954,0.07954341292125955,0.47864629331432207
boamp_only_balanced,cox_clustered,cpv_division_30,-0.048635026621975885,0.9525287138875312,0.7848287644704193,0.6718215784179905,1.3505236805831329
boamp_only_balanced,cox_clustered,cpv_division_31,0.30688085504928264,1.359179019107224,0.7754741826363165,0.16498219737201145,11.197375446610906
boamp_only_balanced,cox_clustered,cpv_division_32,-0.05431910808751498,0.9471298214876037,0.7235645272005797,0.7009494936503237,1.2797710917509353
boamp_only_balanced,cox_clustered,cpv_division_33,3.057432327078382,21.272865216579792,2.4909451079470207e-09,7.786037113415146,58.12132512739559
boamp_only_balanced,cox_clustered,cpv_division_34,-1.7148058898582608,0.17999865688707087,0.0009200932561371891,0.06528385033154493,0.49628685067758826
boamp_only_balanced,cox_clustered,cpv_division_35,-0.06741861198124588,0.9348037993491897,0.7852485997014426,0.575593052623159,1.5181874404064346
boamp_only_balanced,cox_clustered,cpv_division_38,-1.795505269128788,0.16604353447605805,2.4502679221333652e-11,0.09801729387956974,0.2812815397166206
boamp_only_balanced,cox_clustered,cpv_division_39,1.9130130637113485,6.773466970277528,0.004528595151045429,1.808002878984366,25.375985475871225
boamp_only_balanced,cox_clustered,cpv_division_42,0.04380050335306581,1.0447739052057359,0.9405976042193501,0.3301449686331743,3.306282441673898
boamp_only_balanced,cox_clustered,cpv_division_43,-1002.3129045885232,0.0,1.2062241622009672e-23,0.0,0.0
boamp_only_balanced,cox_clustered,cpv_division_44,1.626707537561662,5.08709803618956,0.04847880983338724,1.0109277056429362,25.598829951292377
boamp_only_balanced,cox_clustered,cpv_division_45,0.2103012910588868,1.2340498121257433,0.5032045218755824,0.6667121455388745,2.284162586503813
boamp_only_balanced,cox_clustered,cpv_division_48,0.21428774873125175,1.238979118174352,0.23175099368781374,0.872039411501994,1.7603209614438218
boamp_only_balanced,cox_clustered,cpv_division_50,-0.6402837087795221,0.527142847772026,0.15720385837762854,0.21708820716104482,1.2800307561205253
boamp_only_balanced,cox_clustered,cpv_division_51,-2.0598520995715863,0.1274728217856382,0.008348675386794019,0.027585081352858337,0.5890618949474058
