variant,threshold_composite_score,n_sources_eligible,n_linked_events,event_rate,median_gap_months_linked,median_composite_score_linked
broad,0.26420166983556403,3159,927,0.2934472934472934,37.877792378449406,0.3525225023747995
balanced,0.32302169365652333,3159,618,0.1956315289648623,37.69710906701708,0.39310283812326197
strict,0.39308340344166265,3159,309,0.09781576448243115,44.67805519053877,0.4835015476122548
