,s_text,s_cpv,composite_score,top1_top2_margin
links_added_by_enrichment,0.0694874616745727,0.1,0.35944094095443346,0.07999531122813819
links_shared_with_l1,0.1788415032323072,0.1,0.41312987529927,0.0723636227994481
