variant,model,AIC,log_likelihood,concordance_index
boamp_only_balanced,weibull_aft,10853.750549995297,-5386.875274997648,0.6083132948353107
boamp_only_balanced,lognormal_aft,10687.085809111033,-5303.5429045555165,0.6230635578970968
enriched_balanced,weibull_aft,12415.983716134095,-6167.991858067047,0.6156224703114646
enriched_balanced,lognormal_aft,12209.983687124062,-6064.991843562031,0.6203114329421697
