window_months,n_eligible_sources,n_sources_with_candidate,blocking_coverage,n_candidate_pairs,n_links,linking_rate,threshold_p50,median_margin,n_reused_candidates,max_candidate_multiplicity,jaccard_vs_reference,source_event_status_changes,survival_at_24m,rmst_60m,mean_s_text,mean_s_cpv,mean_s_time,mean_s_buyer,variant_family,variant,event_rate,event_status_changes_vs_reference,observed_duration_event_rate,imputed_duration_event_rate,median_event_time
6.0,3159.0,1236.0,0.3912630579297246,6137.0,618,0.1956315289648623,0.3230216936565234,0.0827184722458534,121,6,1.0,0.0,0.9140593013493116,53.51300707789051,0.3047674934240331,0.295631067961165,0.7187573977917547,0.6893203883495144,duration_centered_temporal_window,,,,,,
9.0,3159.0,1386.0,0.4387464387464387,8692.0,693,0.2193732193732193,0.3344010410609952,0.0751811249413767,131,6,0.7364238410596027,97.0,0.9048845027476136,52.80137148961615,0.3410881738397945,0.3382395382395382,0.7295241381969372,0.6900432900432899,duration_centered_temporal_window,,,,,,
12.0,3159.0,1508.0,0.4773662551440329,10793.0,754,0.2386831275720164,0.3441998756369461,0.0728156349205881,149,8,0.5788262370540852,196.0,0.8993890037943699,52.22205344272624,0.3707322608585516,0.3812997347480106,0.717672341177031,0.6933687002652518,duration_centered_temporal_window,,,,,,
18.0,3159.0,1668.0,0.5280151946818613,14097.0,834,0.2640075973409306,0.3542940146426595,0.0605822913089255,155,9,0.4534534534534534,306.0,0.8899172019456192,51.36121775326009,0.3799719387277249,0.4142685851318944,0.7470836296359321,0.6925659472422061,duration_centered_temporal_window,,,,,,
,,,,,618,,,,121,6,1.0,,,,,,,,duration_leakage_or_forward_design,balanced_reference,0.1956315289648623,0.0,0.1825396825396825,0.1974110032362459,37.69710906701708
,,,,,618,,,,120,6,0.4141876430205949,,,,,,,,duration_leakage_or_forward_design,no_temporal_score_reference_pool,0.1956315289648623,246.0,0.1851851851851851,0.1970514203523912,42.64126149802891
,,,,,1105,,,,181,5,0.0642371834465719,,,,,,,,duration_leakage_or_forward_design,forward_24m_no_duration,0.3497942386831276,901.0,0.2513227513227513,0.3631787126932758,5.814717477003942
