variant,term,test_statistic,p,-log2(p)
boamp_only_balanced,buyer_key_type_RAW_SIRET,0.5793443220430913,0.44656944056701187,1.163043566187551
boamp_only_balanced,cpv_division_22,1.4087390401059054,0.23526583256338157,2.087636280362543
boamp_only_balanced,cpv_division_30,3.3935215572515096,0.06545301593346169,3.9333965198043113
boamp_only_balanced,cpv_division_31,0.19713574532979627,0.6570427912588325,0.6059407628076925
boamp_only_balanced,cpv_division_32,3.7836218305559846,0.05175651599523171,4.272115684607619
boamp_only_balanced,cpv_division_33,0.20359603609620225,0.6518337533406267,0.617424035053401
boamp_only_balanced,cpv_division_34,0.12865734103690565,0.7198282356120834,0.47427540110126215
boamp_only_balanced,cpv_division_35,1.1553621855874388,0.2824294630916092,1.8240374962253418
boamp_only_balanced,cpv_division_38,0.5151250527349385,0.472928636719402,1.0803055925456067
boamp_only_balanced,cpv_division_39,0.041315740079766954,0.8389296794313185,0.2533782084028327
boamp_only_balanced,cpv_division_42,0.031757535104252756,0.8585608526281033,0.22000770244971868
boamp_only_balanced,cpv_division_43,0.8502315911846101,0.35648683000722126,1.4880793159299461
boamp_only_balanced,cpv_division_44,0.07966380540103378,0.7777535291288145,0.3626150587502217
boamp_only_balanced,cpv_division_45,0.18389947975871657,0.6680432868677912,0.5819865075679874
boamp_only_balanced,cpv_division_48,4.521729267639694,0.03346698844179476,4.901117455169937
boamp_only_balanced,cpv_division_50,0.6693076008074004,0.41329311307453087,1.2747627713781589
boamp_only_balanced,cpv_division_51,0.010104496473553453,0.9199306128378025,0.1204030470763816
boamp_only_balanced,cpv_division_55,0.13444102406443753,0.7138711530154345,0.4862643899328057
boamp_only_balanced,cpv_division_64,0.02728811811594063,0.8687935258987128,0.20291474242259905
boamp_only_balanced,cpv_division_65,0.1255046183147084,0.723139313428692,0.4676544844588004
boamp_only_balanced,cpv_division_66,0.001214004921308216,0.9722052725599118,0.04066713657303519
boamp_only_balanced,cpv_division_71,0.6606070436164942,0.41634571584283764,1.2641461160425296
boamp_only_balanced,cpv_division_72,26.899853516923702,2.1427512259199773e-07,22.154032301815015
boamp_only_balanced,cpv_division_75,0.9561997422676052,0.3281462108211683,1.6075893208174274
boamp_only_balanced,cpv_division_77,1.4739727779238185,0.22471992340919525,2.1538000570209554
boamp_only_balanced,cpv_division_79,8.71221724312097,0.0031608453308917673,8.305473842844156
boamp_only_balanced,cpv_division_80,0.004005854312867934,0.9495341304441742,0.07470823675840871
boamp_only_balanced,cpv_division_85,0.8590747628353935,0.3539977421826064,1.4981879361393855
boamp_only_balanced,cpv_division_9,0.5044386347198625,0.4775562901744358,1.0662572993951356
boamp_only_balanced,cpv_division_90,0.0694907803867063,0.7920796507052629,0.33628258137592054
boamp_only_balanced,cpv_division_92,0.014804001925951151,0.9031590289435236,0.146948053949929
boamp_only_balanced,cpv_division_MISSING,12.739673259223661,0.00035798022692252866,11.447832477279553
boamp_only_balanced,dur_was_imputed,10.830737071792989,0.0009982889007219122,9.968254993522468
boamp_only_balanced,log_duration,32.442468066772655,1.227738799958051e-08,26.279421097484985
enriched_balanced,buyer_key_type_RAW_SIRET,0.7968908765518004,0.37202457504976416,1.426530169437428
enriched_balanced,cpv_division_22,0.9961217417054039,0.31825075609622766,1.6517641532195435
enriched_balanced,cpv_division_30,6.515469659868519,0.010694007553727262,6.547053588875527
enriched_balanced,cpv_division_31,0.15219309658272198,0.6964483050879126,0.521911824273533
enriched_balanced,cpv_division_32,7.394280998946452,0.006543157388803038,7.255797311025584
enriched_balanced,cpv_division_33,0.16654916997253452,0.6831970580287836,0.549626332423723
enriched_balanced,cpv_division_34,0.08789160033118798,0.7668748580662829,0.3829369231267684
enriched_balanced,cpv_division_35,1.3908018314939334,0.2382697361700234,2.069332375630011
enriched_balanced,cpv_division_38,0.6206698264082525,0.4307984831804387,1.2149149246522044
enriched_balanced,cpv_division_39,0.009900324898061344,0.9207409890827439,0.1191327217623511
enriched_balanced,cpv_division_42,0.03037109305082132,0.8616508846660291,0.2148246443464033
enriched_balanced,cpv_division_43,1.130737321022347,0.28761812163230593,1.797773517978612
enriched_balanced,cpv_division_44,0.05757765329047514,0.8103663517902305,0.30335382340525197
enriched_balanced,cpv_division_45,0.782508044133411,0.37637518666106207,1.4097565764411046
enriched_balanced,cpv_division_48,10.872449960705667,0.0009760532672467054,10.00075249580262
enriched_balanced,cpv_division_50,1.6630772454560163,0.1971883520463678,2.3423537609263696
