window_months,n_pairs,n_links,linking_rate,threshold_p50,jaccard_vs_reference
6,10862,1003,0.2967455621301775,0.3431669423310381,1.0
9,14195,1080,0.31952662721893493,0.3584179212853798,0.7773037542662116
12,16602,1130,0.3343195266272189,0.36869016102069596,0.6344827586206897
18,19681,1170,0.34615384615384615,0.384388375098204,0.5227750525578136
