source_notice_id,candidate_notice_id,candidate_rank,n_candidates_for_source,top1_top2_margin,composite_score,s_text,s_cpv,s_time,s_buyer,gap_months,abs_gap_to_expected_end,gradient_boosting_score,logistic_score
15-100455,16-57014,1,23,0.0136624673292337,0.3491493210358916,0.1317350602902704,0.1,0.8521681997371879,0.6,9.658344283837057,0.8869908015768725,0.01210302003831908,0.429677067478149
15-101283,16-102267,1,1,0.6225897414419586,0.6225897414419586,0.337109542221377,1.0,0.5784056066579062,0.6,12.28646517739816,2.5295663600525624,0.960603625253115,0.9998862610207079
15-101366,16-16627,1,4,0.018584834938556,0.3115778070622941,0.0592605387938395,0.0,0.9233464739378012,0.6,7.128777923784494,0.4599211563731931,0.0006614483468454102,0.12943158275100947
15-102348,16-48016,1,12,0.1964295053862257,0.671214916344808,0.2726721156563377,1.0,0.8631187034603591,0.6,8.935611038107753,0.8212877792378449,0.9321263702267216,0.9991419033849618
15-102510,16-183156,1,2,0.135446956289664,0.4855792277932652,0.0301700482473242,0.8,0.5400788436268069,1.0,17.706964520367936,2.759526938239159,0.6831673869644832,0.9997736142746187
15-104125,16-19242,1,6,0.0258653731966206,0.3592160716584332,0.1800516758603379,0.1,0.8247919404292597,0.6,7.09592641261498,1.0512483574244416,0.023098265360558146,0.7483727779078811
15-105085,16-73008,1,2,0.022711526953006,0.1971647398717501,0.115959077813911,0.1,0.2663162505475251,0.6,10.446780551905388,4.402102496714849,0.10810067436515715,0.813226642900658
15-107245,16-38113,1,2,0.0336523592983872,0.1695052608189527,0.2829929421809264,0.0,0.0418309242225142,0.6,8.21287779237845,5.7490144546649145,0.0015901420737851318,0.48540965091866256
15-110860,16-103088,1,1,0.2479322298416658,0.2479322298416658,0.0368929112427546,0.0,0.5400788436268069,1.0,11.826544021024969,2.759526938239159,0.0013320760544750481,0.3037976756710359
15-111004,16-46830,1,3,0.0679558869834066,0.3436280937070041,0.1304085325487645,0.0,0.791940429259746,1.0,8.47568988173456,1.2483574244415243,0.0025626783199337888,0.281504909308882
15-111481,16-7640,1,5,0.387568526006604,0.7989027167125944,0.5475438361239635,1.0,0.9890494962768288,0.6,5.978975032851511,0.0657030223390276,0.9523978007550897,0.9995859036659573
15-112713,16-12477,1,3,0.0146761522354003,0.2300497233252159,0.0296896544039394,0.0,0.6386333771353483,0.6,6.208935611038108,2.1681997371879107,0.0009814657323532166,0.06470385750790197
15-113362,16-40500,1,10,0.0494872434496699,0.345392960320184,0.1402316856404232,0.0,0.9452474813841436,0.6,8.015768725361367,0.328515111695138,0.017629237775447372,0.6861464289097833
15-113716,16-67782,1,2,0.1745303419241473,0.3461663471803891,0.0215290289879586,0.1,0.9945247481384144,0.6,9.658344283837057,0.0328515111695138,0.22109988474358394,0.9865063612905268
