rule,covariate,coef,hazard_ratio,ci_low,ci_high,p
primary_balanced,declared_duration_months,-0.0720377072584761,0.9304958087037208,0.9117830264650116,0.9495926386916748,3.654836919008125e-12
primary_balanced,dur_was_imputed,-0.4256975422705916,0.6533139120833279,0.5240687930878872,0.8144332830938933,0.00015369113325365495
primary_balanced,pub_year,-0.04976432531017317,0.9514536316192211,0.9280471245380578,0.9754504800303176,9.010776576684683e-05
primary_balanced,buyer_key_type_RAW_SIRET,0.09677764660864346,1.1016153984666721,0.9460704513923381,1.2827337375909857,0.21271686707978832
primary_balanced,cpv_div_grp_32,-0.09520113507119429,0.909190046071567,0.6857737745772593,1.2053924639873934,0.5081926058141828
primary_balanced,cpv_div_grp_48,0.4443398188390617,1.5594603295900995,1.2052863265446296,2.017708544439554,0.000723575257032395
primary_balanced,cpv_div_grp_72,0.7214287327077029,2.057370544400472,1.6327132882044377,2.5924781696495227,9.583945947139015e-10
primary_balanced,cpv_div_grp_OTHER,-0.040029749477381166,0.9607608565937953,0.7380884956914086,1.2506107722193396,0.7660341951015068
primary_balanced,cpv_div_grp_nan,0.09576369661690215,1.1004989816335626,0.8335555793221342,1.4529301208221772,0.49929657443680464
primary_balanced,__concordance__,,0.6236072189216455,,,
conservative_strict,declared_duration_months,-0.05445161991288636,0.9470043239012355,0.9255342480254567,0.968972451749802,3.2588399689704797e-06
conservative_strict,dur_was_imputed,-0.313774547451139,0.730683744103432,0.5303776897443414,1.0066387486139652,0.054922821386629836
conservative_strict,pub_year,-0.022454091333321633,0.9777961254793518,0.9427665711423259,1.0141272423819276,0.22769759398106007
conservative_strict,buyer_key_type_RAW_SIRET,-0.054687861073721686,0.9467806289244619,0.751461116748103,1.1928675207916037,0.6427097992691758
conservative_strict,cpv_div_grp_32,-0.05942914920267272,0.9423022940950446,0.6498300372807946,1.3664090031484706,0.7539466069858505
conservative_strict,cpv_div_grp_48,0.45338373191121345,1.5736279219205134,1.1258608639600518,2.1994767878668693,0.007957084072015704
conservative_strict,cpv_div_grp_72,0.4358605019953058,1.5462930749048616,1.143444821074502,2.091069222957233,0.00464832719739237
conservative_strict,cpv_div_grp_OTHER,-0.31767000013662383,0.7278429368576618,0.5070535001318934,1.0447720814387191,0.08498307684004187
conservative_strict,cpv_div_grp_nan,-0.20687362021204267,0.8131224057315294,0.5533313800389144,1.1948862301215082,0.29217522923836486
conservative_strict,__concordance__,,0.6207006396512652,,,
baseline_broad,declared_duration_months,-0.0743559348286159,0.9283412060606443,0.9120469731143674,0.9449265446573254,1.8727077936198783e-16
baseline_broad,dur_was_imputed,-0.33245871434761665,0.7171582766001057,0.5946131138973582,0.864959049296741,0.0005063782382770833
baseline_broad,pub_year,-0.04590044182913224,0.9551370491548359,0.9358971546745921,0.9747724716455688,9.826295668441555e-06
baseline_broad,buyer_key_type_RAW_SIRET,-0.0038552910207863356,0.9961521310724678,0.8769201569522839,1.131595687900483,0.9527354783874048
baseline_broad,cpv_div_grp_32,0.09164771018119981,1.0959786519422052,0.8680146639834562,1.383812112114211,0.4411306545750474
baseline_broad,cpv_div_grp_48,0.4078184306412504,1.5035341406550051,1.205268260208061,1.8756114192577698,0.0003004832634412375
baseline_broad,cpv_div_grp_72,0.6035429494997695,1.82858592486571,1.49645126116836,2.234437279304611,3.603465415387238e-09
baseline_broad,cpv_div_grp_OTHER,0.2030308552666598,1.2251102687683542,0.984662952787728,1.524273017881307,0.06855898577101491
baseline_broad,cpv_div_grp_nan,0.27014430666980493,1.3101535009809733,1.0406119187854168,1.6495123351423564,0.021521692746279773
baseline_broad,__concordance__,,0.5890127090226562,,,
