role,method,decision_rule,threshold,n_links,link_rate,links_path,survival_path,evidence_status,caveat
primary_practical_linkage,gradient_boosting,rank1_score_above_frozen_synthetic_threshold,0.2309637726207583,411,0.12159763313609467,reports/tables/real_linkage_freeze/real_primary_gbm_links.csv,data/processed/boamp_only/boamp_only_survival_primary_gbm.csv,benchmark_supported_real_unlabelled,not real precision/recall; manual audit required
transparent_baseline,composite_balanced,rank1_composite_above_frozen_balanced_threshold,0.3431669423310381,1003,0.2967455621301775,reports/tables/real_linkage_freeze/real_candidate_pairs_reproduced.csv,data/processed/boamp_only/boamp_only_survival_baseline_composite_balanced.csv,transparent_unfitted_baseline,"weights are fixed, not real-label learned"
conservative_rule,composite_strict_no_potential,rank1_composite_above_strict_threshold_and_margin_not_potential,0.44206956893514254,422,0.12485207100591716,reports/tables/real_linkage_freeze/decision_rule_summary.csv,data/processed/boamp_only/boamp_only_survival_conservative_strict.csv,high_precision_sensitivity_not_label_validated,"rule-based confidence tier, not empirical correctness probability"
recall_sensitivity,composite_broad,rank1_composite_above_frozen_broad_threshold,0.27838673159124894,1504,0.44497041420118344,reports/tables/real_linkage_freeze/decision_rule_summary.csv,data/processed/boamp_only/boamp_only_survival_baseline_broad.csv,linkage_sensitivity,not selected by target link rate
supervised_sensitivity,logistic_regression,rank1_score_above_frozen_synthetic_threshold,0.7456781676471622,889,0.26301775147928996,reports/tables/real_linkage_freeze/real_supervised_transfer_links.csv,data/processed/boamp_only/boamp_only_survival_logistic_regression_synthetic_v0_4_transfer.csv,supervised_sensitivity,not real precision/recall; manual audit required
