role_method,n,events,event_rate,censoring_rate,median_survival,rmst60,surv_12m,surv_24m
primary_practical_linkage__gbm,3380,411,0.12159763313609467,0.8784023668639054,,53.202123091421335,0.8837195188961219,0.8735680491542824
transparent_baseline__composite_balanced,3380,1003,0.2967455621301775,0.7032544378698224,,43.51492343865108,0.7209046086491103,0.6907940136382628
conservative_rule__composite_strict,3380,422,0.12485207100591716,0.8751479289940829,,52.931251615197944,0.8787917794628612,0.8708915518986535
recall_sensitivity__composite_broad,3380,1504,0.44497041420118344,0.5550295857988166,,35.434604377267874,0.5886460472695497,0.5365538484697729
supervised_sensitivity__logistic_regression,3380,889,0.26301775147928996,0.73698224852071,,45.76272730105318,0.7863535063289243,0.7241885068127204
