source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,gradient_boosting_score,transfer_score,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used,model_name,benchmark_version,threshold_source
19-145053,19-174809,2019-09-24,2019-11-20,NAME:departement de la sarthe,NAME_FALLBACK,1.8725361366622864,2020-03-24,4.106438896189225,0.3155935173017958,0.9840442363160228,1.0,0.6,0.7833138620360569,0.8667367696823896,0.8667367696823896,1,0.3803644939735831,7,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
19-152453,20-10180,2019-10-10,2020-01-24,NAME:chd vendee,NAME_FALLBACK,3.4822601839684624,2020-05-22,3.9093298291721417,0.3484450284713097,1.0,1.0,0.6,0.7971112571178274,0.92899944198545,0.92899944198545,1,0.6162011772641207,2,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
19-15392,20-13755,2019-01-29,2020-01-28,NAME:departement de la sarthe,NAME_FALLBACK,11.957950065703022,2019-07-29,6.011826544021025,0.0,0.1366678728047405,1.0,0.6,0.4078337554816592,0.7108352743411802,0.7108352743411802,1,0.0830244633620203,9,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
19-169357,20-94462,2019-11-08,2020-07-26,NAME:ch le mans,NAME_FALLBACK,8.5742444152431,2020-05-08,2.59526938239159,0.567455102934735,0.0154155292966051,1.0,0.6,0.5072592109874956,0.935824239022072,0.935824239022072,1,0.2086689233379483,5,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
19-169855,20-27358,2019-11-12,2020-02-23,NAME:gie sesam vitale,NAME_FALLBACK,3.383705650459921,2020-05-12,2.59526938239159,0.567455102934735,0.0774316433088956,1.0,0.6,0.5289648508917972,0.9361922698160605,0.9361922698160605,1,0.1736969227680959,4,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
19-17058,20-110309,2019-02-03,2020-09-10,SIRET:23440003400026,RAW_SIRET,19.21813403416557,2020-07-23,1.609724047306176,0.731712658782304,0.0160559764594868,1.0,1.0,0.5885477564563963,0.4303886086106815,0.4303886086106815,1,0.2251591659894387,8,MEDIUM,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
19-172484,20-129474,2019-11-20,2020-10-21,NAME:spr pays de la loire,NAME_FALLBACK,11.038107752956636,2020-12-17,1.8725361366622864,0.687910643889619,0.0389883890692751,0.1,0.6,0.2756235971466511,0.5249180286561013,0.5249180286561013,1,0.2756235971466511,1,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
19-176963,20-66280,2020-01-06,2020-05-28,NAME:angers loire metropole,NAME_FALLBACK,4.697766097240473,2020-07-06,1.281208935611038,0.7864651773981604,0.0335075139354508,0.8,0.6,0.5083439242269479,0.8912071555441062,0.8912071555441062,1,0.0450983338392401,6,POTENTIAL,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
19-178175,21-24011,2019-11-27,2021-02-19,NAME:commune de saint nazaire,NAME_FALLBACK,14.783180026281208,2020-09-23,4.894875164257556,0.1841874726237407,0.0829465733033877,1.0,0.6,0.4350781688121208,0.8750614480587271,0.8750614480587271,1,0.2004767671476443,3,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
19-181049,21-48350,2019-12-05,2021-04-12,NAME:cci de region bretagne,NAME_FALLBACK,16.228646517739815,2021-05-06,0.7884362680683311,0.8685939553219448,0.0,0.1,0.6,0.3071484888304862,0.32483253475481566,0.32483253475481566,1,0.3071484888304862,1,MEDIUM,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
