ablation,algorithm,scenario,world,precision,recall_end_to_end,f1_end_to_end
full_cpv_ladder,gradient_boosting,central_provisional,007,0.8261904761904761,0.236215112321307,0.3673901535203812
full_cpv_ladder,gradient_boosting,central_provisional,008,0.8661971830985915,0.2155373831775701,0.34518241347053324
full_cpv_ladder,gradient_boosting,central_provisional,009,0.8486997635933806,0.23131443298969073,0.3635443037974684
full_cpv_ladder,gradient_boosting,central_provisional,010,0.8479087452471483,0.25413105413105413,0.3910565541429198
full_cpv_ladder,gradient_boosting,difficult,007,0.6590909090909091,0.13023952095808383,0.2175
full_cpv_ladder,gradient_boosting,difficult,008,0.7520661157024794,0.10122358175750834,0.17843137254901958
full_cpv_ladder,gradient_boosting,difficult,009,0.7317073170731707,0.10425716768027801,0.18250950570342206
full_cpv_ladder,gradient_boosting,difficult,010,0.7209302325581395,0.11221719457013575,0.1942051683633516
full_cpv_ladder,gradient_boosting,easier,007,0.8854679802955665,0.28486529318542,0.43105515587529974
full_cpv_ladder,gradient_boosting,easier,008,0.8649425287356322,0.2818352059925094,0.4251412429378531
full_cpv_ladder,gradient_boosting,easier,009,0.8788759689922481,0.31329879101899827,0.46193022663610894
full_cpv_ladder,gradient_boosting,easier,010,0.8927943760984183,0.32944228274967574,0.4812884888678352
full_cpv_ladder,gradient_boosting,stress,007,0.3300970873786408,0.029462738301559793,0.05409705648369132
full_cpv_ladder,gradient_boosting,stress,008,0.32038834951456313,0.032803180914512925,0.059513074842200184
full_cpv_ladder,gradient_boosting,stress,009,0.35454545454545455,0.040123456790123455,0.07208872458410351
full_cpv_ladder,gradient_boosting,stress,010,0.35353535353535354,0.04569190600522193,0.08092485549132948
full_cpv_ladder,logistic_regression,central_provisional,007,0.7506493506493507,0.19673247106875424,0.3117583603020496
full_cpv_ladder,logistic_regression,central_provisional,008,0.7984293193717278,0.17815420560747663,0.29130850047755497
full_cpv_ladder,logistic_regression,central_provisional,009,0.8337874659400545,0.19716494845360824,0.3189161021365294
full_cpv_ladder,logistic_regression,central_provisional,010,0.759765625,0.22165242165242166,0.3431848257609175
full_cpv_ladder,logistic_regression,difficult,007,0.15135135135135136,0.12574850299401197,0.1373671300081766
full_cpv_ladder,logistic_regression,difficult,008,0.13552361396303902,0.07341490545050056,0.09523809523809523
full_cpv_ladder,logistic_regression,difficult,009,0.12116788321167883,0.07211120764552563,0.09041394335511983
full_cpv_ladder,logistic_regression,difficult,010,0.13129770992366413,0.07782805429864253,0.09772727272727272
full_cpv_ladder,logistic_regression,easier,007,0.8609550561797753,0.24286846275752774,0.37886279357231145
full_cpv_ladder,logistic_regression,easier,008,0.8534201954397395,0.24531835205992508,0.3810909090909091
full_cpv_ladder,logistic_regression,easier,009,0.852910052910053,0.2784110535405872,0.4197916666666667
full_cpv_ladder,logistic_regression,easier,010,0.8552083333333333,0.26621271076523995,0.4060336300692384
full_cpv_ladder,logistic_regression,stress,007,0.01046598554697234,0.036395147313691506,0.016257015676407974
full_cpv_ladder,logistic_regression,stress,008,0.01852649719948298,0.042743538767395624,0.025849113315299065
full_cpv_ladder,logistic_regression,stress,009,0.016554986204178165,0.043209876543209874,0.023938444001139925
full_cpv_ladder,logistic_regression,stress,010,0.01349527665317139,0.0391644908616188,0.020073603211776515
full_cpv_ladder,current_weighted_composite,central_provisional,007,0.19017763845350052,0.24778761061946902,0.21519361513449603
full_cpv_ladder,current_weighted_composite,central_provisional,008,0.18699572852396773,0.23014018691588786,0.20633673736580257
full_cpv_ladder,current_weighted_composite,central_provisional,009,0.23651191969887075,0.24291237113402062,0.23966942148760328
full_cpv_ladder,current_weighted_composite,central_provisional,010,0.20263516583371194,0.25413105413105413,0.22548028311425683
full_cpv_ladder,current_weighted_composite,difficult,007,0.08198924731182795,0.18263473053892215,0.11317254174397032
full_cpv_ladder,current_weighted_composite,difficult,008,0.0475511174512601,0.11123470522803114,0.06662225183211191
full_cpv_ladder,current_weighted_composite,difficult,009,0.04288939051918736,0.1155516941789748,0.06255879586077141
full_cpv_ladder,current_weighted_composite,difficult,010,0.04321576104226247,0.12307692307692308,0.06396989651928504
full_cpv_ladder,current_weighted_composite,easier,007,0.24146341463414633,0.2745641838351823,0.256952169076752
full_cpv_ladder,current_weighted_composite,easier,008,0.25511717591219224,0.26841448189762795,0.26159695817490497
full_cpv_ladder,current_weighted_composite,easier,009,0.3096338428723782,0.3008635578583765,0.30518570427470215
full_cpv_ladder,current_weighted_composite,easier,010,0.27573209625978545,0.30836575875486383,0.29113730292361856
full_cpv_ladder,current_weighted_composite,stress,007,0.011804961505560308,0.05979202772963605,0.019717102443206173
full_cpv_ladder,current_weighted_composite,stress,008,0.014840680925360105,0.06759443339960239,0.024337866857551897
full_cpv_ladder,current_weighted_composite,stress,009,0.016909347111319868,0.07407407407407407,0.027533460803059275
full_cpv_ladder,current_weighted_composite,stress,010,0.014808362369337979,0.06657963446475196,0.024228028503562943
division_only_cpv,gradient_boosting,central_provisional,007,0.5025252525252525,0.13546630360789652,0.2134048257372654
division_only_cpv,gradient_boosting,central_provisional,008,0.5172413793103449,0.15771028037383178,0.24171888988361684
division_only_cpv,gradient_boosting,central_provisional,009,0.49521988527724664,0.16688144329896906,0.24963855421686745
division_only_cpv,gradient_boosting,central_provisional,010,0.48722986247544203,0.1413105413105413,0.21908127208480563
division_only_cpv,gradient_boosting,difficult,007,0.2830188679245283,0.08982035928143713,0.13636363636363638
division_only_cpv,gradient_boosting,difficult,008,0.2692307692307692,0.04671857619577308,0.07962085308056872
division_only_cpv,gradient_boosting,difficult,009,0.3080168776371308,0.0634231103388358,0.10518731988472624
division_only_cpv,gradient_boosting,difficult,010,0.1951219512195122,0.04343891402714932,0.07105847520355292
division_only_cpv,gradient_boosting,easier,007,0.5675213675213675,0.13153724247226625,0.21357349630106143
division_only_cpv,gradient_boosting,easier,008,0.6349809885931559,0.15636704119850187,0.25093914350112695
division_only_cpv,gradient_boosting,easier,009,0.6054590570719603,0.168566493955095,0.26371251013239666
division_only_cpv,gradient_boosting,easier,010,0.6303448275862069,0.14818417639429313,0.23995799422420583
division_only_cpv,gradient_boosting,stress,007,0.09917355371900827,0.02079722703639515,0.034383954154727794
division_only_cpv,gradient_boosting,stress,008,0.08527131782945736,0.02186878727634195,0.03481012658227848
division_only_cpv,gradient_boosting,stress,009,0.15853658536585366,0.040123456790123455,0.06403940886699508
division_only_cpv,gradient_boosting,stress,010,0.11398963730569948,0.028720626631853787,0.045881126173096975
division_only_cpv,logistic_regression,central_provisional,007,0.42376237623762375,0.1456773315180395,0.21681864235055726
division_only_cpv,logistic_regression,central_provisional,008,0.43993231810490696,0.15186915887850466,0.2257924446374294
division_only_cpv,logistic_regression,central_provisional,009,0.4358974358974359,0.1643041237113402,0.23865231633130557
division_only_cpv,logistic_regression,central_provisional,010,0.416260162601626,0.14586894586894586,0.2160337552742616
division_only_cpv,logistic_regression,difficult,007,0.20391061452513967,0.1092814371257485,0.1423001949317739
division_only_cpv,logistic_regression,difficult,008,0.16194331983805668,0.04449388209121246,0.06980802792321117
division_only_cpv,logistic_regression,difficult,009,0.21220930232558138,0.0634231103388358,0.09765886287625418
division_only_cpv,logistic_regression,difficult,010,0.17403314917127072,0.05701357466063348,0.08588957055214724
division_only_cpv,logistic_regression,easier,007,0.4888888888888889,0.13946117274167988,0.21701602959309496
division_only_cpv,logistic_regression,easier,008,0.5286885245901639,0.16104868913857678,0.24688995215311002
division_only_cpv,logistic_regression,easier,009,0.5057471264367817,0.18238341968911917,0.26808834729626807
division_only_cpv,logistic_regression,easier,010,0.5263157894736842,0.16536964980544747,0.25166543301258326
division_only_cpv,logistic_regression,stress,007,0.08086253369272237,0.025996533795493933,0.039344262295081964
division_only_cpv,logistic_regression,stress,008,0.08241758241758242,0.02982107355864811,0.043795620437956206
division_only_cpv,logistic_regression,stress,009,0.12176165803108809,0.04835390946502058,0.06921944035346098
division_only_cpv,logistic_regression,stress,010,0.0784313725490196,0.031331592689295036,0.04477611940298507
division_only_cpv,current_weighted_composite,central_provisional,007,0.19017763845350052,0.24778761061946902,0.21519361513449603
division_only_cpv,current_weighted_composite,central_provisional,008,0.18699572852396773,0.23014018691588786,0.20633673736580257
division_only_cpv,current_weighted_composite,central_provisional,009,0.23651191969887075,0.24291237113402062,0.23966942148760328
division_only_cpv,current_weighted_composite,central_provisional,010,0.20263516583371194,0.25413105413105413,0.22548028311425683
division_only_cpv,current_weighted_composite,difficult,007,0.08198924731182795,0.18263473053892215,0.11317254174397032
division_only_cpv,current_weighted_composite,difficult,008,0.0475511174512601,0.11123470522803114,0.06662225183211191
division_only_cpv,current_weighted_composite,difficult,009,0.04288939051918736,0.1155516941789748,0.06255879586077141
division_only_cpv,current_weighted_composite,difficult,010,0.04321576104226247,0.12307692307692308,0.06396989651928504
division_only_cpv,current_weighted_composite,easier,007,0.24146341463414633,0.2745641838351823,0.256952169076752
division_only_cpv,current_weighted_composite,easier,008,0.25511717591219224,0.26841448189762795,0.26159695817490497
division_only_cpv,current_weighted_composite,easier,009,0.3096338428723782,0.3008635578583765,0.30518570427470215
division_only_cpv,current_weighted_composite,easier,010,0.27573209625978545,0.30836575875486383,0.29113730292361856
division_only_cpv,current_weighted_composite,stress,007,0.011804961505560308,0.05979202772963605,0.019717102443206173
division_only_cpv,current_weighted_composite,stress,008,0.014840680925360105,0.06759443339960239,0.024337866857551897
division_only_cpv,current_weighted_composite,stress,009,0.016909347111319868,0.07407407407407407,0.027533460803059275
division_only_cpv,current_weighted_composite,stress,010,0.014808362369337979,0.06657963446475196,0.024228028503562943
