model,n,events,event_rate,censoring_rate,median_survival,rmst60,surv_12m,surv_24m
gradient_boosting,3380,411,0.12159763313609467,0.8784023668639054,,53.202123091421335,0.8837195188961219,0.8735680491542824
logistic_regression,3380,889,0.26301775147928996,0.73698224852071,,45.76272730105318,0.7863535063289243,0.7241885068127204
