source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,gradient_boosting_score,transfer_score,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used,model_name,benchmark_version,threshold_source,logistic_score
15-101283,16-102267,2015-07-01,2016-07-09,NAME:caf de la sarthe,NAME_FALLBACK,12.28646517739816,2016-04-23,2.5295663600525624,0.5784056066579062,0.337109542221377,1.0,0.6,0.6225897414419586,0.960603625253115,0.960603625253115,1,0.6225897414419586,1,HIGH,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-102348,16-48016,2015-07-03,2016-03-31,NAME:universite de nantes,NAME_FALLBACK,8.935611038107753,2016-03-06,0.8212877792378449,0.8631187034603591,0.2726721156563377,1.0,0.6,0.671214916344808,0.9321263702267216,0.9321263702267216,1,0.1964295053862257,12,HIGH,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-102510,16-183156,2015-07-03,2016-12-23,SIRET:22720002900014,RAW_SIRET,17.706964520367936,2016-09-30,2.759526938239159,0.5400788436268069,0.0301700482473242,0.8,1.0,0.4855792277932652,0.6831673869644832,0.6831673869644832,1,0.135446956289664,2,HIGH,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-111481,16-7640,2015-07-20,2016-01-18,NAME:chu de nantes,NAME_FALLBACK,5.978975032851511,2016-01-20,0.0657030223390276,0.9890494962768288,0.5475438361239635,1.0,0.6,0.7989027167125944,0.9523978007550897,0.9523978007550897,1,0.387568526006604,5,HIGH,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-136102,15-155719,2015-09-07,2015-10-13,NAME:sm megalis,NAME_FALLBACK,1.1826544021024967,2016-01-07,2.8252299605781865,0.5291283399036355,0.9510071013121866,1.0,0.6,0.825134570435174,0.8554794834738785,0.8554794834738785,1,0.2210207291260015,2,HIGH,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-137458,15-155719,2015-09-09,2015-10-13,NAME:sm megalis,NAME_FALLBACK,1.1169513797634691,2016-01-09,2.890932982917214,0.5181778361804643,0.4303209238308393,1.0,0.6,0.6401567823859098,0.9126373043206055,0.9126373043206055,1,0.6401567823859098,1,HIGH,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-139562,16-146809,2015-09-11,2016-10-10,NAME:c h d la roche sur yon-lucon-montaigu,NAME_FALLBACK,12.976346911957949,2017-01-22,3.416557161629435,0.4305738063950942,0.470999994416253,0.2,0.6,0.3924934496444621,0.7550695512879111,0.7550695512879111,1,0.3924934496444621,1,HIGH,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-140966,16-101519,2015-09-15,2016-07-07,NAME:commune de saint jean de monts,NAME_FALLBACK,9.724047306176084,2016-05-24,1.445466491458607,0.7590889180902322,0.3756679594355756,0.1,0.6,0.4112560153250095,0.3517317447092359,0.3517317447092359,1,0.4112560153250095,1,MEDIUM,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-145608,16-73008,2015-09-24,2016-05-20,NAME:ccir pays de la loire,NAME_FALLBACK,7.851511169513797,2016-01-24,3.843626806833114,0.3593955321944809,0.0075416885373478,0.1,0.6,0.182488474036692,0.2725912925679225,0.2725912925679225,1,0.182488474036692,1,MEDIUM,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-146824,16-9312,2015-09-28,2016-03-15,NAME:ville de cholet,NAME_FALLBACK,5.551905387647832,2016-03-28,0.4270696452036793,0.9288217257993868,0.0943536266694895,0.1,0.6,0.355229200784168,0.247212157452608,0.247212157452608,1,0.355229200784168,1,MEDIUM,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-153604,16-79410,2015-10-08,2016-06-07,NAME:cte de cnes du pays fontenay le comte,NAME_FALLBACK,7.982917214191852,2016-04-08,1.971090670170828,0.6714848883048621,0.0653782661404476,0.1,0.6,0.2807536152253722,0.27875548381223975,0.27875548381223975,1,0.2807536152253722,1,MEDIUM,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-159973,16-94711,2015-10-28,2016-07-04,NAME:vendee eau,NAME_FALLBACK,8.21287779237845,2016-07-07,0.0985545335085413,0.9835742444152432,0.080153370039381,1.0,0.6,0.6339472406175941,0.9366216007067407,0.9366216007067407,1,0.0945166388035125,2,HIGH,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-165050,15-174987,2015-10-29,2015-11-18,NAME:angers loire metropole,NAME_FALLBACK,0.657030223390276,2016-04-29,5.354796320630749,0.1075339465615418,0.971958674112424,1.0,0.6,0.7270690225797338,0.7569774898889439,0.7569774898889439,1,0.3537555224540879,10,HIGH,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-165845,16-173853,2015-10-30,2016-12-02,NAME:commune de le pellerin,NAME_FALLBACK,13.107752956636006,2016-08-08,3.8107752956636,0.3648707840560666,0.1983871468645742,0.1,0.6,0.2506531974166176,0.301842160482457,0.301842160482457,1,0.2506531974166176,1,MEDIUM,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-169809,15-182957,2015-11-09,2015-12-04,NAME:chu de nantes,NAME_FALLBACK,0.8212877792378449,2016-05-09,5.157687253613666,0.1403854577310556,0.9479573418528516,1.0,0.6,0.7268814340812619,0.7665534862131983,0.7665534862131983,1,0.0015051518303461,7,POTENTIAL,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-171733,16-85256,2015-11-10,2016-06-09,NAME:s i d energies de maine et loire,NAME_FALLBACK,6.964520367936925,2016-05-10,0.985545335085414,0.835742444152431,0.0431773179995268,0.1,0.6,0.3140476723379422,0.2779061485009142,0.2779061485009142,1,0.3140476723379422,1,MEDIUM,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-173090,16-70203,2015-11-16,2016-05-17,NAME:universite de nantes,NAME_FALLBACK,6.011826544021025,2016-07-28,2.365308804204993,0.6057818659658345,0.065630527192823,1.0,0.6,0.5344161510089467,0.9492056531169012,0.9492056531169012,1,0.0280202360181862,10,POTENTIAL,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-173700,16-17002,2015-11-17,2016-02-04,NAME:ville de reze,NAME_FALLBACK,2.59526938239159,2016-05-17,3.383705650459921,0.4360490582566798,0.9164580923815036,1.0,0.6,0.7897725968976963,0.9199966156188477,0.9199966156188477,1,0.5896010940734697,3,HIGH,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-174358,16-70203,2015-11-17,2016-05-17,NAME:universite de nantes,NAME_FALLBACK,5.978975032851511,2016-07-28,2.365308804204993,0.6057818659658345,0.0657775511331507,1.0,0.6,0.5344676093880614,0.9492056531169012,0.9492056531169012,1,0.0295174265200425,10,POTENTIAL,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-179747,15-182957,2015-11-27,2015-12-04,NAME:chu de nantes,NAME_FALLBACK,0.2299605781865965,2016-05-27,5.7490144546649145,0.0418309242225142,0.975727238254414,1.0,0.6,0.7119622644446733,0.5539065265752264,0.5539065265752264,1,0.2414652535864784,7,HIGH,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-184743,16-80474,2015-12-11,2016-06-15,NAME:com communes du pays d ancenis,NAME_FALLBACK,6.14323258869908,2016-06-11,0.1314060446780552,0.9780989925536576,0.1665403361023132,0.1,0.6,0.392813865774224,0.23974536542341404,0.23974536542341404,1,0.392813865774224,1,MEDIUM,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-192276,16-94711,2016-02-05,2016-07-04,NAME:vendee eau,NAME_FALLBACK,4.92772667542707,2016-11-30,4.894875164257556,0.1841874726237407,0.0367841550534658,1.0,0.6,0.4189213224246482,0.9349229833995556,0.9349229833995556,1,0.0945803920689609,3,HIGH,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
