source_notice_id,candidate_notice_id,buyer_key_type,buyer_key,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used
15-101283,16-102267,NAME_FALLBACK,NAME:caf de la sarthe,2015-07-01,2016-07-09,12.28646517739816,2016-04-23,2.5295663600525624,0.7892028033289531,0.337109542221377,1.0,0.6,0.6752890406097203,False,False,1,0.6752890406097203,1,HIGH,window_12m,0.36869016102069596
15-102348,16-48016,NAME_FALLBACK,NAME:universite de nantes,2015-07-03,2016-03-31,8.935611038107753,2016-03-06,0.8212877792378449,0.9315593517301796,0.27267211565633775,1.0,0.6,0.6883250784122632,False,False,1,0.20258916373050967,15,HIGH,window_12m,0.36869016102069596
15-102510,16-183156,RAW_SIRET,SIRET:22720002900014,2015-07-03,2016-12-23,17.706964520367936,2016-09-30,2.759526938239159,0.7700394218134035,0.030170048247324298,0.8,1.0,0.5430693723399144,False,False,1,0.19019947490552036,4,HIGH,window_12m,0.36869016102069596
15-104125,16-19242,NAME_FALLBACK,NAME:ville de nantes,2015-07-08,2016-02-09,7.09592641261498,2016-01-08,1.0512483574244416,0.9123959702146298,0.1800516758603379,0.1,0.6,0.3811170791047757,True,False,1,0.03613147043709369,6,POTENTIAL,window_12m,0.36869016102069596
15-104589,15-170834,NAME_FALLBACK,NAME:spr pays de la loire,2015-07-08,2015-11-12,4.1721419185282524,2016-07-08,7.851511169513797,0.3457074025405169,0.9999999999999998,1.0,0.6,0.7964268506351291,False,False,1,0.4782087533031366,2,HIGH,window_12m,0.36869016102069596
15-111004,16-46830,RAW_SIRET,SIRET:19490970100303,2015-07-17,2016-03-31,8.47568988173456,2016-05-08,1.2483574244415243,0.8959702146298729,0.1304085325487645,0.0,1.0,0.3696355400495358,False,False,1,0.05563657029483887,5,MEDIUM,window_12m,0.36869016102069596
15-111481,16-7640,NAME_FALLBACK,NAME:chu de nantes,2015-07-20,2016-01-18,5.978975032851511,2016-01-20,0.0657030223390276,0.9945247481384144,0.5475438361239635,1.0,0.6,0.8002715296779908,False,False,1,0.3567702342851848,10,HIGH,window_12m,0.36869016102069596
15-115709,16-73319,NAME_FALLBACK,NAME:commune de saint-nazaire,2015-07-27,2016-05-24,9.921156373193167,2016-05-27,0.09855453350854139,0.9917871222076216,0.12899437745435238,0.2,0.6,0.4130948126609287,False,False,1,0.03609272432677113,9,POTENTIAL,window_12m,0.36869016102069596
15-115988,16-45870,NAME_FALLBACK,NAME:angers loire metropole,2015-07-27,2016-03-30,8.114323258869907,2015-11-27,4.073587385019711,0.6605343845816907,0.4509353598507773,0.0,0.6,0.38296097209319474,False,False,1,0.028045060894288154,12,POTENTIAL,window_12m,0.36869016102069596
15-115991,15-178562,NAME_FALLBACK,NAME:ville d angers,2015-07-27,2015-11-26,4.0078843626806835,2016-08-31,9.165571616294349,0.23620236530880423,0.4678179953335732,1.0,0.6,0.5827868896939516,False,False,1,0.3066569700804927,4,HIGH,window_12m,0.36869016102069596
