notice_id,buyer_key,buyer_key_type,publication_date,start_date,estimated_end_date,study_end_date,cpv_division,cpv_category,category_label,is_digital_scope,declared_duration_months,dur_was_imputed,event,time_to_event_or_censor_months,linked_candidate_notice_id,composite_score,confidence_tier,variant
20-36881,NAME:vendee grand littoral,NAME_FALLBACK,2020-03-11,2020-03-11,2020-09-11,2026-07-13,,,DIGITAL_ICT,True,6.0,True,1,0.6241787122207622,20-46786,0.394409765349502,MEDIUM,broad
20-45001,SIRET:45151864100035,RAW_SIRET,2020-03-27,2020-06-13,2020-10-13,2026-07-13,32,32221,DIGITAL_ICT,True,4.0,True,1,3.4822601839684624,20-88562,0.4657851014936198,MEDIUM,broad
20-35528,NAME:mauges communaute,NAME_FALLBACK,2020-03-09,2020-08-03,2021-02-03,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,76.11695137976346,,,,broad
20-46786,NAME:vendee grand littoral,NAME_FALLBACK,2020-03-30,2020-03-30,2020-09-30,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,75.42706964520367,,,,broad
20-38676,NAME:commune de nantes,NAME_FALLBACK,2020-03-15,2020-03-15,2020-09-15,2026-07-13,48,48000,DIGITAL_ICT,True,6.0,True,1,6.274638633377135,20-115620,0.3152836826420102,MEDIUM,broad
20-32203,NAME:nantes metropole,NAME_FALLBACK,2020-03-06,2020-03-06,2020-09-06,2026-07-13,72,72227,DIGITAL_ICT,True,6.0,True,1,10.446780551905388,21-7561,0.4594399193447939,POTENTIAL,broad
20-42809,NAME:departement de la mayenne,NAME_FALLBACK,2020-03-19,2020-03-19,2020-08-19,2026-07-13,79,79933,DIGITAL_ICT,True,5.0,True,0,75.78843626806834,,,,broad
20-34799,NAME:ecole nationale superieure maritime,NAME_FALLBACK,2020-03-08,2020-03-08,2020-09-08,2026-07-13,48,48190,DIGITAL_ICT,True,6.0,True,0,76.14980289093299,,,,broad
20-28749,NAME:commune de nantes,NAME_FALLBACK,2020-03-11,2020-03-11,2020-07-11,2026-07-13,32,32323,DIGITAL_ICT,True,4.0,True,1,4.467805519053877,20-93913,0.4669393184176972,MEDIUM,broad
20-31844,NAME:universite de nantes,NAME_FALLBACK,2020-03-04,2020-06-17,2020-12-17,2026-07-13,72,72261,DIGITAL_ICT,True,6.0,True,1,11.268068331143231,21-19011,0.4240599714594309,MEDIUM,broad
