source_notice_id,candidate_notice_id,buyer_key_type,buyer_key,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used
15-100455,19-156899,NAME_FALLBACK,NAME:nantes metropole,2015-07-01,2019-10-18,51.57687253613666,2019-12-17,1.9710906701708277,0.6714848883048621,0.18108383494026647,1.0,0.6,0.5912505643053088,False,False,1,0.2356717649472893,22,HIGH,strict,0.3931
15-111481,19-59985,NAME_FALLBACK,NAME:chu de nantes,2015-07-20,2019-04-17,44.908015768725356,2019-07-20,3.088042049934297,0.4853263250109505,0.24087660376622497,1.0,0.6,0.5656383925709163,False,False,1,0.2509199337054042,3,HIGH,strict,0.3931
15-115991,20-8882,NAME_FALLBACK,NAME:ville d angers,2015-07-27,2020-01-20,53.810775295663596,2020-03-31,2.3324572930354797,0.61125711782742,0.42590244854745934,1.0,0.6,0.6618801364484657,False,False,1,0.6618801364484657,1,HIGH,strict,0.3931
15-118979,19-130357,NAME_FALLBACK,NAME:departement de la sarthe,2015-07-30,2019-08-27,48.91590013140604,2019-07-30,0.9198423127463863,0.8466929478756022,0.6503475598029482,0.1,0.6,0.5292948828999324,True,False,1,0.0018219278510775982,10,POTENTIAL,strict,0.3931
15-126308,16-10649,NAME_FALLBACK,NAME:sdis 44,2015-08-13,2016-01-25,5.4204993429697765,2016-02-13,0.6241787122207622,0.8959702146298729,0.44951859674661243,0.0,0.6,0.4413240625187826,False,False,1,0.4413240625187826,1,MEDIUM,strict,0.3931
15-136102,18-158087,NAME_FALLBACK,NAME:sm megalis,2015-09-07,2018-11-15,38.272010512483575,2018-09-07,2.266754270696452,0.6222076215505914,0.694326259868366,1.0,0.6,0.7585660963415759,False,False,1,0.40880070576485267,3,HIGH,strict,0.3931
15-137458,18-158087,NAME_FALLBACK,NAME:sm megalis,2015-09-09,2018-11-15,38.206307490144546,2018-09-09,2.2010512483574245,0.6331581252737626,0.3652955712064892,1.0,0.6,0.6461429812407118,False,False,1,0.3059260407060882,3,HIGH,strict,0.3931
15-139094,19-141668,NAME_FALLBACK,NAME:sdis 85,2015-09-10,2019-09-19,48.29172141918528,2019-12-07,2.59526938239159,0.567455102934735,0.13363366849178385,0.6,0.6,0.4286355597058081,False,False,1,0.07797749239710117,3,MEDIUM,strict,0.3931
15-140966,16-101519,NAME_FALLBACK,NAME:commune de saint jean de monts,2015-09-15,2016-07-07,9.724047306176084,2016-05-24,1.445466491458607,0.7590889180902322,0.41010468344394047,0.1,0.6,0.4233088687279372,True,False,1,0.4233088687279372,1,MEDIUM,strict,0.3931
15-141361,19-177480,RAW_SIRET,SIRET:23440003400026,2015-09-16,2019-11-28,50.39421813403416,2020-02-19,2.726675427069645,0.5455540954883924,0.44786623889817817,0.0,1.0,0.3931417074864605,False,False,1,0.0036739019674065787,9,POTENTIAL,strict,0.3931
