source_notice_id,candidate_notice_id,buyer_key_type,buyer_key,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used
15-100455,16-57014,NAME_FALLBACK,NAME:nantes metropole,2015-07-01,2016-04-20,9.658344283837057,2016-05-17,0.8869908015768725,0.9014454664914586,0.13173506029027046,0.1,0.6,0.3614686377244593,True,False,1,0.023244158087008582,27,POTENTIAL,window_9m,0.3584179212853798
15-101283,16-102267,NAME_FALLBACK,NAME:caf de la sarthe,2015-07-01,2016-07-09,12.28646517739816,2016-04-23,2.5295663600525624,0.7189370711052708,0.337109542221377,1.0,0.6,0.6577226075537996,False,False,1,0.6577226075537996,1,HIGH,window_9m,0.3584179212853798
15-102348,16-48016,NAME_FALLBACK,NAME:universite de nantes,2015-07-03,2016-03-31,8.935611038107753,2016-03-06,0.8212877792378449,0.9087458023069062,0.27267211565633775,1.0,0.6,0.6826216910564449,False,False,1,0.2005359442824151,13,HIGH,window_9m,0.3584179212853798
15-102510,16-183156,RAW_SIRET,SIRET:22720002900014,2015-07-03,2016-12-23,17.706964520367936,2016-09-30,2.759526938239159,0.6933858957512046,0.0301700482473243,0.8,1.0,0.5239059908243646,False,False,1,0.17194863536690164,3,HIGH,window_9m,0.3584179212853798
15-104125,16-19242,NAME_FALLBACK,NAME:ville de nantes,2015-07-08,2016-02-09,7.09592641261498,2016-01-08,1.0512483574244416,0.8831946269528398,0.18005167586033788,0.1,0.6,0.3738167432893282,True,False,1,0.032709438023602655,6,POTENTIAL,window_9m,0.3584179212853798
15-104589,15-170834,NAME_FALLBACK,NAME:spr pays de la loire,2015-07-08,2015-11-12,4.1721419185282524,2016-07-08,7.851511169513797,0.12760987005402258,0.9999999999999997,1.0,0.6,0.7419024675135055,False,False,1,0.7419024675135055,1,HIGH,window_9m,0.3584179212853798
15-111004,16-46830,RAW_SIRET,SIRET:19490970100303,2015-07-17,2016-03-31,8.47568988173456,2016-05-08,1.2483574244415243,0.8612936195064973,0.1304085325487645,0.0,1.0,0.3609663912686919,False,False,1,0.059743009191028096,4,MEDIUM,window_9m,0.3584179212853798
15-111481,16-7640,NAME_FALLBACK,NAME:chu de nantes,2015-07-20,2016-01-18,5.978975032851511,2016-01-20,0.0657030223390276,0.9926996641845525,0.5475438361239636,1.0,0.6,0.7998152586895253,False,False,1,0.36703633152565784,8,HIGH,window_9m,0.3584179212853798
15-115709,16-73319,NAME_FALLBACK,NAME:commune de saint-nazaire,2015-07-27,2016-05-24,9.921156373193167,2016-05-27,0.09855453350854139,0.9890494962768287,0.12899437745435238,0.2,0.6,0.4124104061782305,False,False,1,0.0484120410153388,7,POTENTIAL,window_9m,0.3584179212853798
15-118979,15-189271,NAME_FALLBACK,NAME:departement de la sarthe,2015-07-30,2015-12-18,4.6320630749014455,2016-01-30,1.4126149802890933,0.8430427799678786,0.6976139570268969,0.2,0.6,0.5749255799513835,False,False,1,0.20293470868831254,9,HIGH,window_9m,0.3584179212853798
15-122609,16-32105,NAME_FALLBACK,NAME:ville de carquefou,2015-08-07,2016-03-07,6.9973718791064385,2016-04-23,1.5440210249671484,0.8284421083369835,0.1530238793615442,0.2,0.6,0.38066888486078637,False,False,1,0.03262793766101074,3,POTENTIAL,window_9m,0.3584179212853798
15-126308,16-10649,NAME_FALLBACK,NAME:sdis 44,2015-08-13,2016-01-25,5.4204993429697765,2016-02-13,0.6241787122207622,0.9306468097532486,0.4498344366689664,0.0,0.6,0.4501037552724504,False,False,1,0.32815334135653773,2,MEDIUM,window_9m,0.3584179212853798
15-136102,15-155719,NAME_FALLBACK,NAME:sm megalis,2015-09-07,2015-10-13,1.1826544021024967,2016-01-07,2.8252299605781865,0.686085559935757,0.9510071013121866,1.0,0.6,0.8643738754432044,False,False,1,0.2055075155181758,2,HIGH,window_9m,0.3584179212853798
15-137458,15-155719,NAME_FALLBACK,NAME:sm megalis,2015-09-09,2015-10-13,1.1169513797634691,2016-01-09,2.890932982917214,0.6787852241203096,0.4303209238308393,1.0,0.6,0.6803086293708711,False,False,1,0.6803086293708711,1,HIGH,window_9m,0.3584179212853798
15-139094,16-131495,NAME_FALLBACK,NAME:sdis 85,2015-09-10,2016-09-08,11.957950065703022,2016-05-07,4.073587385019711,0.5473791794422543,0.34382731711362163,0.4,0.6,0.43718435585033116,False,False,1,0.052257096645274115,2,MEDIUM,window_9m,0.3584179212853798
15-139179,16-68672,NAME_FALLBACK,NAME:ecole centrale de nantes,2015-09-10,2016-05-12,8.04862023653088,2016-03-10,2.0696452036793693,0.7700394218134035,0.2956703485403085,0.1,0.6,0.3859944774424588,True,False,1,0.027739192887417052,5,POTENTIAL,window_9m,0.3584179212853798
15-139562,16-146809,NAME_FALLBACK,NAME:c h d la roche sur yon-lucon-montaigu,2015-09-11,2016-10-10,12.976346911957949,2017-01-22,3.416557161629435,0.6203825375967295,0.47099999441625295,0.2,0.6,0.4399456324448709,False,True,1,0.4399456324448709,1,MEDIUM,window_9m,0.3584179212853798
15-140966,16-101519,NAME_FALLBACK,NAME:commune de saint jean de monts,2015-09-15,2016-07-07,9.724047306176084,2016-05-24,1.445466491458607,0.8393926120601548,0.3756679594355756,0.1,0.6,0.43133193881749016,True,False,1,0.43133193881749016,1,MEDIUM,window_9m,0.3584179212853798
