notice_id,buyer_key,buyer_key_type,publication_date,start_date,estimated_end_date,study_end_date,cpv_division,cpv_category,category_label,is_digital_scope,declared_duration_months,dur_was_imputed,event,time_to_event_or_censor_months,linked_candidate_notice_id,composite_score,confidence_tier,variant
22-122079,SIRET:22440002800011,RAW_SIRET,2022-09-12,2022-09-12,2026-09-12,2026-07-13,79,79530,DIGITAL_ICT,True,48.0,True,0,45.992115637319316,,,,window_18m
22-127675,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2022-09-25,2023-03-12,2026-03-12,2026-07-13,32,32321,DIGITAL_ICT,True,36.0,True,0,45.565045992115635,,,,window_18m
22-120139,NAME:ministere des affaires etrangeres,NAME_FALLBACK,2022-09-08,2023-05-08,2027-05-08,2026-07-13,72,72250,DIGITAL_ICT,True,48.0,True,0,46.123521681997374,,,,window_18m
22-122102,SIRET:21440158000011,RAW_SIRET,2022-09-12,2022-09-12,2025-09-12,2026-07-13,32,32420,DIGITAL_ICT,True,36.0,True,0,45.992115637319316,,,,window_18m
22-130851,SIRET:22530001100015,RAW_SIRET,2022-10-02,2023-01-08,2027-01-08,2026-07-13,72,72268,DIGITAL_ICT,True,48.0,True,0,45.33508541392904,,,,window_18m
22-136844,SIRET:24720013200014,RAW_SIRET,2022-10-14,2024-01-05,2028-01-05,2026-07-13,72,72700,DIGITAL_ICT,True,48.0,True,0,44.940867279894874,,,,window_18m
22-141252,NAME:reseau canope,NAME_FALLBACK,2022-10-20,2022-10-20,2026-10-20,2026-07-13,72,72212,DIGITAL_ICT,True,48.0,True,0,44.74375821287779,,,,window_18m
22-143552,NAME:cmar pays de la loire,NAME_FALLBACK,2022-10-27,2023-03-22,2026-03-22,2026-07-13,32,32412,DIGITAL_ICT,True,36.0,True,0,44.513797634691194,,,,window_18m
22-137740,NAME:cnam,NAME_FALLBACK,2022-10-15,2022-10-15,2026-10-15,2026-07-13,79,79520,DIGITAL_ICT,True,48.0,True,0,44.90801576872536,,,,window_18m
22-144549,SIRET:21440109300015,RAW_SIRET,2022-10-26,2022-10-26,2025-10-26,2026-07-13,71,71241,DIGITAL_ICT,True,36.0,True,0,44.54664914586071,,,,window_18m
22-145708,NAME:semitan mandataire de nantes metropole,NAME_FALLBACK,2022-10-30,2023-04-01,2027-04-01,2026-07-13,72,72246,DIGITAL_ICT,True,48.0,True,0,44.415243101182654,,,,window_18m
22-132102,SIRET:21720264700012,RAW_SIRET,2022-10-03,2022-10-03,2023-10-03,2026-07-13,45,45210,DIGITAL_ICT,True,12.0,True,0,45.302233902759525,,,,window_18m
22-130701,SIRET:13002523200013,RAW_SIRET,2022-10-01,2022-10-01,2026-10-01,2026-07-13,48,48180,DIGITAL_ICT,True,48.0,True,0,45.367936925098554,,,,window_18m
22-134715,SIRET:22440002800011,RAW_SIRET,2022-10-07,2022-10-07,2026-10-07,2026-07-13,48,48931,DIGITAL_ICT,True,48.0,True,0,45.17082785808147,,,,window_18m
22-133794,NAME:nantes metropole,NAME_FALLBACK,2022-10-08,2022-10-08,2026-10-08,2026-07-13,72,72224,DIGITAL_ICT,True,48.0,True,0,45.137976346911955,,,,window_18m
22-135583,SIRET:21440143200015,RAW_SIRET,2022-10-10,2022-10-10,2023-10-10,2026-07-13,45,45310,DIGITAL_ICT,True,12.0,True,0,45.07227332457293,,,,window_18m
22-142509,SIRET:24440040400129,RAW_SIRET,2022-10-24,2022-10-24,2026-10-24,2026-07-13,48,48000,DIGITAL_ICT,True,48.0,True,1,43.823915900131404,26-60182,0.4055497710289373,POTENTIAL,window_18m
22-143289,SIRET:24440064400013,RAW_SIRET,2022-10-27,2023-03-04,2027-03-04,2026-07-13,48,48600,DIGITAL_ICT,True,48.0,True,0,44.513797634691194,,,,window_18m
22-136155,SIRET:22850001300765,RAW_SIRET,2022-10-11,2023-03-03,2027-03-03,2026-07-13,72,72416,DIGITAL_ICT,True,48.0,True,0,45.039421813403415,,,,window_18m
22-139769,SIRET:20005359300014,RAW_SIRET,2022-10-18,2022-10-18,2025-10-18,2026-07-13,32,32550,DIGITAL_ICT,True,36.0,True,0,44.80946123521682,,,,window_18m
22-135485,NAME:semitan mandataire de nantes metropole,NAME_FALLBACK,2022-10-20,2023-05-05,2027-05-05,2026-07-13,72,72212,DIGITAL_ICT,True,48.0,True,0,44.74375821287779,,,,window_18m
22-141594,SIRET:24490001500011,RAW_SIRET,2022-10-21,2022-10-21,2026-10-21,2026-07-13,72,72319,DIGITAL_ICT,True,48.0,True,0,44.710906701708275,,,,window_18m
22-141031,NAME:semitan,NAME_FALLBACK,2022-10-22,2023-04-08,2027-04-08,2026-07-13,72,72610,DIGITAL_ICT,True,48.0,True,0,44.678055190538764,,,,window_18m
22-145122,NAME:ville de coulaines,NAME_FALLBACK,2022-10-27,2022-10-27,2023-04-27,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,44.513797634691194,,,,window_18m
22-134805,SIRET:22440002800011,RAW_SIRET,2022-10-09,2023-08-06,2027-08-06,2026-07-13,79,79340,DIGITAL_ICT,True,48.0,True,0,45.105124835742444,,,,window_18m
22-137172,SIRET:21720181300011,RAW_SIRET,2022-10-15,2023-01-14,2027-01-14,2026-07-13,72,72267,DIGITAL_ICT,True,48.0,True,0,44.90801576872536,,,,window_18m
22-138409,NAME:eptb vilaine,NAME_FALLBACK,2022-10-18,2022-10-18,2023-04-18,2026-07-13,,,DIGITAL_ICT,True,6.0,True,1,1.149802890932983,22-154906,0.6176452182211027,HIGH,window_18m
22-137807,NAME:gie des epl de vendee,NAME_FALLBACK,2022-10-14,2022-10-14,2026-10-14,2026-07-13,72,72500,DIGITAL_ICT,True,48.0,True,0,44.940867279894874,,,,window_18m
22-131126,SIRET:19490970100303,RAW_SIRET,2022-10-02,2023-01-19,2026-01-19,2026-07-13,32,32415,DIGITAL_ICT,True,36.0,True,0,45.33508541392904,,,,window_18m
22-138398,NAME:ctre hosp universitaire angers,NAME_FALLBACK,2022-10-16,2023-02-08,2027-02-08,2026-07-13,79,79540,DIGITAL_ICT,True,48.0,True,0,44.875164257555845,,,,window_18m
22-138435,SIRET:24720009000014,RAW_SIRET,2022-10-16,2023-01-25,2025-01-25,2026-07-13,30,30192,DIGITAL_ICT,True,24.0,True,0,44.875164257555845,,,,window_18m
22-141355,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2022-10-22,2023-07-07,2026-07-07,2026-07-13,71,71310,DIGITAL_ICT,True,36.0,True,0,44.678055190538764,,,,window_18m
22-140992,SIRET:21440143200015,RAW_SIRET,2022-10-20,2022-10-20,2026-10-20,2026-07-13,72,72610,DIGITAL_ICT,True,48.0,True,0,44.74375821287779,,,,window_18m
22-150567,NAME:geves,NAME_FALLBACK,2022-11-12,2023-07-25,2027-07-25,2026-07-13,35,35113,DIGITAL_ICT,True,48.0,True,0,43.98817345597897,,,,window_18m
22-153148,SIRET:23440003400026,RAW_SIRET,2022-11-19,2022-11-19,2026-11-19,2026-07-13,72,72319,DIGITAL_ICT,True,48.0,True,0,43.75821287779238,,,,window_18m
22-153504,NAME:nantes metropole,NAME_FALLBACK,2022-11-20,2022-11-20,2026-11-20,2026-07-13,48,48000,DIGITAL_ICT,True,48.0,True,1,41.29434954007884,26-43788,0.5587070998225365,POTENTIAL,window_18m
22-156333,SIRET:24440040400129,RAW_SIRET,2022-11-24,2022-11-24,2026-11-24,2026-07-13,72,72243,DIGITAL_ICT,True,48.0,True,0,43.59395532194481,,,,window_18m
22-146829,NAME:l opcommerce,NAME_FALLBACK,2022-11-04,2022-11-04,2023-11-04,2026-07-13,80,80500,DIGITAL_ICT,True,12.0,True,0,44.250985545335084,,,,window_18m
22-150236,NAME:sdis 44,NAME_FALLBACK,2022-11-10,2022-11-10,2023-05-10,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,44.053876478318,,,,window_18m
22-150892,NAME:ville de coulaines,NAME_FALLBACK,2022-11-10,2022-11-10,2023-05-10,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,44.053876478318,,,,window_18m
22-154906,NAME:eptb vilaine,NAME_FALLBACK,2022-11-22,2022-11-22,2023-05-22,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,43.659658344283834,,,,window_18m
22-157032,SIRET:26530023600014,RAW_SIRET,2022-11-27,2023-02-04,2026-02-04,2026-07-13,32,32000,DIGITAL_ICT,True,36.0,True,0,43.49540078843627,,,,window_18m
22-146330,NAME:vendee,NAME_FALLBACK,2022-11-02,2023-02-02,2027-02-02,2026-07-13,72,72500,DIGITAL_ICT,True,48.0,True,0,44.31668856767411,,,,window_18m
22-150264,SIRET:23440003400026,RAW_SIRET,2022-11-10,2022-11-10,2026-11-10,2026-07-13,48,48000,DIGITAL_ICT,True,48.0,True,0,44.053876478318,,,,window_18m
22-150817,SIRET:19490970100303,RAW_SIRET,2022-11-12,2023-12-13,2026-12-13,2026-07-13,32,32321,DIGITAL_ICT,True,36.0,True,0,43.98817345597897,,,,window_18m
22-154717,NAME:nantes metropole,NAME_FALLBACK,2022-11-23,2022-11-23,2026-11-23,2026-07-13,48,48000,DIGITAL_ICT,True,48.0,True,1,40.2431011826544,26-33573,0.5950329872922964,POTENTIAL,window_18m
22-159813,NAME:gie sesam vitale,NAME_FALLBACK,2022-12-04,2023-05-06,2027-05-06,2026-07-13,72,72600,DIGITAL_ICT,True,48.0,True,0,43.26544021024967,,,,window_18m
22-163117,SIRET:28720026500018,RAW_SIRET,2022-12-09,2023-03-24,2027-03-24,2026-07-13,35,35111,DIGITAL_ICT,True,48.0,True,0,43.1011826544021,,,,window_18m
22-162609,SIRET:24490001500060,RAW_SIRET,2022-12-09,2022-12-09,2026-12-09,2026-07-13,48,48813,DIGITAL_ICT,True,48.0,True,0,43.1011826544021,,,,window_18m
22-162295,NAME:cci pays de la loire,NAME_FALLBACK,2022-12-10,2023-03-12,2027-03-12,2026-07-13,72,72130,DIGITAL_ICT,True,48.0,True,0,43.06833114323259,,,,window_18m
22-162095,SIRET:22530001100015,RAW_SIRET,2022-12-09,2023-03-02,2027-03-02,2026-07-13,72,72268,DIGITAL_ICT,True,48.0,True,0,43.1011826544021,,,,window_18m
22-162091,SIRET:23440003400026,RAW_SIRET,2022-12-09,2023-06-07,2027-06-07,2026-07-13,48,48000,DIGITAL_ICT,True,48.0,True,0,43.1011826544021,,,,window_18m
22-163372,SIRET:21440184600016,RAW_SIRET,2022-12-09,2023-05-04,2027-05-04,2026-07-13,48,48219,DIGITAL_ICT,True,48.0,True,0,43.1011826544021,,,,window_18m
22-165925,SIRET:20005042500012,RAW_SIRET,2022-12-15,2022-12-15,2026-12-15,2026-07-13,72,72416,DIGITAL_ICT,True,48.0,True,0,42.90407358738502,,,,window_18m
22-166698,SIRET:22850001300658,RAW_SIRET,2022-12-18,2023-05-14,2027-05-14,2026-07-13,72,72267,DIGITAL_ICT,True,48.0,True,0,42.80551905387648,,,,window_18m
22-165707,NAME:ch le mans,NAME_FALLBACK,2022-12-15,2022-12-15,2026-12-15,2026-07-13,72,72250,DIGITAL_ICT,True,48.0,True,0,42.90407358738502,,,,window_18m
22-165917,NAME:nantes metropole,NAME_FALLBACK,2022-12-18,2022-12-18,2026-12-18,2026-07-13,72,72000,DIGITAL_ICT,True,48.0,True,0,42.80551905387648,,,,window_18m
22-166987,NAME:gie des epl de vendee,NAME_FALLBACK,2022-12-19,2022-12-19,2026-12-19,2026-07-13,72,72500,DIGITAL_ICT,True,48.0,True,0,42.77266754270696,,,,window_18m
22-160820,SIRET:20007326000016,RAW_SIRET,2022-12-05,2022-12-05,2026-12-05,2026-07-13,72,72200,DIGITAL_ICT,True,48.0,True,0,43.23258869908016,,,,window_18m
22-163107,NAME:commune de nantes,NAME_FALLBACK,2022-12-09,2023-03-23,2024-03-23,2026-07-13,45,45261,DIGITAL_ICT,True,12.0,True,0,43.1011826544021,,,,window_18m
22-165672,SIRET:25490130900032,RAW_SIRET,2022-12-17,2022-12-17,2026-12-17,2026-07-13,48,48000,DIGITAL_ICT,True,48.0,True,0,42.83837056504599,,,,window_18m
22-166133,NAME:gie des epl de vendee,NAME_FALLBACK,2022-12-18,2022-12-18,2026-12-18,2026-07-13,48,48000,DIGITAL_ICT,True,48.0,True,0,42.80551905387648,,,,window_18m
22-167195,NAME:st gilles croix de vie agglomeration,NAME_FALLBACK,2022-12-21,2023-04-20,2025-04-20,2026-07-13,30,30230,DIGITAL_ICT,True,24.0,True,0,42.70696452036794,,,,window_18m
22-157410,NAME:nantes metropole,NAME_FALLBACK,2022-12-03,2022-12-03,2026-12-03,2026-07-13,72,72227,DIGITAL_ICT,True,48.0,True,1,32.09592641261498,25-90009,0.4104169838101126,MEDIUM,window_18m
22-163765,SIRET:20005433600017,RAW_SIRET,2022-12-12,2022-12-12,2026-12-12,2026-07-13,35,35123,DIGITAL_ICT,True,48.0,True,0,43.00262812089356,,,,window_18m
22-164942,NAME:syndicat d eau de l anjou,NAME_FALLBACK,2022-12-16,2022-12-16,2025-12-16,2026-07-13,71,71316,DIGITAL_ICT,True,36.0,True,0,42.8712220762155,,,,window_18m
22-160850,SIRET:22440002800011,RAW_SIRET,2022-12-05,2022-12-05,2025-12-05,2026-07-13,32,32321,DIGITAL_ICT,True,36.0,True,0,43.23258869908016,,,,window_18m
22-165686,SIRET:21440184600016,RAW_SIRET,2022-12-15,2023-04-03,2027-04-03,2026-07-13,72,72416,DIGITAL_ICT,True,48.0,True,0,42.90407358738502,,,,window_18m
22-166149,NAME:gie des epl de vendee,NAME_FALLBACK,2022-12-18,2023-03-03,2027-03-03,2026-07-13,48,48620,DIGITAL_ICT,True,48.0,True,0,42.80551905387648,,,,window_18m
22-168942,NAME:spr pays de la loire,NAME_FALLBACK,2022-12-23,2023-06-04,2026-06-04,2026-07-13,71,71316,DIGITAL_ICT,True,36.0,True,0,42.64126149802891,,,,window_18m
23-7811,SIRET:21610001600015,RAW_SIRET,2023-01-17,2023-01-17,2024-01-17,2026-07-13,45,45311,DIGITAL_ICT,True,12.0,True,0,41.81997371879106,,,,window_18m
23-2072,NAME:ville de bouguenais,NAME_FALLBACK,2023-01-07,2023-04-22,2027-04-22,2026-07-13,72,72212,DIGITAL_ICT,True,48.0,True,0,42.1484888304862,,,,window_18m
23-5727,NAME:cci pays de la loire,NAME_FALLBACK,2023-01-14,2023-04-05,2027-04-05,2026-07-13,72,72610,DIGITAL_ICT,True,48.0,True,0,41.91852825229961,,,,window_18m
23-217,NAME:ville d orvault,NAME_FALLBACK,2023-01-02,2023-01-02,2023-07-02,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,42.31274638633377,,,,window_18m
23-3092,SIRET:24440040400129,RAW_SIRET,2023-01-12,2023-01-12,2027-01-12,2026-07-13,79,79540,DIGITAL_ICT,True,48.0,True,0,41.98423127463863,,,,window_18m
23-6460,SIRET:77560485300041,RAW_SIRET,2023-01-13,2023-01-13,2026-01-13,2026-07-13,32,32230,DIGITAL_ICT,True,36.0,True,0,41.95137976346912,,,,window_18m
23-12403,SIRET:25850022200033,RAW_SIRET,2023-01-26,2023-01-26,2027-01-26,2026-07-13,48,48000,DIGITAL_ICT,True,48.0,True,0,41.52431011826544,,,,window_18m
23-6087,SIRET:21850191400566,RAW_SIRET,2023-01-13,2023-01-13,2027-01-13,2026-07-13,72,72413,DIGITAL_ICT,True,48.0,True,0,41.95137976346912,,,,window_18m
23-12419,SIRET:23440003400026,RAW_SIRET,2023-01-28,2023-06-18,2027-06-18,2026-07-13,72,72212,DIGITAL_ICT,True,48.0,True,0,41.45860709592641,,,,window_18m
23-13321,NAME:cc ocean marais de monts,NAME_FALLBACK,2023-01-29,2023-06-04,2027-06-04,2026-07-13,72,72220,DIGITAL_ICT,True,48.0,True,0,41.4257555847569,,,,window_18m
