notice_id,buyer_key,buyer_key_type,publication_date,start_date,estimated_end_date,study_end_date,cpv_division,cpv_category,category_label,is_digital_scope,declared_duration_months,dur_was_imputed,event,time_to_event_or_censor_months,linked_candidate_notice_id,composite_score,confidence_tier,variant
25-35958,NAME:creps des pays de la loire,NAME_FALLBACK,2025-03-31,2025-05-22,2026-02-22,2026-07-13,48.0,48000.0,DIGITAL_ICT,True,9.0,False,0,15.407358738501971,,,,baseline_broad
25-25127,NAME:centre hospitalier de laval 53,NAME_FALLBACK,2025-03-05,2025-03-05,2025-07-05,2026-07-13,32.0,32321.0,DIGITAL_ICT,True,4.0,True,0,16.26149802890933,,,,baseline_broad
25-34950,NAME:ecole nationale superieure d arts et metiers,NAME_FALLBACK,2025-03-27,2025-03-27,2025-09-27,2026-07-13,48.0,48190.0,DIGITAL_ICT,True,6.0,True,0,15.538764783180026,,,,baseline_broad
25-30282,SIRET:23440003400026,RAW_SIRET,2025-03-19,2025-08-02,2026-01-02,2026-07-13,92.0,92512.0,DIGITAL_ICT,True,5.0,False,1,10.11826544021025,26-6662,0.33012505227227673,POTENTIAL,baseline_broad
25-30074,NAME:cnieg caisse nationale des industries electriques et gazieres,NAME_FALLBACK,2025-03-19,2025-08-10,2026-02-10,2026-07-13,72.0,72220.0,DIGITAL_ICT,True,6.0,False,0,15.801576872536137,,,,baseline_broad
25-30335,NAME:conseil departemental de la mayenne,NAME_FALLBACK,2025-03-18,2025-03-18,2029-03-18,2026-07-13,72.0,72268.0,DIGITAL_ICT,True,48.0,False,0,15.834428383705651,,,,baseline_broad
25-27783,NAME:societe publique regionale abbaye de fontevraud,NAME_FALLBACK,2025-03-13,2025-06-05,2025-08-05,2026-07-13,32.0,32323.0,DIGITAL_ICT,True,2.0,False,0,15.99868593955322,,,,baseline_broad
25-32752,SIRET:24850058900317,RAW_SIRET,2025-03-25,2025-03-25,2025-07-25,2026-07-13,30.0,30230.0,DIGITAL_ICT,True,4.0,False,0,15.604467805519054,,,,baseline_broad
25-33262,SIRET:18450021300014,RAW_SIRET,2025-03-26,2025-03-26,2025-07-26,2026-07-13,35.0,35111.0,DIGITAL_ICT,True,4.0,False,0,15.57161629434954,,,,baseline_broad
25-44713,NAME:departement du finistere 32 boulevard dupleix 29196 quimper,NAME_FALLBACK,2025-04-18,2025-04-18,2025-10-18,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,14.816031537450723,,,,baseline_broad
25-45593,NAME:nantes metropole,NAME_FALLBACK,2025-04-22,2025-04-22,2025-10-22,2026-07-13,72.0,72600.0,DIGITAL_ICT,True,6.0,True,1,7.457293035479632,25-134329,0.3168863307076539,POTENTIAL,baseline_broad
25-48468,SIRET:24440043800127,RAW_SIRET,2025-04-30,2025-04-30,2025-10-30,2026-07-13,72.0,72250.0,DIGITAL_ICT,True,6.0,False,1,0.1314060446780552,25-49952,0.7549824791940428,HIGH,baseline_broad
25-49286,NAME:territoire d energie loire-atlantique,NAME_FALLBACK,2025-04-30,2025-08-28,2026-08-28,2026-07-13,30.0,30230.0,DIGITAL_ICT,True,12.0,False,0,14.421813403416557,,,,baseline_broad
25-38048,NAME:ville de saint nazaire,NAME_FALLBACK,2025-04-03,2025-04-03,2029-04-03,2026-07-13,72.0,72250.0,DIGITAL_ICT,True,48.0,False,0,15.30880420499343,,,,baseline_broad
25-42228,NAME:universite de rennes,NAME_FALLBACK,2025-04-14,2025-04-14,2030-04-14,2026-07-13,72.0,72000.0,DIGITAL_ICT,True,60.0,False,0,14.947437582128778,,,,baseline_broad
25-44681,SIRET:39172288100052,RAW_SIRET,2025-04-20,2026-02-15,2031-02-15,2026-07-13,48.0,48000.0,DIGITAL_ICT,True,60.0,False,0,14.750328515111695,,,,baseline_broad
