notice_id,buyer_key,buyer_key_type,publication_date,start_date,estimated_end_date,study_end_date,cpv_division,cpv_category,category_label,is_digital_scope,declared_duration_months,dur_was_imputed,event,time_to_event_or_censor_months,linked_candidate_notice_id,composite_score,confidence_tier,variant
20-64610,NAME:cnieg,NAME_FALLBACK,2020-05-17,2020-10-21,2024-10-21,2026-07-13,72,72220,DIGITAL_ICT,True,48.0,True,0,73.85019710906701,,,,strict
20-67250,NAME:rectorat de l academie de nantes,NAME_FALLBACK,2020-05-22,2020-05-22,2023-05-22,2026-07-13,32,32544,DIGITAL_ICT,True,36.0,True,0,73.68593955321944,,,,strict
20-77272,NAME:universite du maine,NAME_FALLBACK,2020-06-16,2020-10-28,2021-06-28,2026-07-13,42,42612,DIGITAL_ICT,True,8.0,True,0,72.8646517739816,,,,strict
20-79138,NAME:agce pour l enst fr a l etranger,NAME_FALLBACK,2020-06-19,2020-06-19,2023-06-19,2026-07-13,32,32410,DIGITAL_ICT,True,36.0,True,0,72.76609724047306,,,,strict
20-71610,NAME:metropole nantes metropole,NAME_FALLBACK,2020-06-07,2020-06-07,2024-06-07,2026-07-13,72,72310,DIGITAL_ICT,True,48.0,True,0,73.16031537450722,,,,strict
20-75569,NAME:crous de nantes,NAME_FALLBACK,2020-06-14,2020-11-14,2024-11-14,2026-07-13,72,72150,DIGITAL_ICT,True,48.0,True,0,72.93035479632063,,,,strict
20-72791,SIRET:88324710800011,RAW_SIRET,2020-06-07,2020-10-10,2024-10-10,2026-07-13,72,72224,DIGITAL_ICT,True,48.0,True,0,73.16031537450722,,,,strict
20-74255,NAME:ctre hosp universitaire angers,NAME_FALLBACK,2020-06-10,2020-06-10,2023-06-10,2026-07-13,50,50324,DIGITAL_ICT,True,36.0,True,0,73.06176084099869,,,,strict
20-70855,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2020-06-02,2020-06-02,2023-06-02,2026-07-13,32,32353,DIGITAL_ICT,True,36.0,True,0,73.32457293035479,,,,strict
20-72017,NAME:sdis 85,NAME_FALLBACK,2020-06-04,2020-06-04,2024-06-04,2026-07-13,35,35112,DIGITAL_ICT,True,48.0,True,0,73.25886990801577,,,,strict
20-82730,NAME:soc publique reg abe de fontevraud,NAME_FALLBACK,2020-06-29,2020-06-29,2022-06-29,2026-07-13,30,30200,DIGITAL_ICT,True,24.0,True,0,72.43758212877792,,,,strict
20-71496,SIRET:22850001300658,RAW_SIRET,2020-06-05,2021-02-19,2025-02-19,2026-07-13,79,79980,DIGITAL_ICT,True,48.0,True,0,73.22601839684626,,,,strict
20-70680,SIRET:22490001900015,RAW_SIRET,2020-06-06,2020-08-02,2023-08-02,2026-07-13,32,32400,DIGITAL_ICT,True,36.0,True,0,73.19316688567675,,,,strict
20-72064,NAME:dir ouest,NAME_FALLBACK,2020-06-06,2020-06-06,2023-06-06,2026-07-13,32,32344,DIGITAL_ICT,True,36.0,True,0,73.19316688567675,,,,strict
20-76288,NAME:laval agglomeration,NAME_FALLBACK,2020-06-17,2020-06-17,2024-06-17,2026-07-13,35,35261,DIGITAL_ICT,True,48.0,True,0,72.8318002628121,,,,strict
20-78012,NAME:nantes metropole,NAME_FALLBACK,2020-06-18,2020-06-18,2024-06-18,2026-07-13,48,48761,DIGITAL_ICT,True,48.0,True,0,72.79894875164257,,,,strict
20-70773,NAME:chu de nantes,NAME_FALLBACK,2020-06-04,2021-02-14,2021-08-14,2026-07-13,33,33696,DIGITAL_ICT,True,6.0,True,0,73.25886990801577,,,,strict
20-75743,NAME:cte de communes d erdre et gesvres,NAME_FALLBACK,2020-06-12,2020-06-12,2020-12-12,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,72.99605781865966,,,,strict
20-78232,NAME:departement de maine-et-loire,NAME_FALLBACK,2020-06-18,2020-06-18,2020-12-18,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,72.79894875164257,,,,strict
20-81059,NAME:mauges communaute,NAME_FALLBACK,2020-06-24,2020-06-24,2024-06-24,2026-07-13,48,48444,DIGITAL_ICT,True,48.0,True,0,72.60183968462549,,,,strict
20-85738,NAME:le mans metropole - communaute urbaine,NAME_FALLBACK,2020-07-03,2020-11-24,2023-11-24,2026-07-13,71,71336,DIGITAL_ICT,True,36.0,True,0,72.30617608409987,,,,strict
20-89025,SIRET:20008976100015,RAW_SIRET,2020-07-12,2021-01-01,2021-07-01,2026-07-13,64,64200,DIGITAL_ICT,True,6.0,True,0,72.01051248357425,,,,strict
20-91088,SIRET:24720013200014,RAW_SIRET,2020-07-18,2021-05-23,2025-05-23,2026-07-13,48,48210,DIGITAL_ICT,True,48.0,True,0,71.81340341655716,,,,strict
20-85492,NAME:angers loire metropole,NAME_FALLBACK,2020-07-22,2021-01-07,2024-01-07,2026-07-13,32,32424,DIGITAL_ICT,True,36.0,True,0,71.6819973718791,,,,strict
20-93724,SIRET:13001232100050,RAW_SIRET,2020-07-24,2020-12-17,2024-12-17,2026-07-13,72,72500,DIGITAL_ICT,True,48.0,True,0,71.61629434954008,,,,strict
20-94462,NAME:ch le mans,NAME_FALLBACK,2020-07-26,2020-10-10,2024-10-10,2026-07-13,48,48210,DIGITAL_ICT,True,48.0,True,0,71.55059132720105,,,,strict
20-88363,NAME:departement de la mayenne,NAME_FALLBACK,2020-07-09,2020-07-09,2024-07-09,2026-07-13,72,72212,DIGITAL_ICT,True,48.0,True,0,72.10906701708278,,,,strict
20-96647,SIRET:21440143200015,RAW_SIRET,2020-07-31,2020-11-06,2024-11-06,2026-07-13,48,48620,DIGITAL_ICT,True,48.0,True,0,71.38633377135348,,,,strict
20-84141,SIRET:24610066300011,RAW_SIRET,2020-07-03,2020-11-12,2024-11-12,2026-07-13,72,72514,DIGITAL_ICT,True,48.0,True,0,72.30617608409987,,,,strict
20-96600,NAME:universite de nantes,NAME_FALLBACK,2020-07-29,2020-10-16,2024-10-16,2026-07-13,72,72312,DIGITAL_ICT,True,48.0,True,0,71.45203679369251,,,,strict
20-95675,NAME:departement de maine-et-loire,NAME_FALLBACK,2020-07-28,2020-07-28,2021-01-28,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,71.48488830486203,,,,strict
20-85580,NAME:communaute de communes vie et boulogne,NAME_FALLBACK,2020-07-05,2020-07-05,2024-07-05,2026-07-13,72,72514,DIGITAL_ICT,True,48.0,True,0,72.24047306176084,,,,strict
20-94120,SIRET:13001232100050,RAW_SIRET,2020-07-25,2021-02-04,2025-02-04,2026-07-13,72,72268,DIGITAL_ICT,True,48.0,True,0,71.58344283837056,,,,strict
20-95579,NAME:cte de cnes du pays d ancenis,NAME_FALLBACK,2020-07-29,2021-02-24,2022-02-24,2026-07-13,38,38221,DIGITAL_ICT,True,12.0,True,0,71.45203679369251,,,,strict
20-86183,NAME:dragages ports,NAME_FALLBACK,2020-07-06,2020-07-06,2024-07-06,2026-07-13,35,35100,DIGITAL_ICT,True,48.0,True,0,72.20762155059133,,,,strict
20-91479,NAME:vendee eau,NAME_FALLBACK,2020-07-19,2021-01-24,2025-01-24,2026-07-13,72,72514,DIGITAL_ICT,True,48.0,True,0,71.78055190538765,,,,strict
20-93634,NAME:departement de la sarthe,NAME_FALLBACK,2020-07-22,2020-07-22,2024-07-22,2026-07-13,72,72267,DIGITAL_ICT,True,48.0,True,0,71.6819973718791,,,,strict
20-88353,NAME:chu de nantes,NAME_FALLBACK,2020-07-11,2020-07-11,2021-01-11,2026-07-13,33,33696,DIGITAL_ICT,True,6.0,True,0,72.04336399474376,,,,strict
20-91517,NAME:nantes metropole,NAME_FALLBACK,2020-07-19,2021-03-06,2022-03-06,2026-07-13,80,80511,DIGITAL_ICT,True,12.0,True,1,19.97371879106439,22-39891,0.3996573059461853,POTENTIAL,strict
20-93913,NAME:commune de nantes,NAME_FALLBACK,2020-07-25,2020-07-25,2024-07-25,2026-07-13,35,35300,DIGITAL_ICT,True,48.0,True,0,71.58344283837056,,,,strict
20-87459,NAME:cte de cnes du pays d ancenis,NAME_FALLBACK,2020-07-08,2020-07-08,2022-07-08,2026-07-13,30,30213,DIGITAL_ICT,True,24.0,True,0,72.1419185282523,,,,strict
20-91116,NAME:conseil departemental loire-atlantique,NAME_FALLBACK,2020-07-16,2020-07-16,2021-01-16,2026-07-13,85,85147,DIGITAL_ICT,True,6.0,True,0,71.87910643889619,,,,strict
20-91874,NAME:dragages ports,NAME_FALLBACK,2020-07-17,2020-07-17,2024-07-17,2026-07-13,72,72220,DIGITAL_ICT,True,48.0,True,0,71.84625492772668,,,,strict
