source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin,score_no_temporal,variant,threshold_used
15-100455,19-156899,2015-07-01,2019-10-18,NAME:nantes metropole,NAME_FALLBACK,51.57687253613666,2019-12-17,1.971090670170828,0.6714848883048621,0.1810838349402664,1.0,0.6,0.5645057896387911,False,False,1,22,0.2356717649472893,0.5645057896387911,no_temporal_score_reference_pool,0.187116725139698
15-105085,19-106429,2015-07-07,2019-07-11,NAME:ccir pays de la loire,NAME_FALLBACK,48.12746386333771,2019-07-07,0.1314060446780552,0.9780989925536576,0.0618614338137221,0.2,0.6,0.18886866911307035,False,True,1,1,0.3861762499732171,0.18886866911307035,no_temporal_score_reference_pool,0.187116725139698
15-107245,19-177021,2015-07-10,2019-11-25,NAME:le mans metropole - communaute urbaine,NAME_FALLBACK,52.52956636005256,2020-03-07,3.383705650459921,0.4360490582566798,0.2112912273641259,0.2,0.6,0.2586025727699255,False,False,1,3,0.1472604242441291,0.2586025727699255,no_temporal_score_reference_pool,0.187116725139698
15-111004,18-46346,2015-07-17,2018-04-06,SIRET:19490970100303,RAW_SIRET,32.65440210249671,2018-01-08,2.890932982917214,0.5181778361804643,0.1266689441021202,0.0,1.0,0.19244550724765613,False,False,1,5,0.0267560594661534,0.19244550724765613,no_temporal_score_reference_pool,0.187116725139698
15-111481,19-59985,2015-07-20,2019-04-17,NAME:chu de nantes,NAME_FALLBACK,44.90801576872536,2019-07-20,3.088042049934297,0.4853263250109505,0.2408766037662249,1.0,0.6,0.5924090817575718,False,False,1,3,0.2509199337054042,0.5924090817575718,no_temporal_score_reference_pool,0.187116725139698
15-112713,17-33827,2015-07-22,2017-03-10,NAME:gpm de nantes - st nazaire,NAME_FALLBACK,19.61235216819973,2017-07-22,4.402102496714849,0.2663162505475251,0.4708241620431064,0.1,0.6,0.33971794228678304,True,False,1,8,0.0131868910433419,0.33971794228678304,no_temporal_score_reference_pool,0.187116725139698
15-114783,20-4011,2015-07-23,2020-01-12,NAME:cnieg,NAME_FALLBACK,53.679369250985545,2019-10-15,2.923784494086728,0.5127025843188786,0.1513197151799191,0.2,0.6,0.23061586708396228,False,False,1,3,0.060531987766061,0.23061586708396228,no_temporal_score_reference_pool,0.187116725139698
15-115988,18-25585,2015-07-27,2018-02-22,NAME:angers loire metropole,NAME_FALLBACK,30.913272010512483,2018-07-27,5.091984231274639,0.1513359614542269,0.0125245955698231,0.8,0.6,0.40584481126591754,False,False,1,9,0.0374580256336162,0.40584481126591754,no_temporal_score_reference_pool,0.187116725139698
15-115991,20-8882,2015-07-27,2020-01-20,NAME:ville d angers,NAME_FALLBACK,53.8107752956636,2020-03-31,2.33245729303548,0.61125711782742,0.4259024485474593,1.0,0.6,0.6787544759888144,False,False,1,1,0.6618801364484657,0.6787544759888144,no_temporal_score_reference_pool,0.187116725139698
15-118979,19-71137,2015-07-30,2019-05-06,NAME:departement de la sarthe,NAME_FALLBACK,45.203679369250985,2019-07-30,2.7923784494086727,0.5346035917652212,0.096634448878713,1.0,0.6,0.5250960761433994,False,False,1,10,0.0018219278510775,0.5250960761433994,no_temporal_score_reference_pool,0.187116725139698
