source_notice_id,candidate_notice_id,sweep,severity,s_text,s_cpv,s_time,s_buyer,composite,is_arg_max,clears_balanced_threshold,recovered
15-111481,19-59985,text_only,3,0.030261527014276174,1.0,0.4853263250109505,0.6,0.4919231157077343,True,True,True
15-111481,19-59985,cpv_only,0,0.24087660376622505,1.0,0.4853263250109505,0.6,0.5656383925709163,True,True,True
15-111481,19-59985,cpv_only,1,0.24087660376622505,1.0,0.4853263250109505,0.6,0.5656383925709163,True,True,True
15-111481,19-59985,cpv_only,2,0.24087660376622505,1.0,0.4853263250109505,0.6,0.5656383925709163,True,True,True
15-111481,19-59985,cpv_only,3,0.24087660376622505,0.2,0.4853263250109505,0.6,0.32563839257091637,True,True,True
15-111481,19-59985,duration_only,0,0.24087660376622505,1.0,0.4853263250109505,0.6,0.5656383925709163,True,True,True
15-111481,19-59985,duration_only,1,0.24087660376622505,1.0,0.4853263250109505,0.6,0.5656383925709163,True,True,True
15-111481,19-59985,duration_only,2,0.24087660376622505,1.0,0.4853263250109505,0.6,0.5656383925709163,True,True,True
15-111481,19-59985,duration_only,3,0.24087660376622505,1.0,0.4853263250109505,0.6,0.5656383925709163,True,True,True
15-111481,19-59985,combined,0,0.24087660376622505,1.0,0.4853263250109505,0.6,0.5656383925709163,True,True,True
15-111481,19-59985,combined,1,0.2715013166476897,1.0,0.4853263250109505,0.6,0.5763570420794291,True,True,True
15-111481,19-59985,combined,2,0.2595481795198491,1.0,0.4853263250109505,0.6,0.5721734440846848,True,True,True
15-111481,19-59985,combined,3,0.030261527014276174,0.2,0.4853263250109505,0.6,0.2519231157077343,False,False,False
15-115991,20-8882,text_only,0,0.4259024485474594,1.0,0.61125711782742,0.6,0.6618801364484659,True,True,True
15-115991,20-8882,text_only,1,0.47378615233213234,1.0,0.61125711782742,0.6,0.6786394327731013,True,True,True
15-115991,20-8882,text_only,2,0.21643051735587504,1.0,0.61125711782742,0.6,0.5885649605314112,True,True,True
15-115991,20-8882,text_only,3,0.27546095940300475,1.0,0.61125711782742,0.6,0.6092256152479067,True,True,True
15-115991,20-8882,cpv_only,0,0.4259024485474594,1.0,0.61125711782742,0.6,0.6618801364484659,True,True,True
15-115991,20-8882,cpv_only,1,0.4259024485474594,0.8,0.61125711782742,0.6,0.6018801364484658,True,True,True
15-115991,20-8882,cpv_only,2,0.4259024485474594,0.6,0.61125711782742,0.6,0.5418801364484658,True,True,True
15-115991,20-8882,cpv_only,3,0.4259024485474594,0.2,0.61125711782742,0.6,0.4218801364484658,True,True,True
15-115991,20-8882,duration_only,0,0.4259024485474594,1.0,0.61125711782742,0.6,0.6618801364484659,True,True,True
15-115991,20-8882,duration_only,1,0.4259024485474594,1.0,0.61125711782742,0.6,0.6618801364484659,True,True,True
15-115991,20-8882,duration_only,2,0.4259024485474594,1.0,0.61125711782742,0.6,0.6618801364484659,True,True,True
15-115991,20-8882,duration_only,3,0.4259024485474594,1.0,0.61125711782742,0.6,0.6618801364484659,True,True,True
15-115991,20-8882,combined,0,0.4259024485474594,1.0,0.61125711782742,0.6,0.6618801364484659,True,True,True
15-115991,20-8882,combined,1,0.47378615233213234,0.8,0.61125711782742,0.6,0.6186394327731013,True,True,True
15-115991,20-8882,combined,2,0.21643051735587504,0.6,0.61125711782742,0.6,0.4685649605314112,True,True,True
15-115991,20-8882,combined,3,0.27546095940300475,0.2,0.61125711782742,0.6,0.36922561524790665,True,True,True
15-118979,19-130357,text_only,0,0.6503475598029483,0.1,0.8466929478756022,0.6,0.5292948828999324,True,True,True
15-118979,19-130357,text_only,1,0.790707295187933,0.1,0.8466929478756022,0.6,0.5784207902846772,True,True,True
15-118979,19-130357,text_only,2,0.5395816935816702,0.1,0.8466929478756022,0.6,0.4905268297224851,False,True,False
15-118979,19-130357,text_only,3,0.4417505842149717,0.1,0.8466929478756022,0.6,0.45628594144414064,False,True,False
15-118979,19-130357,cpv_only,0,0.6503475598029483,0.1,0.8466929478756022,0.6,0.5292948828999324,True,True,True
15-118979,19-130357,cpv_only,1,0.6503475598029483,0.1,0.8466929478756022,0.6,0.5292948828999324,True,True,True
15-118979,19-130357,cpv_only,2,0.6503475598029483,0.1,0.8466929478756022,0.6,0.5292948828999324,True,True,True
15-118979,19-130357,cpv_only,3,0.6503475598029483,0.1,0.8466929478756022,0.6,0.5292948828999324,True,True,True
15-118979,19-130357,duration_only,0,0.6503475598029483,0.1,0.8466929478756022,0.6,0.5292948828999324,True,True,True
15-118979,19-130357,duration_only,1,0.6503475598029483,0.1,0.8466929478756022,0.6,0.5292948828999324,True,True,True
15-118979,19-130357,duration_only,2,0.6503475598029483,0.1,0.8466929478756022,0.6,0.5292948828999324,True,True,True
15-118979,19-130357,duration_only,3,0.6503475598029483,0.1,0.8466929478756022,0.6,0.5292948828999324,True,True,True
15-118979,19-130357,combined,0,0.6503475598029483,0.1,0.8466929478756022,0.6,0.5292948828999324,True,True,True
15-118979,19-130357,combined,1,0.790707295187933,0.1,0.8466929478756022,0.6,0.5784207902846772,True,True,True
15-118979,19-130357,combined,2,0.5395816935816702,0.1,0.8466929478756022,0.6,0.4905268297224851,False,True,False
15-118979,19-130357,combined,3,0.4417505842149717,0.1,0.8466929478756022,0.6,0.45628594144414064,True,True,True
15-126308,16-10649,text_only,0,0.4495185967466126,0.0,0.8959702146298729,0.6,0.4413240625187826,True,True,True
15-126308,16-10649,text_only,1,0.10970327252990722,0.0,0.8959702146298729,0.6,0.32238869904293577,True,False,False
15-126308,16-10649,text_only,2,0.08106475814258352,0.0,0.8959702146298729,0.6,0.31236521900737246,True,False,False
15-126308,16-10649,text_only,3,0.20030623446751095,0.0,0.8959702146298729,0.6,0.35409973572109704,True,True,True
15-126308,16-10649,cpv_only,0,0.4495185967466126,0.0,0.8959702146298729,0.6,0.4413240625187826,True,True,True
15-126308,16-10649,cpv_only,1,0.4495185967466126,0.0,0.8959702146298729,0.6,0.4413240625187826,True,True,True
