source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key_l1_source,buyer_key_l1_candidate,buyer_key_type_source,buyer_key_type_candidate,buyer_match_mechanism,source_buyer_identity_source,candidate_buyer_identity_source,source_buyer_siret,candidate_buyer_siret,source_buyer_siren_l2,candidate_buyer_siren_l2,cross_establishment_same_siren,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin
15-100455,16-33283,2015-07-01,2016-03-10,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,8.31143232588699,2016-05-17,2.2339027595269383,0.6276828734121769,0.0305912448330118,0.0,0.6,0.22762765404459834,False,False,14,23,0.013662467329233763
15-100455,16-128178,2015-07-01,2016-09-02,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,14.09329829172142,2016-05-17,3.54796320630749,0.40867279894875164,0.02943456787498747,0.1,0.6,0.2024702984934335,True,False,15,23,0.013662467329233763
15-100455,16-137769,2015-07-01,2016-09-21,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,14.71747700394218,2016-05-17,4.1721419185282524,0.30464301357862456,0.043374459546012635,0.1,0.6,0.18134181423576057,True,False,16,23,0.013662467329233763
15-100455,16-128161,2015-07-01,2016-09-09,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,14.323258869908015,2016-05-17,3.777923784494087,0.37034603591765214,0.03293358376016067,0.0,0.6,0.16411326329546927,False,False,17,23,0.013662467329233763
15-100455,16-135042,2015-07-01,2016-09-19,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,14.651773981603153,2016-05-17,4.106438896189225,0.31559351730179586,0.045501902455626964,0.0,0.6,0.15482404518491838,False,False,18,23,0.013662467329233763
15-100455,15-192356,2015-07-01,2015-12-24,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,5.781865965834428,2016-05-17,4.763469119579501,0.20608848007008318,0.10839902203383436,0.0,0.6,0.1494617777293628,False,False,19,23,0.013662467329233763
15-100455,16-155479,2015-07-01,2016-10-27,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,15.900131406044679,2016-05-17,5.354796320630749,0.1075339465615418,0.052762066345448756,0.0,0.6,0.10535020986129251,False,False,20,23,0.013662467329233763
15-100455,16-153330,2015-07-01,2016-10-26,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,15.867279894875164,2016-05-17,5.321944809461235,0.11300919842312751,0.0032665480922020743,0.0,0.6,0.0893955914380526,False,False,21,23,0.013662467329233763
15-100455,15-178791,2015-07-01,2015-11-30,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,4.993429697766097,2016-05-17,5.551905387647832,0.07468243539202801,0.022781495917382266,0.0,0.6,0.0866441324190908,False,False,22,23,0.013662467329233763
15-100455,15-175210,2015-07-01,2015-11-19,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,4.6320630749014455,2016-05-17,5.913272010512483,0.014454664914586135,0.028038808645795606,0.0,0.6,0.07342724925467499,False,False,23,23,0.013662467329233763
15-101283,16-102267,2015-07-01,2016-07-09,NAME:caf de la sarthe,NAME:caf de la sarthe,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,12.28646517739816,2016-04-23,2.5295663600525624,0.5784056066579062,0.337109542221377,1.0,0.6,0.6225897414419586,False,False,1,1,0.6225897414419586
15-101366,16-16627,2015-07-02,2016-02-04,NAME:le mans metropole - communaute urbaine,NAME:le mans metropole - communaute urbaine,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,247200132,247200132,False,7.128777923784494,2016-02-18,0.45992115637319314,0.9233464739378011,0.059260538793839544,0.0,0.75,0.3265778070622941,False,False,1,5,0.01858483493855606
15-101366,16-38113,2015-07-02,2016-03-16,NAME:le mans metropole - communaute urbaine,NAME:le mans metropole - communaute urbaine,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,247200132,247200132,False,8.47568988173456,2016-02-18,0.8869908015768725,0.8521681997371879,0.05700263482697447,0.0,0.75,0.30799297212373805,False,False,2,5,0.01858483493855606
15-101366,15-178728,2015-07-02,2015-11-26,NAME:le mans metropole - communaute urbaine,NAME:le mans metropole - communaute urbaine,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,247200132,247200132,False,4.829172141918528,2016-02-18,2.759526938239159,0.5400788436268069,0.0341212338722752,0.0,0.75,0.22196214276199805,False,False,3,5,0.01858483493855606
15-101366,15-144617,2015-07-02,2015-09-23,NAME:le mans metropole - communaute urbaine,NAME:le mans metropole - communaute urbaine,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,247200132,247200132,False,2.726675427069645,2016-02-18,4.862023653088042,0.18966272448532628,0.08399767074586374,0.0,0.75,0.15181486588238388,False,False,4,5,0.01858483493855606
15-101366,16-103088,2015-07-02,2016-07-11,NAME:le mans metropole - communaute urbaine,SIRET:24720013200014,NAME_FALLBACK,RAW_SIRET,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,DIRECT_BOAMP_SIRET,,24720013200014,247200132,247200132,False,12.319316688567675,2016-02-18,4.730617608409987,0.21156373193166889,0.005066888221482249,0.0,0.75,0.12966434386043602,False,False,5,5,0.01858483493855606
15-102348,16-48016,2015-07-03,2016-03-31,NAME:universite de nantes,NAME:universite de nantes,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,130029747,130029747,False,8.935611038107753,2016-03-06,0.8212877792378449,0.8631187034603591,0.2726721156563378,1.0,0.75,0.6862149163448079,False,False,1,12,0.19642950538622567
15-102348,16-25313,2015-07-03,2016-02-19,NAME:universite de nantes,NAME:universite de nantes,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,130029747,130029747,False,7.588699080157688,2016-03-06,0.5256241787122208,0.9123959702146298,0.01910405258549951,0.6,0.75,0.48978541095858225,False,False,2,12,0.19642950538622567
15-102348,16-6558,2015-07-03,2016-01-15,NAME:universite de nantes,NAME:universite de nantes,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,130029747,130029747,False,6.438896189224704,2016-03-06,1.6754270696452036,0.7207621550591328,0.019778519273220843,0.6,0.75,0.4421130205104105,False,False,3,12,0.19642950538622567
15-102348,16-40880,2015-07-03,2016-03-22,NAME:universite de nantes,NAME:universite de nantes,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,130029747,130029747,False,8.639947437582128,2016-03-06,0.5256241787122208,0.9123959702146298,0.04625281065872046,0.0,0.75,0.3192874762842096,False,False,4,12,0.19642950538622567
