source_notice_id,candidate_notice_id,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used,buyer_match_mechanism,cross_establishment_same_siren,source_buyer_identity_source,candidate_buyer_identity_source
15-100455,16-57014,2015-07-01,2016-04-20,9.658344283837057,2016-05-17,0.8869908015768725,0.8521681997371879,0.13173506029027043,0.1,0.6,0.34914932103589164,True,False,1,0.013662467329233763,23,POTENTIAL,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-101283,16-102267,2015-07-01,2016-07-09,12.28646517739816,2016-04-23,2.5295663600525624,0.5784056066579062,0.337109542221377,1.0,0.6,0.6225897414419586,False,False,1,0.6225897414419586,1,HIGH,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-102348,16-48016,2015-07-03,2016-03-31,8.935611038107753,2016-03-06,0.8212877792378449,0.8631187034603591,0.2726721156563378,1.0,0.75,0.6862149163448079,False,False,1,0.19642950538622567,12,HIGH,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-102510,16-183156,2015-07-03,2016-12-23,17.706964520367936,2016-09-30,2.759526938239159,0.5400788436268069,0.030170048247324305,0.8,1.0,0.48557922779326523,False,False,1,0.13503301638387688,9,MEDIUM,balanced,0.3431669423310381,EXACT_SIRET_RECONCILIATION,False,DIRECT_BOAMP_SIRET,DIRECT_BOAMP_SIRET
15-104125,16-19242,2015-07-08,2016-02-09,7.09592641261498,2016-01-08,1.0512483574244416,0.8247919404292597,0.18005167586033788,0.1,0.6,0.35921607165843317,True,False,1,0.025865373196620634,6,POTENTIAL,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-111004,16-46830,2015-07-17,2016-03-31,8.47568988173456,2016-05-08,1.2483574244415243,0.791940429259746,0.1304085325487645,0.0,1.0,0.3436280937070041,False,False,1,0.026729511095034075,4,POTENTIAL,balanced,0.3431669423310381,EXACT_SIRET_RECONCILIATION,False,DIRECT_BOAMP_SIRET,DIRECT_BOAMP_SIRET
15-111481,16-7640,2015-07-20,2016-01-18,5.978975032851511,2016-01-20,0.0657030223390276,0.9890494962768287,0.5475438361239636,1.0,0.75,0.8139027167125945,False,False,1,0.38756852600660413,5,HIGH,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-113362,16-40500,2015-07-22,2016-03-22,8.015768725361367,2016-03-12,0.328515111695138,0.9452474813841437,0.1402316856404232,0.0,0.6,0.345392960320184,False,False,1,0.049487243449669926,10,POTENTIAL,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-113716,16-67782,2015-07-22,2016-05-11,9.658344283837057,2016-05-10,0.0328515111695138,0.9945247481384144,0.021529028987958665,0.1,0.6,0.34616634718038913,True,False,1,0.17453034192414735,2,MEDIUM,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-115709,16-73319,2015-07-27,2016-05-24,9.921156373193167,2016-05-27,0.09855453350854139,0.9835742444152431,0.12899437745435238,0.2,0.6,0.4110415932128341,False,False,1,0.07305067439247415,5,MEDIUM,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-118979,15-189271,2015-07-30,2015-12-18,4.6320630749014455,2016-01-30,1.4126149802890933,0.7645641699518178,0.6976139570268969,0.2,0.75,0.5703059274473683,False,False,1,0.20202216671138157,9,HIGH,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-122609,16-32105,2015-08-07,2016-03-07,6.9973718791064385,2016-04-23,1.5440210249671484,0.7426631625054753,0.1530238793615442,0.2,0.75,0.3742241484029093,False,False,1,0.038559460511061794,3,POTENTIAL,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-126308,16-10649,2015-08-13,2016-01-25,5.4204993429697765,2016-02-13,0.6241787122207622,0.8959702146298729,0.44983443666896633,0.0,0.75,0.45643460649160644,False,False,1,0.45643460649160644,1,MEDIUM,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-136102,15-155719,2015-09-07,2015-10-13,1.1826544021024967,2016-01-07,2.8252299605781865,0.5291283399036355,0.9510071013121868,1.0,0.6,0.8251345704351742,False,False,1,0.2210207291260018,2,HIGH,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-137458,15-155719,2015-09-09,2015-10-13,1.1169513797634691,2016-01-09,2.890932982917214,0.5181778361804643,0.4303209238308393,1.0,0.6,0.6401567823859098,False,False,1,0.6401567823859098,1,HIGH,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-139094,16-131495,2015-09-10,2016-09-08,11.957950065703022,2016-05-07,4.073587385019711,0.32106876916338145,0.3438273171136217,0.4,0.75,0.39560675328061295,False,False,1,0.39560675328061295,1,MEDIUM,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-139179,16-68672,2015-09-10,2016-05-12,8.04862023653088,2016-03-10,2.0696452036793693,0.6550591327201052,0.29567034854030855,0.1,0.75,0.3722494051691343,True,False,1,0.040971051552915694,4,POTENTIAL,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-139562,16-146809,2015-09-11,2016-10-10,12.97634691195795,2017-01-22,3.416557161629435,0.43057380639509424,0.47099999441625295,0.2,0.6,0.3924934496444621,False,True,1,0.3924934496444621,1,MEDIUM,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-140966,16-101519,2015-09-15,2016-07-07,9.724047306176084,2016-05-24,1.445466491458607,0.7590889180902322,0.3756679594355756,0.1,0.6,0.4112560153250095,True,False,1,0.4112560153250095,1,MEDIUM,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-141361,16-124376,2015-09-16,2016-08-23,11.235216819973719,2016-08-19,0.1314060446780552,0.9780989925536575,0.010436852013393054,0.2,0.75,0.383177646343102,False,False,1,0.03544210099610723,11,POTENTIAL,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,DIRECT_BOAMP_SIRET,UNIQUE_NAME_DEPARTMENT_ALIAS
15-142353,16-73358,2015-09-17,2016-05-23,8.180026281208935,2016-06-03,0.36136662286465177,0.939772229522558,0.03943160946550188,0.4,0.75,0.44374412069356517,False,False,1,0.1426943601127536,4,MEDIUM,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,DIRECT_BOAMP_SIRET,UNIQUE_NAME_DEPARTMENT_ALIAS
15-143083,16-27767,2015-09-18,2016-02-25,5.256241787122208,2016-02-18,0.22996057818659657,0.9616732369689006,0.16877329911756322,0.0,0.6,0.35948896393337226,False,False,1,0.11901403772124719,3,MEDIUM,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-146824,16-9312,2015-09-28,2016-03-15,5.551905387647832,2016-03-28,0.42706964520367935,0.9288217257993868,0.09435362666948952,0.1,0.6,0.35522920078416803,True,False,1,0.35522920078416803,1,MEDIUM,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,UNIQUE_NAME_DEPARTMENT_ALIAS,NAME_FALLBACK
15-147732,16-78789,2015-09-28,2016-05-30,8.04862023653088,2016-03-28,2.0696452036793693,0.6550591327201052,0.3952720496186646,0.1,0.6,0.3921100005465589,True,False,1,0.0885511709593308,3,MEDIUM,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-153858,16-68672,2015-10-09,2016-05-12,7.09592641261498,2016-05-21,0.2956636005256242,0.9507227332457293,0.05954812420195414,0.1,0.75,0.3635225267821163,True,False,1,0.08369335464019773,4,MEDIUM,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-159244,16-49246,2015-10-23,2016-04-12,5.650459921156373,2016-04-23,0.36136662286465177,0.939772229522558,0.19131240940978367,0.1,0.6,0.3919024006740638,True,True,1,0.002331179126828564,22,POTENTIAL,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-159973,16-94711,2015-10-28,2016-07-04,8.21287779237845,2016-07-07,0.09855453350854139,0.9835742444152431,0.08015337003938106,1.0,0.75,0.648947240617594,False,False,1,0.09451663880351235,2,HIGH,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-160513,16-61061,2015-10-20,2016-04-29,6.307490144546649,2016-04-20,0.2956636005256242,0.9507227332457293,0.056267115232607974,0.1,0.75,0.36237417364284513,True,False,1,0.053951037098996235,11,MEDIUM,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-160539,16-57014,2015-10-28,2016-04-20,5.7490144546649145,2016-04-28,0.2628120893561104,0.9561979851073149,0.15572894016199604,0.1,0.6,0.3835546253335273,True,False,1,0.012094204252004026,23,POTENTIAL,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-162447,16-49246,2015-10-23,2016-04-12,5.650459921156373,2016-04-23,0.36136662286465177,0.939772229522558,0.23353880795749227,0.1,0.6,0.4066816401657618,True,False,1,0.02561737846108797,22,POTENTIAL,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-162906,16-68875,2015-10-23,2016-05-12,6.636005256241787,2016-04-23,0.6241787122207622,0.8959702146298729,0.14677657561521712,0.1,0.6,0.36536435512279425,True,False,1,0.0751881736493416,2,MEDIUM,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-164187,16-10778,2015-10-28,2016-01-22,2.8252299605781865,2016-04-28,3.1865965834428382,0.4689005694261936,0.7501904213796198,0.2,0.75,0.5147917898394153,False,False,1,0.09331407744898151,7,HIGH,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-165050,15-174987,2015-10-29,2015-11-18,0.657030223390276,2016-04-29,5.354796320630749,0.1075339465615418,0.9719586741124239,1.0,0.75,0.7420690225797337,False,False,1,0.3537555224540878,10,HIGH,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-169809,15-182957,2015-11-09,2015-12-04,0.8212877792378449,2016-05-09,5.157687253613666,0.1403854577310556,0.9479573418528516,1.0,0.75,0.7418814340812621,False,False,1,0.0015051518303463851,7,POTENTIAL,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-173090,16-70203,2015-11-16,2016-05-17,6.011826544021025,2016-07-28,2.3653088042049935,0.6057818659658345,0.06563052719282306,1.0,0.75,0.5494161510089467,False,False,1,0.028020236018186373,10,POTENTIAL,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-173700,16-17002,2015-11-17,2016-02-04,2.59526938239159,2016-05-17,3.383705650459921,0.43604905825667983,0.9164580923815038,1.0,0.75,0.8047725968976962,False,False,1,0.5896010940734696,3,HIGH,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-174358,16-70203,2015-11-17,2016-05-17,5.978975032851511,2016-07-28,2.3653088042049935,0.6057818659658345,0.06577755113315081,1.0,0.75,0.5494676093880614,False,False,1,0.029517426520042522,10,POTENTIAL,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-174987,16-70219,2015-11-18,2016-05-17,5.946123521681997,2016-05-18,0.0328515111695138,0.9945247481384144,0.020933910790868964,0.2,0.75,0.39095805581140775,False,False,1,0.005549345962640562,9,POTENTIAL,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-175210,16-128161,2015-11-19,2016-09-09,9.69119579500657,2016-09-04,0.164257555847569,0.9726237406920718,0.012575011181070864,0.2,0.6,0.36755718908639273,False,False,1,0.005232715356875195,21,POTENTIAL,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-175415,16-73319,2015-11-20,2016-05-24,6.110381077529566,2016-05-20,0.1314060446780552,0.9780989925536575,0.5304773329063814,0.1,0.6,0.5201918146556479,True,False,1,0.11986516284176968,5,HIGH,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-176598,16-35152,2015-11-23,2016-03-11,3.5808147174770038,2016-05-23,2.3981603153745072,0.6003066141042488,0.7383569344469875,0.1,0.75,0.5135015805825078,True,False,1,0.1721235925163055,10,HIGH,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-178791,16-33632,2015-11-30,2016-03-11,3.350854139290407,2016-05-30,2.628120893561104,0.5619798510731493,0.16214877968092165,0.4,0.6,0.3772470356566099,False,False,1,0.007065745191347561,21,POTENTIAL,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-179747,15-182957,2015-11-27,2015-12-04,0.22996057818659657,2016-05-27,5.7490144546649145,0.04183092422251422,0.9757272382544139,1.0,0.75,0.7269622644446734,False,False,1,0.24146525358647852,7,HIGH,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-182813,16-136139,2015-12-04,2016-09-19,9.526938239159001,2016-10-04,0.492772667542707,0.9178712220762155,0.3881450172799,0.0,0.75,0.4403185615670189,False,False,1,0.060720947394854674,13,MEDIUM,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
