notice_id,buyer_key,buyer_key_type,publication_date,start_date,estimated_end_date,study_end_date,cpv_division,cpv_category,category_label,is_digital_scope,declared_duration_months,dur_was_imputed,buyer_key_l2,buyer_identity_source,buyer_identity_confidence,event,time_to_event_or_censor_months,linked_candidate_notice_id,composite_score,confidence_tier,buyer_match_mechanism,variant
15-74702,NAME:cesame - ch de sainte gemmes sur loire,NAME_FALLBACK,2015-05-15,2015-05-15,2015-11-15,2026-07-13,,,DIGITAL_ICT,True,6.0,True,NAME:cesame - ch de sainte gemmes sur loire,NAME_FALLBACK,LOW,0,133.93561103810777,,,,,balanced
15-75102,NAME:sdis 85,NAME_FALLBACK,2015-05-18,2015-09-10,2016-01-10,2026-07-13,32,32400,DIGITAL_ICT,True,4.0,True,SIREN:288500010,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,0,133.83705650459922,,,,,balanced
15-78724,NAME:e-collectivites vendee,NAME_FALLBACK,2015-05-22,2015-05-22,2015-11-22,2026-07-13,72,72500,DIGITAL_ICT,True,6.0,True,NAME:e-collectivites vendee,NAME_FALLBACK,LOW,0,133.70565045992115,,,,,balanced
15-78916,NAME:chu de nantes,NAME_FALLBACK,2015-05-22,2015-05-22,2015-11-22,2026-07-13,72,72267,DIGITAL_ICT,True,6.0,True,SIREN:264400136,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,1,12.02365308804205,16-72442,0.36652169048029626,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,balanced
15-68078,NAME:dir ouest,NAME_FALLBACK,2015-05-04,2015-05-04,2015-09-04,2026-07-13,32,32584,DIGITAL_ICT,True,4.0,True,SIREN:130001704,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,0,134.2969776609724,,,,,balanced
15-74861,NAME:angers loire metropole,NAME_FALLBACK,2015-05-18,2015-05-18,2015-11-18,2026-07-13,48,48820,DIGITAL_ICT,True,6.0,True,SIREN:244900015,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,0,133.83705650459922,,,,,balanced
15-79398,NAME:sdis 85,NAME_FALLBACK,2015-05-26,2015-08-05,2016-02-05,2026-07-13,,,DIGITAL_ICT,True,6.0,True,SIREN:288500010,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,0,133.5742444152431,,,,,balanced
15-81231,NAME:saem vendee,NAME_FALLBACK,2015-05-29,2015-10-02,2016-04-02,2026-07-13,72,72000,DIGITAL_ICT,True,6.0,True,NAME:saem vendee,NAME_FALLBACK,LOW,0,133.47568988173455,,,,,balanced
15-71764,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2015-05-11,2015-09-28,2016-02-28,2026-07-13,92,92400,DIGITAL_ICT,True,5.0,True,SIREN:234400034,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,1,9.789750328515112,16-32344,0.42410859027801684,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,balanced
15-72457,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2015-05-12,2015-05-12,2015-11-12,2026-07-13,72,72500,DIGITAL_ICT,True,6.0,True,SIREN:234400034,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,1,4.1721419185282524,15-141361,0.5513735045520598,HIGH,HISTORICAL_ALIAS_RECONCILIATION,balanced
15-67480,NAME:syndicat departemental d energie,NAME_FALLBACK,2015-05-04,2015-05-04,2015-11-04,2026-07-13,48,48000,DIGITAL_ICT,True,6.0,True,NAME:syndicat departemental d energie,NAME_FALLBACK,LOW,0,134.2969776609724,,,,,balanced
15-75567,NAME:nantes metropole,NAME_FALLBACK,2015-05-19,2015-05-19,2015-11-19,2026-07-13,48,48000,DIGITAL_ICT,True,6.0,True,NAME:nantes metropole,NAME_FALLBACK,LOW,1,5.157687253613666,15-159244,0.6666185365260533,HIGH,M0_NAME_FALLBACK,balanced
15-79099,SIRET:12000601000058,RAW_SIRET,2015-05-26,2015-05-26,2015-11-26,2026-07-13,72,72000,DIGITAL_ICT,True,6.0,True,SIRET:12000601000058,DIRECT_BOAMP_SIRET,HIGH,1,6.504599211563732,15-185335,0.3466581339884194,MEDIUM,EXACT_SIRET_RECONCILIATION,balanced
15-70236,NAME:sdis 85,NAME_FALLBACK,2015-05-06,2015-08-05,2016-02-05,2026-07-13,72,72600,DIGITAL_ICT,True,6.0,True,SIREN:288500010,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,0,134.23127463863338,,,,,balanced
