source_notice_id,candidate_notice_id,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used,buyer_match_mechanism,cross_establishment_same_siren,source_buyer_identity_source,candidate_buyer_identity_source
15-175415,16-73319,2015-11-20,2016-05-24,6.110381077529566,2016-05-20,0.1314060446780552,0.9780989925536575,0.5304773329063814,0.1,0.6,0.5201918146556479,True,False,1,0.11986516284176968,5,HIGH,strict,0.44206956893514254,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-176598,16-35152,2015-11-23,2016-03-11,3.5808147174770038,2016-05-23,2.3981603153745072,0.6003066141042488,0.7383569344469875,0.1,0.75,0.5135015805825078,True,False,1,0.1721235925163055,10,HIGH,strict,0.44206956893514254,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-179747,15-182957,2015-11-27,2015-12-04,0.22996057818659657,2016-05-27,5.7490144546649145,0.04183092422251422,0.9757272382544139,1.0,0.75,0.7269622644446734,False,False,1,0.24146525358647858,7,HIGH,strict,0.44206956893514254,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-182957,16-123498,2015-12-04,2016-08-22,8.607095926412615,2016-06-04,2.59526938239159,0.567455102934735,0.618204119231309,0.2,0.75,0.49323521746464194,False,False,1,0.18102091289737232,6,MEDIUM,strict,0.44206956893514254,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-187883,16-123593,2015-12-16,2016-08-22,8.21287779237845,2016-08-30,0.2628120893561104,0.9561979851073149,0.5105588012527925,0.0,0.75,0.4927450767153061,False,False,1,0.1649897456290278,10,MEDIUM,strict,0.44206956893514254,HISTORICAL_ALIAS_RECONCILIATION,False,DIRECT_BOAMP_SIRET,UNIQUE_NAME_DEPARTMENT_ALIAS
15-192356,16-128161,2015-12-24,2016-09-09,8.541392904073588,2016-06-24,2.5295663600525624,0.5784056066579062,0.06969967635211526,1.0,0.6,0.5289962883877168,False,False,1,0.15714888482895362,20,HIGH,strict,0.44206956893514254,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-192825,16-146809,2015-12-24,2016-10-10,9.559789750328514,2016-06-24,3.54796320630749,0.40867279894875164,0.8373912725929984,1.0,0.6,0.7552551451447373,False,True,1,0.7552551451447373,1,HIGH,strict,0.44206956893514254,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-32051,15-56571,2015-03-04,2015-04-14,1.3469119579500657,2015-09-04,4.697766097240473,0.21703898379325448,0.8781774061048093,0.1,0.6,0.45162183808499684,True,False,1,0.0060844962400117275,2,POTENTIAL,strict,0.44206956893514254,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-46309,15-187883,2015-03-26,2015-12-16,8.705650459921156,2015-11-29,0.5584756898817346,0.9069207183530442,0.2374098558296598,0.2,1.0,0.46982362912864195,False,False,1,0.051388622061755984,11,MEDIUM,strict,0.44206956893514254,EXACT_SIRET_RECONCILIATION,False,DIRECT_BOAMP_SIRET,DIRECT_BOAMP_SIRET
15-47696,15-52664,2015-03-30,2015-04-08,0.2956636005256242,2015-09-30,5.7490144546649145,0.04183092422251422,0.846186064563689,1.0,1.0,0.7066228536529197,False,False,1,0.43892287458898893,4,HIGH,strict,0.44206956893514254,EXACT_SIRET_RECONCILIATION,False,DIRECT_BOAMP_SIRET,DIRECT_BOAMP_SIRET
