method,base_links,repaired_links,base_link_rate,repaired_link_rate,links_removed,median_s_text_repaired,median_composite_score_repaired,median_margin_repaired
primary_gbm,411,123,0.12159763313609467,0.0363905325443787,288,0.7475511793813263,0.7410954762576875,0.4575471569470599
composite_balanced,1003,269,0.2967455621301775,0.07958579881656805,734,0.6142114018460783,0.5656922743088171,0.2731326773334184
