variant,term,test_statistic,p,-log2(p)
window_18m,buyer_key_type_RAW_SIRET,1.3980956277214962,0.23704268498516537,2.076781221959985
window_18m,cpv_division_22.0,0.0010726832655004804,0.9738724807525689,0.038195217271740765
window_18m,cpv_division_30.0,3.734001949264576,0.053315509442347725,4.229300916813663
window_18m,cpv_division_31.0,1.2277846998597748,0.26783829415978666,1.9005658502640566
window_18m,cpv_division_32.0,0.4105869920346317,0.5216717216746265,0.9387858637557583
window_18m,cpv_division_33.0,0.01596576535641964,0.8994503596753194,0.1528844330064184
window_18m,cpv_division_34.0,0.07090629856016689,0.7900217527111804,0.3400357174248451
window_18m,cpv_division_35.0,1.2272508147265229,0.2679423560986665,1.90000543568028
window_18m,cpv_division_38.0,1.0030153810664744,0.3165819723280993,1.6593489909389811
window_18m,cpv_division_39.0,0.6388166248599348,0.4241396395394411,1.237388773248595
window_18m,cpv_division_42.0,0.15874348875916794,0.6903160003165276,0.5346711710709767
window_18m,cpv_division_43.0,0.9245954669292858,0.33627123869811243,1.5723027045510716
window_18m,cpv_division_44.0,0.04864317632416187,0.8254412938717616,0.27676248187093894
window_18m,cpv_division_45.0,2.3435071588563625,0.12580603002792387,2.9907270209778667
window_18m,cpv_division_48.0,2.2248979931464294,0.13580162606094526,2.8804273406654164
window_18m,cpv_division_50.0,0.013237444880901362,0.908402244716343,0.13859682385232042
window_18m,cpv_division_51.0,0.038112976288814195,0.8452164562264781,0.24260723830403738
window_18m,cpv_division_55.0,0.3027189086172971,0.582182908702829,0.7804556083837538
window_18m,cpv_division_64.0,0.022758473885884183,0.8800868493757752,0.18428219502242912
window_18m,cpv_division_65.0,0.2775236224379898,0.5983289349572891,0.7409892620298716
window_18m,cpv_division_66.0,4.055316511092246e-05,0.994918996382731,0.007349024782990381
window_18m,cpv_division_71.0,0.8994373937756164,0.34293261134359376,1.54400299030302
window_18m,cpv_division_72.0,9.644296319815606,0.0018994044752512716,9.040237126776898
window_18m,cpv_division_75.0,0.4316222220696822,0.5111940203442675,0.9680571343264907
window_18m,cpv_division_77.0,1.7759757954346425,0.18264425301251042,2.452891735552569
window_18m,cpv_division_79.0,2.8586709049109094,0.09088256336327527,3.459852662818011
window_18m,cpv_division_80.0,2.2892610652025662,0.13027193088360567,2.9404018286126963
window_18m,cpv_division_85.0,1.6013222489306975,0.20571592940769595,2.2812745830483454
window_18m,cpv_division_9.0,0.6531190000388533,0.41899975801160294,1.2549786841740986
window_18m,cpv_division_90.0,0.06267209703200533,0.8023213653160963,0.3177478790515309
window_18m,cpv_division_92.0,0.24394280219916767,0.6213728062349329,0.686468990164774
window_18m,cpv_division_MISSING,3.5063638963076604,0.061133489083979003,4.031893281096524
window_18m,dur_was_imputed,24.823758345044695,6.281841444780081e-07,20.602309134739052
window_18m,duration_sq,40.24893116582779,2.2357763095196735e-10,32.05850509579544
window_18m,log_duration,19.485724554548693,1.0135432579067971e-05,16.590232810263657
