variant,model,term,coef,exp_coef,p,ci_lower,ci_upper
balanced,cox_clustered,log_duration,-0.07998683611308015,0.9231284982658163,0.38389657097761054,0.771027854240405,1.1052340322387335
balanced,cox_clustered,dur_was_imputed,-0.8367938018263522,0.43309689422297265,0.0001702031496104771,0.2799802332493755,0.6699505804701417
balanced,cox_clustered,cpv_division_22.0,-1.6341228567733592,0.19512344746936855,0.000357947749174206,0.07954360604203135,0.478645131227937
balanced,cox_clustered,cpv_division_30.0,-0.048635026621975885,0.9525287138875312,0.7848287572337854,0.6718215865053875,1.350523664325511
balanced,cox_clustered,cpv_division_31.0,0.30688085504928264,1.359179019107224,0.7754740723421959,0.16498237298917812,11.197363527450607
balanced,cox_clustered,cpv_division_32.0,-0.05431910808751498,0.9471298214876037,0.7235645113213587,0.7009495062882212,1.2797710686770682
balanced,cox_clustered,cpv_division_33.0,3.057432327078382,21.272865216579792,2.4907866930702953e-09,7.786050750487089,58.121223329357335
balanced,cox_clustered,cpv_division_34.0,-1.7148058898582608,0.17999865688707087,0.0009200777522841002,0.06528394447097932,0.49628613503205254
balanced,cox_clustered,cpv_division_35.0,-0.06741861198124588,0.9348037993491897,0.785248641055672,0.575592997522239,1.5181875857409421
balanced,cox_clustered,cpv_division_38.0,-1.795505269128788,0.16604353447605805,2.4501243105258943e-11,0.09801736038635132,0.2812813488613492
balanced,cox_clustered,cpv_division_39.0,1.9130130637113485,6.773466970277528,0.004528612843640683,1.8080018302305967,25.376000195524696
balanced,cox_clustered,cpv_division_42.0,0.04380050335306581,1.0447739052057359,0.9405975808746138,0.33014511837914906,3.3062809420228074
balanced,cox_clustered,cpv_division_43.0,-1002.3129045885232,0.0,1.2062241622009672e-23,0.0,0.0
balanced,cox_clustered,cpv_division_44.0,1.626707537561662,5.08709803618956,0.04847861386572376,1.0109291300206025,25.59879388308484
balanced,cox_clustered,cpv_division_45.0,0.2103012910588868,1.2340498121257433,0.5032060707354231,0.6667106562597597,2.284167688800594
balanced,cox_clustered,cpv_division_48.0,0.21428774873125175,1.238979118174352,0.2317510791578311,0.8720393554188085,1.7603210746547753
balanced,cox_clustered,cpv_division_50.0,-0.6402837087795221,0.527142847772026,0.1572038459468442,0.21708821292976915,1.2800307221060363
balanced,cox_clustered,cpv_division_51.0,-2.0598520995715863,0.1274728217856382,0.008348555973242966,0.02758515900670925,0.5890602367034001
balanced,cox_clustered,cpv_division_55.0,-1.9004637431063875,0.1494992738869921,0.010289290788019698,0.035010607429635965,0.6383788952435857
balanced,cox_clustered,cpv_division_64.0,0.8942202232698098,2.4454281578227692,0.13951788399529141,0.7468222312393514,8.007419470023619
balanced,cox_clustered,cpv_division_65.0,-1.9042238500637565,0.14893819614435172,0.010244593676866634,0.034808937269535184,0.6372669782753639
balanced,cox_clustered,cpv_division_66.0,0.5636866642552674,1.7571385537861508,0.5645353317168831,0.2582091855516054,11.957498299705584
balanced,cox_clustered,cpv_division_71.0,-0.9493033315326275,0.3870105476041684,0.03504820045667403,0.16008916038631554,0.9355859172191728
balanced,cox_clustered,cpv_division_72.0,0.5589203826769604,1.7487834638395379,6.149709178375561e-09,1.4483976300486259,2.1114668651425093
balanced,cox_clustered,cpv_division_75.0,0.017575034164293037,1.0177303838346852,0.9842830802018052,0.17710398300502436,5.848401129131643
balanced,cox_clustered,cpv_division_77.0,-1.5682500795437375,0.2084095636035678,0.015531015222708706,0.058512850126659834,0.742307819691042
balanced,cox_clustered,cpv_division_79.0,0.6074581365959288,1.8357592141046037,0.00500180019634736,1.2011665575043455,2.805615816653937
balanced,cox_clustered,cpv_division_80.0,-0.7352176105090531,0.47940112490038006,0.25042808374169534,0.13683038931228875,1.6796373942283973
balanced,cox_clustered,cpv_division_85.0,-1.8012116753095455,0.1650987209334033,1.5554212110401993e-06,0.07917588198155513,0.34426629639813455
balanced,cox_clustered,cpv_division_9.0,-1.8221895494372595,0.161671375644786,0.010352421249446757,0.040147557310327625,0.6510392027301202
balanced,cox_clustered,cpv_division_90.0,0.7694886713899816,2.158662185803231,0.45962366887550865,0.2808178827208479,16.59375246073258
balanced,cox_clustered,cpv_division_92.0,1.042273870480268,2.835657607164619,0.03205845569843644,1.0934355257756627,7.353843802876689
balanced,cox_clustered,cpv_division_MISSING,1.156903307993653,3.1800703143983498,4.218757503495483e-19,2.467032099268434,4.09919563167275
balanced,cox_clustered,buyer_key_type_RAW_SIRET,0.20238800376457863,1.2243229578809682,0.5494705624322092,0.6310743985586348,2.375261472526888
broad,cox_clustered,log_duration,0.02391609572430678,1.0242043791587634,0.8116730273835311,0.8412935649749254,1.2468829597184106
broad,cox_clustered,dur_was_imputed,-0.962675036933311,0.38187000209966376,2.0384049160294144e-06,0.25667795777427466,0.5681231834945368
broad,cox_clustered,cpv_division_22.0,1.6828384837489807,5.3808076501315405,0.10454941990873218,0.7052849933101131,41.051619192730314
broad,cox_clustered,cpv_division_30.0,0.40968945997396966,1.5063499305261892,0.0016601451262734759,1.1669357935707554,1.9444858283530508
broad,cox_clustered,cpv_division_31.0,0.04542565067288127,1.0464731971434627,0.9653504396160115,0.134780495817753,8.125108501013655
broad,cox_clustered,cpv_division_32.0,0.22025772324585347,1.246397914913526,0.04990941444092665,1.0000871247062528,1.55337242518454
broad,cox_clustered,cpv_division_33.0,2.1423617473538425,8.519534876183988,0.0011342903446600356,2.345092344873827,30.950795888773612
broad,cox_clustered,cpv_division_34.0,-2.100637777248296,0.12237835322901805,6.141217511503466e-05,0.043803053771096966,0.34190450321818405
broad,cox_clustered,cpv_division_35.0,0.2464098670258249,1.2794238597427479,0.14773875872199868,0.9164731936729751,1.7861137938128655
broad,cox_clustered,cpv_division_38.0,-2.080966660136148,0.124809505493229,2.0846074249536574e-15,0.07465391316790955,0.2086617030567181
broad,cox_clustered,cpv_division_39.0,1.7423476811919103,5.710734681722143,0.008383280914794889,1.5635526875513805,20.85794157413222
broad,cox_clustered,cpv_division_42.0,0.9227865043104417,2.516292289304809,0.04737039966071095,1.0107650814295877,6.264291279492444
broad,cox_clustered,cpv_division_43.0,-1564.315894168929,0.0,3.6991337332720926e-55,0.0,0.0
broad,cox_clustered,cpv_division_44.0,1.9423081483620206,6.974831351104692,0.01180258682581585,1.5379453574174207,31.63199013653192
broad,cox_clustered,cpv_division_45.0,0.8195968767074568,2.2695847306250285,0.003055048653442862,1.319553752302899,3.9036036542631765
broad,cox_clustered,cpv_division_48.0,0.3684066459830347,1.445429697661572,0.002199233318624647,1.1417771443078,1.829837828947467
broad,cox_clustered,cpv_division_50.0,0.38801473307208445,1.4740515014351878,0.25569527389842717,0.7549776303616715,2.878002925520376
broad,cox_clustered,cpv_division_51.0,4.125304664218794,61.886661029727115,2.680846162814763e-09,15.90150587760794,240.8551015788754
broad,cox_clustered,cpv_division_55.0,-2.0929672040052374,0.12332067480382397,0.005724558010434227,0.027943996418188847,0.5442309899586005
broad,cox_clustered,cpv_division_64.0,0.6811019103227891,1.976053967267242,0.27271200870062173,0.5850993761185793,6.673719783220621
broad,cox_clustered,cpv_division_65.0,-2.0955780302821325,0.12299912588239924,0.005838540352567295,0.027723116586595566,0.5457101087671085
broad,cox_clustered,cpv_division_66.0,1.0728017011696893,2.9235589750041275,0.11523056731729973,0.7694180293638758,11.108651934493485
broad,cox_clustered,cpv_division_71.0,0.406591916400231,1.5016911650685723,0.1826777360813016,0.8257723746073105,2.7308692135861166
broad,cox_clustered,cpv_division_72.0,0.4258326294689557,1.5308645320803864,3.1989675575364265e-06,1.279716494006695,1.831301094076107
broad,cox_clustered,cpv_division_75.0,0.6069635317061747,1.8348514631284376,0.38125487125180557,0.4715646285887934,7.139381725511752
broad,cox_clustered,cpv_division_77.0,-1.8256590851929828,0.16111142297592324,0.006183337594721844,0.043604979209966276,0.5952735463612877
broad,cox_clustered,cpv_division_79.0,0.6292590596016535,1.8762198970037605,0.0028342432723633625,1.2412362031080035,2.836044495881094
broad,cox_clustered,cpv_division_80.0,-0.0008434891911104406,0.9991568664458983,0.9986593716866572,0.37352815713505866,2.6726618186511186
broad,cox_clustered,cpv_division_85.0,-0.029869270879520318,0.9705724073324508,0.9776980378678659,0.11954707240669248,7.879831591947651
