variant,cpv_division,n,n_events,censoring_rate,median_survival_months,survival_at_24m,rmst_60m
broad,32,370,77,0.7918918918918919,inf,1.0,54.734567337668324
broad,35,157,37,0.7643312101910829,inf,1.0,56.751049376668924
broad,48,466,124,0.7339055793991416,inf,0.9954986465525112,56.475465169542055
broad,72,889,238,0.7322834645669292,inf,0.9976694411414981,56.23753851272295
strict,32,370,12,0.9675675675675676,inf,1.0,59.17463471212177
strict,35,157,13,0.9171974522292994,inf,1.0,58.86996850662636
strict,48,466,37,0.9206008583690988,inf,0.9978354978354981,58.88222137548898
strict,72,889,111,0.875140607424072,inf,0.9976694411414981,58.25605364283479
