population,score,count,mean,std,min,10%,25%,50%,75%,90%,max
all_candidate_pairs,m0_composite_score,6137.0,0.2504968148534396,0.11087612880619659,0.06,0.12601403871002848,0.1717441908753584,0.24077776514623,0.3082036562145999,0.37117884424962755,0.9381483561867048
all_candidate_pairs,s_text,6137.0,0.08341561832085996,0.15504856873037157,0.0,0.00438689076737828,0.0111936710921891,0.0273042614054337,0.0885771189702553,0.21066163586199416,1.0000000000000002
all_candidate_pairs,s_cpv,6137.0,0.10322633208408016,0.17922408030817225,0.0,0.0,0.0,0.1,0.1,0.2,1.0
all_candidate_pairs,s_time,6137.0,0.4981563469990338,0.2911570749763248,0.0,0.1020586946999562,0.2389399912395969,0.5017520805957074,0.7536136662286466,0.9014454664914586,1.0
all_candidate_pairs,s_buyer,6137.0,0.6579436206615609,0.14079494026478287,0.6,0.6,0.6,0.6,0.6,1.0,1.0
all_candidate_pairs,top1_top2_margin,6137.0,0.08573127654406543,0.11377792778167285,0.0,0.0057054158983144,0.0155633715753966,0.0410859996823536,0.1135086186746262,0.232741799057219,0.9381483561867048
rank1_candidates,m0_composite_score,1236.0,0.3450732011445297,0.14167141535901925,0.06,0.18923651104449465,0.26420166983556403,0.32302169365652333,0.39308340344166265,0.5231192706315562,0.9381483561867048
rank1_candidates,s_text,1236.0,0.1800469298303267,0.2716549285654451,0.0,0.00434257872864675,0.01493797928866735,0.05290271811467765,0.21708881473128447,0.6534832918474609,1.0000000000000002
rank1_candidates,s_cpv,1236.0,0.17686084142394823,0.27795991914590695,0.0,0.0,0.0,0.1,0.2,0.6,1.0
rank1_candidates,s_time,1236.0,0.648939076925694,0.28599842526450103,0.0,0.1732369689005694,0.4579500657030223,0.731712658782304,0.8904949627682873,0.9616732369689006,1.0
rank1_candidates,s_buyer,1236.0,0.6676375404530743,0.14999460615976382,0.6,0.6,0.6,0.6,0.6,1.0,1.0
rank1_candidates,top1_top2_margin,1236.0,0.13676452838484512,0.1457211541909353,0.0,0.009316629627627249,0.0284444752471231,0.08271847224585341,0.2012701144481238,0.3303123765643295,0.9381483561867048
accepted_balanced_links,m0_composite_score,618.0,0.44397933136965123,0.129121759472558,0.3230371802826376,0.33612829161302576,0.3525379840496161,0.39310283812326197,0.4828451707836544,0.6430798219984462,0.9381483561867048
accepted_balanced_links,s_text,618.0,0.30476749342403303,0.33306355742886656,0.0,0.009446876269748772,0.03421025183527078,0.16921934433345115,0.45694705633541316,0.9353372968894285,1.0000000000000002
accepted_balanced_links,s_cpv,618.0,0.29563106796116506,0.3463591691312951,0.0,0.0,0.1,0.1,0.4,1.0,1.0
accepted_balanced_links,s_time,618.0,0.7187573977917547,0.27657577616230455,0.0,0.2170389837932544,0.5948313622426631,0.8247919404292597,0.9342969776609724,0.9726237406920718,1.0
accepted_balanced_links,s_buyer,618.0,0.6893203883495144,0.1667183232038617,0.6,0.6,0.6,0.6,0.6,1.0,1.0
accepted_balanced_links,top1_top2_margin,618.0,0.1605631524636845,0.17856704705383994,7.845904939524084e-05,0.0109821095673698,0.03089798450941815,0.08208664889990469,0.23837843238834716,0.4283241465826514,0.9381483561867048
rejected_candidates,m0_composite_score,5519.0,0.22883126036765974,0.08452197857208929,0.06,0.12177278543968222,0.1645722814506336,0.2261035532177903,0.28852893871969015,0.326451956449947,0.798480070083224
rejected_candidates,s_text,5519.0,0.05862934203643144,0.09070081337296519,0.0,0.0041588974551680005,0.010543965311955249,0.0243231412425207,0.06810804420627965,0.15890948889612908,1.0000000000000002
rejected_candidates,s_cpv,5519.0,0.08168146403333937,0.13302050139019844,0.0,0.0,0.0,0.1,0.1,0.2,1.0
rejected_candidates,s_time,5519.0,0.47345414562380256,0.2822283120393555,0.0,0.0911081909767849,0.2279894875164257,0.4689005694261936,0.7125492772667543,0.8685939553219448,1.0
rejected_candidates,s_buyer,5519.0,0.6544301503895632,0.13715986155893461,0.6,0.6,0.6,0.6,0.6,1.0,1.0
rejected_candidates,top1_top2_margin,5519.0,0.07735184198738404,0.10066028825007638,0.0,0.0053986250407251,0.0146617471201792,0.0385592960056249,0.0962662129225759,0.1930467330036451,0.6880308564507865
runner_up_candidates,m0_composite_score,896.0,0.2873543744765292,0.0981989467852577,0.0636136662286465,0.15824309775659712,0.22428634406175596,0.28952080014685544,0.3378163494098557,0.3893742013775846,0.798480070083224
runner_up_candidates,s_text,896.0,0.08412824784286928,0.14116880787361705,0.0,0.0038940341707235,0.0107778468945616,0.0298731416342556,0.10616434177267747,0.22407343324206536,1.0000000000000002
runner_up_candidates,s_cpv,896.0,0.12087053571428573,0.20249759218416175,0.0,0.0,0.0,0.1,0.1,0.2,1.0
runner_up_candidates,s_time,896.0,0.6178433080689568,0.276187330288713,0.0,0.17597459483136224,0.4250985545335085,0.6687472623740692,0.8466929478756022,0.9452474813841436,1.0
runner_up_candidates,s_buyer,896.0,0.6718749999999999,0.15365654947164056,0.6,0.6,0.6,0.6,0.6,1.0,1.0
runner_up_candidates,top1_top2_margin,896.0,0.08006215860752751,0.09542996835392385,0.0,0.00654069889579735,0.0182825954245825,0.0463404751717338,0.10425056399176974,0.1869486088058956,0.6880308564507865
