candidate_notice_id,times_selected,buyer_match_mechanism
19-103545,1,HISTORICAL_ALIAS_RECONCILIATION
17-46886,1,M0_NAME_FALLBACK
23-58292,1,M0_NAME_FALLBACK
20-32603,1,HISTORICAL_ALIAS_RECONCILIATION
20-54283,1,M0_NAME_FALLBACK
23-14004,1,EXACT_SIRET_RECONCILIATION
23-45378,1,HISTORICAL_ALIAS_RECONCILIATION
23-160148,1,EXACT_SIRET_RECONCILIATION
16-165866,1,HISTORICAL_ALIAS_RECONCILIATION
20-35694,1,HISTORICAL_ALIAS_RECONCILIATION
20-38676,1,HISTORICAL_ALIAS_RECONCILIATION
19-98987,1,M0_NAME_FALLBACK
23-108318,1,HISTORICAL_ALIAS_RECONCILIATION
17-20203,1,HISTORICAL_ALIAS_RECONCILIATION
15-170834,1,M0_NAME_FALLBACK
22-157410,1,M0_NAME_FALLBACK
19-55110,1,M0_NAME_FALLBACK
21-170353,1,HISTORICAL_ALIAS_RECONCILIATION
23-34705,1,M0_NAME_FALLBACK
16-106116,1,HISTORICAL_ALIAS_RECONCILIATION
21-148700,1,HISTORICAL_ALIAS_RECONCILIATION
19-74485,1,M0_NAME_FALLBACK
23-81527,1,HISTORICAL_ALIAS_RECONCILIATION
17-44864,1,HISTORICAL_ALIAS_RECONCILIATION
20-118996,1,HISTORICAL_ALIAS_RECONCILIATION
20-45001,1,EXACT_SIRET_RECONCILIATION
19-39813,1,M0_NAME_FALLBACK
17-74632,1,HISTORICAL_ALIAS_RECONCILIATION
22-166698,1,EXACT_SIRET_RECONCILIATION
21-130046,1,HISTORICAL_ALIAS_RECONCILIATION
22-125236,1,HISTORICAL_ALIAS_RECONCILIATION
19-54406,1,M0_NAME_FALLBACK
18-31687,1,HISTORICAL_ALIAS_RECONCILIATION
18-546,1,HISTORICAL_ALIAS_RECONCILIATION
22-118191,1,M0_NAME_FALLBACK
22-60784,1,HISTORICAL_ALIAS_RECONCILIATION
22-77622,1,HISTORICAL_ALIAS_RECONCILIATION
21-16505,1,HISTORICAL_ALIAS_RECONCILIATION
19-36958,1,M0_NAME_FALLBACK
19-169787,1,HISTORICAL_ALIAS_RECONCILIATION
18-142763,1,HISTORICAL_ALIAS_RECONCILIATION
22-133794,1,M0_NAME_FALLBACK
22-39410,1,HISTORICAL_ALIAS_RECONCILIATION
21-60721,1,M0_NAME_FALLBACK
22-15069,1,HISTORICAL_ALIAS_RECONCILIATION
18-142560,1,M0_NAME_FALLBACK
21-96695,1,HISTORICAL_ALIAS_RECONCILIATION
17-50845,1,M0_NAME_FALLBACK
22-82130,1,M0_NAME_FALLBACK
21-32441,1,HISTORICAL_ALIAS_RECONCILIATION
22-54446,1,M0_NAME_FALLBACK
18-177907,1,HISTORICAL_ALIAS_RECONCILIATION
18-90097,1,M0_NAME_FALLBACK
17-54861,1,HISTORICAL_ALIAS_RECONCILIATION
19-79409,1,HISTORICAL_ALIAS_RECONCILIATION
21-23641,1,HISTORICAL_ALIAS_RECONCILIATION
16-177041,1,M0_NAME_FALLBACK
17-51018,1,M0_NAME_FALLBACK
22-43134,1,HISTORICAL_ALIAS_RECONCILIATION
20-13447,1,M0_NAME_FALLBACK
22-25855,1,HISTORICAL_ALIAS_RECONCILIATION
18-21811,1,M0_NAME_FALLBACK
21-157863,1,HISTORICAL_ALIAS_RECONCILIATION
23-76010,1,M0_NAME_FALLBACK
22-98192,1,HISTORICAL_ALIAS_RECONCILIATION
21-86403,1,HISTORICAL_ALIAS_RECONCILIATION
17-53291,1,M0_NAME_FALLBACK
21-12893,1,HISTORICAL_ALIAS_RECONCILIATION
