candidate_notice_id,n_sources_selecting_candidate,source_notice_id,buyer_key,m0_composite_score,top1_top2_margin,source_objet_clean,source_cpv_clean,source_cpv_division
21-143183,4,17-173663,NAME:nantes metropole,0.5456074336601483,0.1381690515906634,acquisition et mise en oeuvre d'une solution logicielle de gestion de l'occupation du domaine public,48000000,48
21-143183,4,18-56546,NAME:nantes metropole,0.3777308415406851,0.0612138619933341,"Mise en oeuvre d'une solution logicielle de suivi financier des marches de travaux et de maitrise d'oeuvre, maintenance et prestations associées",48000000,48
22-25102,4,17-118765,NAME:conseil regional des pays de la loire,0.4801708354419554,0.1721402781996239,Fourniture d'une solution de gestion de données protocolaires,48600000,48
22-25102,4,17-114118,NAME:conseil regional des pays de la loire,0.36138547260263,0.0140614222633305,Renouvellement et exploitation du système d'information multimodale DESTINEO en région des Pays de la Loire - Lot no2: Fourniture des différents médias,48000000,48
22-25102,4,17-140948,NAME:conseil regional des pays de la loire,0.360962909205669,0.01480359334863,Renouvellement et exploitation du système d'information multimodale DESTINEO en Région des Pays de la Loire - Lot no3: Fourniture des outils back office,48000000,48
22-25102,4,17-142035,NAME:conseil regional des pays de la loire,0.3522417845370709,0.044987790384742,Parcours de formation stagiaires ou apprentis: application de dématérialisation des feuilles d'émargement et de suivi des participants,48000000,48
22-8616,4,17-140377,NAME:conseil regional des pays de la loire,0.4224222714308476,0.0119550344927759,Prestations d'assistance en administration de systèmes,72250000,72
22-8616,4,17-71849,NAME:conseil regional des pays de la loire,0.4111676629874775,0.0524637041936009,Prestation de service pour la gestion des différents pass jeunes de la Région,72212900,72
22-8616,4,17-120212,NAME:conseil regional des pays de la loire,0.3721970527216184,0.0038986320563588,Réalisation d'une application de signalement pour les usagers du TER,72000000,72
22-8616,4,17-48788,NAME:conseil regional des pays de la loire,0.3351948756545926,0.0323005598115955,Maintenance et évolutions de l'infrastructure de sécurité informatique,72200000,72
25-134329,4,21-143183,NAME:nantes metropole,0.5723751219769344,0.1625403163859264,maintenance et extension du parc de logiciel qlik pour le compte de nantes métropole,48000000,48
25-134329,4,21-97876,NAME:nantes metropole,0.4207457469126779,0.1231463101916256,prestations d'installations et de maintien en conditions opérationnelles et de sécurité d'infrastructures informatiques,48000000,48
25-134329,4,21-78352,NAME:nantes metropole,0.3740097345580265,0.015310269653078,"acquisition, maintenance et hébergement d'un système de contrôle de température dans les unités de production de repas de nantes et de son ccas : solution logicielle,matériels et prestations associés",48000000,48
25-134329,4,21-150402,NAME:nantes metropole,0.3469700332414188,0.0950851804420431,prestations d'acquisitions des données patrimoniales viaires et des mises à jour du système d'information géographique sur le territoire de nantes métropole,48326100,48
26-2995,4,25-26250,SIRET:17440005100010,0.3674085724609742,0.0317678782961559,Service d'infogérance du système d'information de la Ville d'Orvault.,,
26-2995,4,25-21094,SIRET:17440005100010,0.3628177903597913,0.0595033428071236,"Fourniture, installation et maintenance des systèmes de sûreté (contrôle d'accès, intrusion, interphonie et vidéosurveillance) pour le CHU de Nantes",,
26-2995,4,25-47444,SIRET:17440005100010,0.3600811406788017,0.0484948028901748,"Achat, installation, mise en service et maintenance de cabines de pléthysmographie et logiciels associés",,
26-2995,4,25-71246,SIRET:17440005100010,0.3304677722426076,0.0501887898571534,"Acquisition de fournitures de bureau et de consommables informatiques pour les services du Département, de la Maison Départementale des Personnes Handicapées et du Service Départemental d'Incendie et",,
17-143219,3,17-50845,NAME:nantes metropole,0.4337372748911615,0.0946735705338273,"marché de maintenance, d'assistance et d'évolution autour du logiciel fotostation pour nantes métropole - ville de nantes",,
17-143219,3,17-55087,NAME:nantes metropole,0.4277370602040997,0.0179918794185842,maintenance et évolution de la solution audiovisuelle d'affichage dynamique (plugncast) pour le compte du groupement de commandes informatiques (nantes métropole - ville de nantes).,,
17-143219,3,16-63342,NAME:nantes metropole,0.338719915631517,0.0311041454681622,fourniture et prestations de services sur le système d'information et les équipe..,45316210,45
18-122376,3,18-90441,NAME:nantes metropole,0.525742444152431,0.1382464291347445,"maintenance, assistance et évolution autour du logiciel fotostation pour nantes métropole et la ville de nantes",,
18-122376,3,18-20656,NAME:nantes metropole,0.3938439936344308,0.036957950065703,acquisition d'une solution logicielle de gestion des concertations publiques et enquêtes publiques pour le compte du groupement de commandes constitué par nantes métropole et la ville de nantes.,,
18-122376,3,18-21811,NAME:nantes metropole,0.3632362747056849,0.0424332019272886,assistance à maitrise d'ouvrage: changement du système d'information ressources humaines de nantes métropole. (rectificatif),,
18-158087,3,15-155719,NAME:sm megalis,0.7961032036377926,0.468444527208765,exploitation et maintenance du réseau de télécommunication à trés haut débit Gigalis des Pays de la Loire (rectificatif),32412100,32
18-158087,3,15-136102,NAME:sm megalis,0.7585660963415759,0.4088007057648526,exploitation et maintenance du réseau de télécommunication à trés haut débit Gigalis des Pays de la Loire,32412100,32
18-158087,3,15-137458,NAME:sm megalis,0.6461429812407118,0.3059260407060882,mise en oeuvre d'un réseau de collecte pour le raccordement de sites au réseau de télécommunication Gigalis des Pays de la Loire à Nantes,32412100,32
19-127477,3,16-45870,NAME:angers loire metropole,0.4666629522650822,0.1065444714416665,"Fourniture et maintenance des logiciels Business Geografic (CIRIL GROUP), prestations annexes et de support pour le compte d'Angers Loire Métropole, à Angers",72267100,72
19-127477,3,16-57562,NAME:angers loire metropole,0.4317903295191623,0.0337542865948178,Maintenance et prestations associées à la suite logicielle Evidian Identity And Acces Management à Angers,72267100,72
19-127477,3,19-169787,NAME:angers loire metropole,0.3332542169677159,0.0094210146759891,Conception et diffusion de de panorama(s) de presse numérique(s) (Lot 1) & Achat à l'unité de contenus écrits (presse) et audiovisuels (Lot 2),,
19-136955,3,15-165050,NAME:angers loire metropole,0.8454957718359251,0.4883112637770684,"aide à la gestion des dt, dict, dc, atu et autres formulaires liés à la réforme anti-endommagement des réseaux à Angers",72500000,72
19-136955,3,15-174987,NAME:angers loire metropole,0.8097214671190311,0.4525611799316918,"Aide à la gestion des dt, dict, dc, atu et autres formulaires liés à la réforme anti-endommagement des réseaux à Angers (rectificatif)",72500000,72
19-136955,3,15-96870,NAME:angers loire metropole,0.5046014016644765,0.1593931728139729,renouvellement / extension du réseau wifi de keolis angers - réseau irigo pour le compte d'Angers Loire Métropole,72500000,72
19-147943,3,15-32168,SIRET:23440003400026,0.6979149898146194,0.2957459765069643,"maintenance, surveillance, assistance à l'exploitation et évolutions des infrastructures de réseaux LAN et Wifi de la Région Pays de la Loire.",72700000,72
19-147943,3,15-56649,SIRET:23440003400026,0.4099637266138822,0.0483740471291543,"réalisation et diffusion de publications digitales, à Nantes",72500000,72
19-147943,3,15-92588,SIRET:23440003400026,0.3878228229210927,0.0531686540311423,réalisation et diffusion de publications digitales (magazine numérique) au profit du Conseil régional des Pays de la Loire à Nantes,72500000,72
19-189603,3,15-84881,NAME:nantes metropole,0.3809303622204077,0.0430007045703647,maintenance et extension de progiciels systèmes pour le compte de Nantes Métropole à Nantes,48213000,48
19-189603,3,15-55407,NAME:nantes metropole,0.3807366726428752,0.0431820055371505,"prestations de centre d'appels pour le dépannage et l'assistance informatique et téléphonique à Nantes Métropole, à la ville de Nantes et au CCAS de Nantes",79512000,79
19-189603,3,15-84820,NAME:nantes metropole,0.378612730681689,0.0412080250652341,"Prestations de centre d'appels pour le dépannage et l'assistance informatique et téléphonique à Nantes Métropole, à la ville de Nantes et au CCAS de Nantes (rectificatif)",79512000,79
19-69736,3,16-102715,NAME:nantes metropole,0.6208870603443148,0.3060354646725343,maintenance et évolution du parc d'équipements réseaux informatiques et d'autocommutateurs téléphoniques pour les besoins du groupement de commandes informatiques,32400000,32
19-69736,3,18-151434,NAME:nantes metropole,0.3376330814748935,0.0079075243547633,nantes - aménagement du boulevard gaston serpette et de la place fallières,,
19-69736,3,17-51157,NAME:nantes metropole,0.3332139055391476,0.0082898680865978,"fourniture et maintenance de postes de travail informatiques et d'équipements connectés pour les besoins du groupement de commandes informatiques (nantes métropole, ville de nantes, ccas et esbanm).",30200000,30
20-32203,3,15-192356,NAME:nantes metropole,0.7644784430602949,0.3344167405765052,Prestations de conseils et d'assistance autour de la GED NUXEO pour le compte de Nantes Métropole à Nantes,72227000,72
20-32203,3,16-33283,NAME:nantes metropole,0.3818862146687873,0.0065369354839024,assistance à la mise en oeuvre du système de management de la sécurité de l'information (smsi) à Nantes,72810000,72
20-32203,3,15-175210,NAME:nantes metropole,0.3727430847447172,0.002660839773878,"élaboration, conformément à une charte graphique précise, d'établir des plans de réseaux d'éclairage public et de régulation de trafic à Nantes",72310000,72
20-49949,3,16-103833,NAME:nantes metropole,0.4847624179233951,0.1150931924987451,"maintenance de serveurs de technologie intel "" x86 "", de baies de stockage et de leurs périphériques associés pour le compte de nantes métropole",48800000,48
20-49949,3,16-54197,NAME:nantes metropole,0.3618690541838042,0.0526927250040093,"Développement, hébergement et maintenance d'un GME et géolocalisé dans le cadre de la création d'une offre de médiation multimédia pour le Musée d'Art au profit de Nantes Métropole",48900000,48
20-49949,3,16-54370,NAME:nantes metropole,0.3606497122905699,0.0551330885930935,"Développement, hébergement et maintenance d'un GME et géolocalisé dans le cadre de la création d'une offre de médiation multimédia pour le Musée d'Art pour Nantes Métropole",48900000,48
21-113953,3,17-102482,NAME:chu de nantes,0.6097060042537827,0.0164257555847568,"Maintenance préventive, corrective, adaptative, réglementaire, évolutive du site internet du CHU de Nantes",72267100,72
21-113953,3,17-93666,NAME:chu de nantes,0.5891738097728365,0.0164257555847568,"Maintenance préventive, corrective, adaptative, réglementaire, évolutive du site internet du CHU de Nantes",72267100,72
21-113953,3,20-70773,NAME:chu de nantes,0.3433670767286957,0.0164257555847568,Fourniture de réactifs Next-Generation Sequencing (NGS) et prestations de bioinformatique pour le laboratoire d'Hématologie de biologie moléculaire du CHU de Nantes,33696500,33
21-35651,3,16-136139,NAME:conseil regional des pays de la loire,0.6960708639626554,0.3158585664496315,Accompagnement pour la mise en oeuvre du Schéma Directeur Numérique de la Région des Pays de la Loire,72222000,72
21-35651,3,16-124376,NAME:conseil regional des pays de la loire,0.4042504619082324,0.0203386904515882,Le présent marché a pour objet la réalisation de prestations en assistance des équipes de la Région des Pays de la Loire dans les tâches d'administration de bases de données.,72212610,72
21-35651,3,17-62129,NAME:conseil regional des pays de la loire,0.3861760008564783,0.0490097184476614,Assistance à maîtrise d'ouvrage pour accompagner la gestion dématérialisée de l'offre régionale de formation professionnelle - Région Formation,72224000,72
21-7561,3,16-128161,NAME:nantes metropole,0.6868437729252053,0.1694240254075805,prestations d'expertises et d'assistance informatique sur les logiciels composant la solution de gestion des identités.,72227000,72
21-7561,3,20-139000,NAME:nantes metropole,0.4751710279353018,0.0587205793004647,prestations d'expertises et d'assistance informatique sur les logiciels composant la solution de gestion des identités pour le compte de nantes métropole et de la ville de nantes,,
21-7561,3,17-13461,NAME:nantes metropole,0.3743462234758667,0.0088874379056809,mission d'assistance à maîtrise d'ouvrage pour la refonte des sites internet nantes.fr et nantesmetropole.fr,72422000,72
22-118151,3,18-159101,NAME:chu de nantes,0.3436430498794962,0.1005254466512241,"Fourniture, installation, paramétrage, intégration, déploiement et maintenance d'une solution d'automatisation de la prise en charge d'un patient dans le service d'odontologie du C",48180000,48
22-118151,3,17-71407,NAME:chu de nantes,0.338322103904138,0.1736466055047379,"Fourniture, installation, mise en oeuvre et maintenance d'une solution de gestion globale (dite hypervision) du nouveau bâtiment du pôle de Médecine Physique et de Réadaptation",48000000,48
22-118151,3,22-47598,NAME:chu de nantes,0.3270334017149095,0.1039429563099622,Fourniture de réactifs et prestations de bioinformatique pour la réalisation du diagnostic moléculaire par NGS pour le CHU de Nantes,33696500,33
22-26998,3,17-111330,NAME:nantes metropole,0.8655797312571141,0.3551361477214865,"prestations en appui de la conduite de projets informatiques pour le compte du groupement de commande nantes métropole, ville de nantes et ccas",72250000,72
22-26998,3,17-129614,NAME:nantes metropole,0.5882090784863006,0.1894877474991724,tierce maintenance applicative du système d'information ressources (s.i.r.h.) pour le compte de nantes métropole,72250000,72
22-26998,3,17-106009,NAME:nantes metropole,0.5287315103648877,0.1880412759059399,"tierce maintenance applicative sur géonantes, portail géographique intranet, extranet et internet de nantes métropole (maintien en conditions opérationnelles et évolutions)",72250000,72
22-94454,3,18-61256,NAME:nantes metropole,0.7856442388534164,0.376206265933041,accord-cadre de modélisation et simulation multimodales de déplacements et de transport de marchandises,72242000,72
22-94454,3,18-61655,NAME:nantes metropole,0.7223974604067058,0.1247843526708254,accord-cadre maintenance des modèles de simulation multimodale des déplacements et de transports de marchandises de nantes métropole,72250000,72
22-94454,3,22-6934,NAME:nantes metropole,0.328435597279589,0.0011362871338883,acquisition de pass numériques (rectificatif),,
23-12419,3,18-26824,SIRET:23440003400026,0.6588916831565986,0.3501838425959328,Développement typo 3 de la sphère web grand public,72212200,72
