notice_id,publication_date,notice_type_normalized,buyer_name_raw,buyer_name_normalized,buyer_legal_name_enriched_display,buyer_siret_raw,buyer_siret_clean,buyer_siren_from_boamp_siret,buyer_siren_enriched,buyer_siren_enriched_raw,code_departement,enrichment_department_raw,url_avis,enrichment_boamp_url,buyer_legal_category_enriched,buyer_legal_category_sirene,buyer_legal_status_enriched
24-34277,2024-03-23,APPEL_OFFRE,Cholet Agglomération,cholet agglomeration,CA CHOLET AGGLOMERATION,17440005100010,17440005100010,174400051,200071678,200071678,49;44;85;79,"49,44,85,79",https://www.boamp.fr/pages/avis/?q=idweb:24-34277,https://www.boamp.fr/pages/avis/?q=idweb:24-34277,Communauté d'agglomération ,7348,A
24-34415,2024-03-24,APPEL_OFFRE,CARIFOREF des Pays de la Loire,cariforef des pays de la loire,GIP CARIF-OREF DES PAYS DE LA LOIRE,92084215000012,92084215000012,920842150,130005119,130005119,44,44,https://www.boamp.fr/pages/avis/?q=idweb:24-34415,https://www.boamp.fr/pages/avis/?q=idweb:24-34415,Groupement d'intérêt public (GIP) ,7410,A
24-35740,2024-03-27,ATTRIBUTION,CHU NANTES,chu nantes,CHU NANTES,53835153700013,53835153700013,538351537,264400136,264400136,44,44,https://www.boamp.fr/pages/avis/?q=idweb:24-35740,https://www.boamp.fr/pages/avis/?q=idweb:24-35740,Établissement d'hospitalisation ,7364,A
24-26253,2024-03-05,APPEL_OFFRE,Cholet Agglomération,cholet agglomeration,CA CHOLET AGGLOMERATION,17440005100010,17440005100010,174400051,200071678,200071678,49;85;44,"49,85,44",https://www.boamp.fr/pages/avis/?q=idweb:24-26253,https://www.boamp.fr/pages/avis/?q=idweb:24-26253,Communauté d'agglomération ,7348,A
24-27068,2024-03-06,APPEL_OFFRE,Département de Maine-et-Loire,departement de maine-et-loire,DEPARTEMENT DE MAINE ET LOIRE,17440005100010,17440005100010,174400051,224900019,224900019,49,49,https://www.boamp.fr/pages/avis/?q=idweb:24-27068,https://www.boamp.fr/pages/avis/?q=idweb:24-27068,Département ,7220,A
24-27437,2024-03-07,APPEL_OFFRE,PODELIHA,podeliha,PODELIHA - ENTREPRISE SOCIALE POUR L'HABITAT - SOCIETE ANONYME D'HABITATIONS A LOYER MODERE,05820059300026,05820059300026,058200593,057201139,057201139,49,49,https://www.boamp.fr/pages/avis/?q=idweb:24-27437,https://www.boamp.fr/pages/avis/?q=idweb:24-27437,SA de HLM à conseil d'administration ,5546,A
24-36876,2024-03-29,APPEL_OFFRE,ARS Pays de la Loire,ars pays de la loire,AGENCE REGIONALE DE SANTE PAYS DE LOIRE,17440005100010,17440005100010,174400051,130008006,130008006,44,44,https://www.boamp.fr/pages/avis/?q=idweb:24-36876,https://www.boamp.fr/pages/avis/?q=idweb:24-36876,Autre établissement public national administratif à compétence territoriale limitée ,7385,A
24-37663,2024-03-31,ATTRIBUTION,Cté Cne PontChâteau-St Gildas des Bois,cte cne pontchateau-st gildas des bois,COMMUNAUTE DE COMMUNES DU PAYS DE PONTCHATEAU ST GILDAS DES BOIS,13002928300012,13002928300012,130029283,200000438,200000438,44,44,https://www.boamp.fr/pages/avis/?q=idweb:24-37663,https://www.boamp.fr/pages/avis/?q=idweb:24-37663,Communauté de communes ,7346,A
24-37897,2024-03-31,OTHER,SEMBREIZH pour le compte de la REGION BRETAGNE,sembreizh pour le compte de la region bretagne,SEMBREIZH,17350005900014,17350005900014,173500059,599200136,599200136,35;22;56;29;44,"35,22,56,29,44",https://www.boamp.fr/pages/avis/?q=idweb:24-37897,https://www.boamp.fr/pages/avis/?q=idweb:24-37897,SA d'économie mixte à conseil d'administration ,5515,A
24-29679,2024-03-13,ATTRIBUTION,Laval Agglomération,laval agglomeration,LAVAL AGGLOMERATION,88008272200013,88008272200013,880082722,200083392,200083392,53,53,https://www.boamp.fr/pages/avis/?q=idweb:24-29679,https://www.boamp.fr/pages/avis/?q=idweb:24-29679,Communauté d'agglomération ,7348,A
24-34703,2024-03-24,APPEL_OFFRE,NANTES UNIVERSITE,nantes universite,NANTES UNIVERSITE,17440005100010,17440005100010,174400051,130029747,130029747,44,44,https://www.boamp.fr/pages/avis/?q=idweb:24-34703,https://www.boamp.fr/pages/avis/?q=idweb:24-34703,Établissement public national à caractère scientifique culturel et professionnel ,7383,A
24-25038,2024-03-01,APPEL_OFFRE,Smictom des Pays de Vilaine,smictom des pays de vilaine,SMICTOM DES PAYS DE VILAINE,17350005900014,17350005900014,173500059,253500862,253500862,35;53,"35,53",https://www.boamp.fr/pages/avis/?q=idweb:24-25038,https://www.boamp.fr/pages/avis/?q=idweb:24-25038,Syndicat mixte fermé ,7354,A
24-25091,2024-03-01,APPEL_OFFRE,"UNIVERSITE BRETAGNE SUD
Direction des affaires financières",universite bretagne sud direction des affaires financieres,UNIVERSITE DE BRETAGNE SUD,17350005900014,17350005900014,173500059,195617188,195617188,56;44;35;22;29,"56,44,35,22,29",https://www.boamp.fr/pages/avis/?q=idweb:24-25091,https://www.boamp.fr/pages/avis/?q=idweb:24-25091,Établissement public national à caractère scientifique culturel et professionnel ,7383,A
24-27540,2024-03-07,APPEL_OFFRE,Etablissement du service d'infrastructure de la défense de Toulon - ESID de Toulon,etablissement du service d infrastructure de la defense de toulon - esid de toulon,MINISTERE DES ARMEES ET DES ANCIENS COMBATTANTS,11000201100044,11000201100044,110002011,110090016,110090016,83;6;13;44;33;75;93;91;92,"836,13,44,33,75,93,91,92",https://www.boamp.fr/pages/avis/?q=idweb:24-27540,https://www.boamp.fr/pages/avis/?q=idweb:24-27540,Ministère ,7113,A
24-27279,2024-03-07,ATTRIBUTION,Ecole Centrale de Nantes,ecole centrale de nantes,ECOLE CENTRALE DE NANTES,17440005100010,17440005100010,174400051,194401006,194401006,44,44,https://www.boamp.fr/pages/avis/?q=idweb:24-27279,https://www.boamp.fr/pages/avis/?q=idweb:24-27279,Établissement public national à caractère scientifique culturel et professionnel ,7383,A
24-27517,2024-03-07,ATTRIBUTION,CHOLET AGGLOMERATION,cholet agglomeration,CA CHOLET AGGLOMERATION,40845469200018,40845469200018,408454692,200071678,200071678,49;85;79;44,"49,85,79,44",https://www.boamp.fr/pages/avis/?q=idweb:24-27517,https://www.boamp.fr/pages/avis/?q=idweb:24-27517,Communauté d'agglomération ,7348,A
