population,score,count,mean,std,min,p10,p25,p50,p75,p90,max
unchanged_m0_links_as_scored_in_m1,m1_composite_score,574.0,0.45528839265066556,0.13143169653587783,0.3235544524947005,0.3436442347870683,0.36036919663179734,0.40674103222658964,0.5030905640216845,0.6557313790415207,0.9381483561867049
unchanged_m0_links_as_scored_in_m1,s_text,574.0,0.3171881850157067,0.3395213285763231,0.0,0.009543111456381119,0.03569311058107,0.1752046963723014,0.5283066315821864,0.9607773639518977,1.0000000000000004
unchanged_m0_links_as_scored_in_m1,s_cpv,574.0,0.3012195121951219,0.35351426022729954,0.0,0.0,0.1,0.1,0.4,1.0,1.0
unchanged_m0_links_as_scored_in_m1,s_time,574.0,0.7197033519987912,0.27757800170857,0.003504161191414834,0.21703898379325448,0.5948313622426631,0.8247919404292597,0.9342969776609724,0.9726237406920718,1.0
unchanged_m0_links_as_scored_in_m1,s_buyer,574.0,0.7398083623693379,0.1534528647828168,0.6,0.6,0.6,0.75,0.75,1.0,1.0
unchanged_m0_links_as_scored_in_m1,top1_top2_margin,574.0,0.15558928014940263,0.17406985607233055,7.845904939524084e-05,0.010630363699989065,0.029606329858903352,0.08044326509400845,0.22333429408179833,0.4262465093449681,0.9381483561867049
incremental_m1_links,m1_composite_score,273.0,0.41293901771614244,0.11374471442082669,0.3231273631386804,0.3274807460993337,0.33842717530168526,0.3715369826295664,0.4374835277422921,0.5839033459074341,0.8885355897388414
incremental_m1_links,s_text,273.0,0.1753371929658468,0.22237990012589884,0.0,0.008045570061827979,0.02155231922482972,0.07777340669937521,0.24301395772740852,0.4874239901202478,1.0
incremental_m1_links,s_cpv,273.0,0.27509157509157506,0.33382048005882015,0.0,0.0,0.1,0.1,0.4,1.0,1.0
incremental_m1_links,s_time,273.0,0.7596905941189779,0.23323249425707693,0.008979413053000429,0.384581690757775,0.6550591327201052,0.835742444152431,0.9342969776609724,0.9780989925536575,1.0
incremental_m1_links,s_buyer,273.0,0.7912087912087912,0.06707932910382115,0.75,0.75,0.75,0.75,0.9,0.9,0.9
incremental_m1_links,top1_top2_margin,273.0,0.12298211575283308,0.13506635486862603,0.0,0.010519544533374881,0.02801632860292763,0.06979449040296937,0.17619597479556787,0.33810093749939124,0.7381631043071657
m1_exact_siret_links,m1_composite_score,120.0,0.46043592161234514,0.13448134070272583,0.32533626541181304,0.34538170098351634,0.36006886233377355,0.4142687528574321,0.5277578843626806,0.6659281646955759,0.9381483561867049
m1_exact_siret_links,s_text,120.0,0.3193648716696712,0.37526531243818234,0.0,0.004376411489017918,0.01737284420632179,0.12470466802599224,0.5962246621811551,0.9999999999999998,1.0000000000000002
m1_exact_siret_links,s_cpv,120.0,0.22666666666666668,0.317747675733708,0.0,0.0,0.1,0.1,0.2,1.0,1.0
m1_exact_siret_links,s_time,120.0,0.7226328661118411,0.27814769974787756,0.003504161191414834,0.24332019272886554,0.5619798510731493,0.8384800700832238,0.9233464739378011,0.9726237406920718,1.0
m1_exact_siret_links,s_buyer,120.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
m1_exact_siret_links,top1_top2_margin,120.0,0.14943840228066071,0.1745561522471517,0.0003609085285670721,0.010178473081647162,0.024611188288946914,0.0639910846936049,0.24231068805177422,0.3756109042252391,0.9381483561867049
m1_same_siren_links,m1_composite_score,90.0,0.42594902375271904,0.1033528019473858,0.3239289635825886,0.33937362621208134,0.3637601456152501,0.39240370026642085,0.44871934059289353,0.5422306678500135,0.8494791109556056
m1_same_siren_links,s_text,90.0,0.20101573271692316,0.24246153515305524,0.0,0.010358792418939519,0.02413874405406069,0.11637548368604703,0.25144498530474624,0.43189039365033277,1.0
m1_same_siren_links,s_cpv,90.0,0.25000000000000006,0.32334279301965707,0.0,0.0,0.1,0.1,0.2,1.0,1.0
m1_same_siren_links,s_time,90.0,0.7623740692071835,0.25301418099088646,0.03088042049934303,0.3095707402540517,0.7070740254051686,0.8494305738063951,0.9274529128339903,0.9676960140166448,0.9945247481384144
m1_same_siren_links,s_buyer,90.0,0.9000000000000004,3.3493284303720105e-16,0.9,0.9,0.9,0.9,0.9,0.9,0.9
m1_same_siren_links,top1_top2_margin,90.0,0.1386135617725089,0.15295016061322442,0.0007301778305446316,0.014091957344935568,0.029606329858903352,0.07240765968944315,0.20073976623501613,0.36476790476733817,0.7381631043071657
m1_historical_alias_links,m1_composite_score,383.0,0.42930224618452184,0.12446800748315136,0.3231273631386804,0.3327845447802265,0.34815593517301796,0.37836822488918953,0.46495346243395597,0.6072779351229164,0.9333942556618702
m1_historical_alias_links,s_text,383.0,0.23896032131837328,0.2839413486950725,0.0,0.007916661069446756,0.030130199049800445,0.12478869336442555,0.32257754949965783,0.7505215995672225,1.0000000000000004
m1_historical_alias_links,s_cpv,383.0,0.28093994778067893,0.32565223162975915,0.0,0.0,0.1,0.1,0.4,1.0,1.0
m1_historical_alias_links,s_time,383.0,0.7455365975555504,0.24464932968418138,0.003504161191414834,0.3714410862899693,0.6222076215505914,0.8247919404292597,0.939772229522558,0.9780989925536575,1.0
m1_historical_alias_links,s_buyer,383.0,0.75,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75
m1_historical_alias_links,top1_top2_margin,383.0,0.12766478909354878,0.1430897229247604,0.0,0.01046236009350061,0.028264252639433024,0.07036909032910205,0.16696238202881283,0.35211139781099254,0.7608168593440137
