source_notice_id,publication_year,cpv_division,buyer_key,buyer_key_type,duration_status,buyer_publication_frequency,n_later_same_buyer_sources,n_later_same_buyer_in_temporal_window,n_scored_candidates,best_score,second_best_score,score_margin,source_has_only_one_candidate,selected_candidate_notice_id,selected_candidate_multiplicity,zero_candidate_cause
15-115988,2015,32,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,57,9,9,0.3422175988129948,0.3047595731793785,0.0374580256336162,False,18-25585,1,has_candidates
15-165050,2015,72,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,56,7,7,0.8454957718359251,0.3571845080588566,0.4883112637770684,False,19-136955,6,has_candidates
15-174987,2015,72,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,55,8,8,0.8097214671190311,0.3571602871873393,0.4525611799316918,False,19-136955,6,has_candidates
16-5277,2016,71,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,54,8,8,0.2862397784066974,0.227652683678639,0.0585870947280583,False,19-136955,6,has_candidates
16-45870,2016,72,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,53,9,9,0.4666629522650822,0.3601184808234157,0.1065444714416665,False,19-127477,3,has_candidates
16-47825,2016,,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,52,11,11,0.2793648823930015,0.2414761614794474,0.0378887209135541,False,16-168154,2,has_candidates
16-57562,2016,72,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,51,9,9,0.4317903295191623,0.3980360429243444,0.0337542865948178,False,19-127477,3,has_candidates
16-62950,2016,71,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,50,8,8,0.2978847187871077,0.2650358078947569,0.0328489108923508,False,19-47186,2,has_candidates
16-70307,2016,,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,48,7,7,0.3361767239929404,0.3026586359710855,0.0335180880218548,False,16-168154,2,has_candidates
16-70219,2016,72,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,48,7,7,0.4433390428765084,0.4249947285616148,0.0183443143148935,False,20-66280,1,has_candidates
16-81907,2016,72,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,47,2,2,0.1946863094294188,0.1112829519708914,0.0834033574585274,False,21-74412,6,has_candidates
16-100426,2016,72,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,46,2,2,0.1965217984244942,0.1071495660851795,0.0893722323393146,False,21-74412,6,has_candidates
16-168154,2016,72,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,45,3,3,0.1460736789835527,0.1382046661184288,0.0078690128651238,False,20-85492,2,has_candidates
16-178183,2016,80,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,44,12,12,0.3229158584449417,0.3124652060002716,0.01045065244467,False,18-546,1,has_candidates
17-20859,2017,42,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,43,12,12,0.3277583900225774,0.290370533072635,0.0373878569499424,False,17-144060,1,has_candidates
17-23552,2017,48,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,42,2,2,0.1881485108619895,0.175669196418239,0.0124793144437504,False,21-74412,6,has_candidates
17-30623,2017,42,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,41,13,13,0.3065910984727915,0.2894678055190539,0.0171232929537376,False,18-40625,2,has_candidates
17-77672,2017,48,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,40,2,2,0.3193021711588152,0.299562142192141,0.0197400289666742,False,21-74412,6,has_candidates
17-99753,2017,32,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,39,6,6,0.357524579527355,0.2911830557147346,0.0663415238126204,False,20-85492,2,has_candidates
17-139193,2017,72,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,38,5,5,0.4907936961730068,0.4273891743980234,0.0634045217749834,False,21-83160,2,has_candidates
17-144060,2017,,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,37,11,11,0.3146658466799752,0.3120113893651095,0.0026544573148657,False,18-40625,2,has_candidates
17-159853,2017,72,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,36,5,5,0.4461775037534541,0.409929163303789,0.0362483404496651,False,21-83160,2,has_candidates
17-161006,2017,48,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,35,3,3,0.2077811309346917,0.1860209329253775,0.0217601980093142,False,23-23753,4,has_candidates
17-176420,2017,35,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,34,4,4,0.2812674968740333,0.2438654732165795,0.0374020236574538,False,21-162690,1,has_candidates
18-546,2018,48,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,33,4,4,0.2568053427542979,0.1900465030156854,0.0667588397386124,False,22-24902,1,has_candidates
18-8070,2018,72,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,32,3,3,0.3710947247244708,0.298881319832587,0.0722134048918838,False,22-15069,2,has_candidates
18-25585,2018,32,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,31,2,2,0.1680514474417068,0.1489643432437832,0.0190871041979235,False,21-74412,6,has_candidates
18-30024,2018,48,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,30,3,3,0.219658344283837,0.169095568529783,0.050562775754054,False,22-120791,3,has_candidates
18-40625,2018,32,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,29,2,2,0.2070334728200599,0.2013171460040549,0.0057163268160049,False,21-74412,6,has_candidates
18-60154,2018,32,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,28,4,4,0.3856924480561566,0.2765613692467107,0.1091310788094458,False,22-15069,2,has_candidates
18-91090,2018,48,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,27,4,4,0.2108521602350939,0.1961881321634168,0.014664028071677,False,22-120791,3,has_candidates
18-101099,2018,72,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,26,3,3,0.3712815397059747,0.3327083995162678,0.0385731401897068,False,23-23753,4,has_candidates
18-117389,2018,45,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,25,9,9,0.3255717563699516,0.290096504508366,0.0354752518615856,False,19-169787,1,has_candidates
19-8916,2019,48,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,24,3,3,0.2474382827573268,0.219228219926389,0.0282100628309377,False,23-23753,4,has_candidates
19-11075,2019,45,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,23,10,10,0.30069457297674,0.290512258153943,0.010182314822797,False,20-10269,1,has_candidates
19-16795,2019,,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,22,7,8,0.2860673241039314,0.2702532902757868,0.0158140338281446,False,19-136955,6,has_candidates
19-35566,2019,72,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,21,3,3,0.4490628262534488,0.3979533188241977,0.051109507429251,False,23-23753,4,has_candidates
19-47186,2019,,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,20,7,7,0.3180989925536574,0.287837873377758,0.0302611191758993,False,19-136955,6,has_candidates
19-85688,2019,72,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,19,1,1,0.262189328511921,,0.262189328511921,True,23-159290,6,has_candidates
19-136955,2019,72,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,18,2,2,0.202026540842385,0.1563721228672585,0.0456544179751264,False,23-159290,6,has_candidates
19-169306,2019,72,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,17,1,1,0.2826004588085164,,0.2826004588085164,True,23-159290,6,has_candidates
19-169787,2019,,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,16,7,7,0.3332542169677159,0.3238332022917268,0.0094210146759891,False,19-127477,3,has_candidates
19-176963,2020,72,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,15,1,1,0.2675519010557855,,0.2675519010557855,True,23-159290,6,has_candidates
20-10269,2020,48,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,14,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
20-31457,2020,30,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,13,1,1,0.2899548817384225,,0.2899548817384225,True,22-120791,3,has_candidates
19-127477,2020,72,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,12,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
20-47368,2020,71,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,11,2,2,0.2433378002998194,0.2039036614573287,0.0394341388424906,False,23-43939,1,has_candidates
20-66280,2020,72,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,10,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
20-85492,2020,32,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,9,1,1,0.2620542302106673,,0.2620542302106673,True,23-159290,6,has_candidates
21-74412,2021,72,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,8,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
21-83160,2021,72,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,7,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
21-162690,2022,30,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,6,1,1,0.120017174140788,,0.120017174140788,True,23-159290,6,has_candidates
22-15069,2022,32,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,5,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
22-24902,2022,48,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,4,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
22-120791,2022,32,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,3,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
23-23753,2023,72,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,2,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
23-43939,2023,72,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,1,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
23-159290,2023,35,NAME:angers loire metropole,NAME_FALLBACK,imputed,61,0,0,0,,,,False,,0,no_later_same_buyer_notice
24-68355,2024,72,NAME:angers loire metropole 49,NAME_FALLBACK,observed,5,4,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
25-5047,2025,48,NAME:angers loire metropole 49,NAME_FALLBACK,observed,5,3,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
25-33226,2025,48,NAME:angers loire metropole 49,NAME_FALLBACK,observed,5,2,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
26-31969,2026,72,NAME:angers loire metropole 49,NAME_FALLBACK,observed,5,1,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
26-40955,2026,72,NAME:angers loire metropole 49,NAME_FALLBACK,observed,5,0,0,0,,,,False,,0,no_later_same_buyer_notice
16-51983,2016,,NAME:angers nantes opera syndicat mixte,NAME_FALLBACK,imputed,5,4,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
20-60892,2020,,NAME:angers nantes opera syndicat mixte,NAME_FALLBACK,imputed,5,3,2,3,0.5725129079530404,0.4559329829172142,0.1165799250358262,False,20-122198,2,has_candidates
20-61243,2020,,NAME:angers nantes opera syndicat mixte,NAME_FALLBACK,imputed,5,2,2,2,0.5711440949876441,0.4545641699518177,0.1165799250358263,False,20-122198,2,has_candidates
20-60975,2020,48,NAME:angers nantes opera syndicat mixte,NAME_FALLBACK,imputed,5,1,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
20-122198,2020,48,NAME:angers nantes opera syndicat mixte,NAME_FALLBACK,imputed,5,0,0,0,,,,False,,0,no_later_same_buyer_notice
16-81005,2016,48,NAME:arafer,NAME_FALLBACK,imputed,11,10,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
16-103802,2016,72,NAME:arafer,NAME_FALLBACK,imputed,11,9,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
16-134086,2016,,NAME:arafer,NAME_FALLBACK,imputed,11,8,6,6,0.2880463378524299,0.2811489265485534,0.0068974113038764,False,17-15162,1,has_candidates
16-158508,2016,48,NAME:arafer,NAME_FALLBACK,imputed,11,7,1,1,0.1692790235575205,,0.1692790235575205,True,21-20759,6,has_candidates
