cpv_division,broad,strict,broad_rank,strict_rank,spearman_rho,spearman_p_value
32,54.734567337668324,59.17463471212177,1.0,4.0,-0.39999999999999997,0.6
35,56.751049376668924,58.86996850662636,4.0,2.0,-0.39999999999999997,0.6
48,56.475465169542055,58.88222137548898,3.0,3.0,-0.39999999999999997,0.6
72,56.23753851272295,58.25605364283479,2.0,1.0,-0.39999999999999997,0.6
