validation_case_id,validation_stratum,source_notice_id,candidate_notice_id,source_publication_date,candidate_publication_date,time_gap_months,source_buyer_key_type,candidate_buyer_key_type,source_buyer_name_normalized,candidate_buyer_name_normalized,source_cpv,candidate_cpv,source_cpv_division,candidate_cpv_division,source_object,candidate_object,source_boamp_url,candidate_boamp_url,reviewer_label,reviewer_confidence,buyer_identity_confidence,evidence_category,likely_error_mechanism,external_evidence_consulted,ai_assisted_summary_used,short_justification
VAL-0013,accepted_high_confidence_m0,21-25617,22-54720,2021-02-26 00:00:00,2022-04-14 00:00:00,13.534822601839684,RAW_SIRET,RAW_SIRET,departement de la sarthe,departement de la sarthe,45314320,45110000,45,45,"Travaux de câblage informatique courant faible pour l'installation de vidéoprojecteurs, d'armoires tablettes et de bornes Wifi dans les bâtiments départementaux et collèges publics",Travaux de restructuration d'un bâtiment d'habitation en Erp pour une Unité d'Accueil d'Urgence du Département de la Sarthe,,,,,,,,,,
VAL-0014,accepted_high_confidence_m0,15-176598,16-35152,2015-11-23 00:00:00,2016-03-11 00:00:00,3.580814717477004,NAME_FALLBACK,NAME_FALLBACK,departement de la sarthe,departement de la sarthe,nan,72422000,nan,72,"Fourniture, livraison et mise en service régulier d'un logiciel de gestion de la signalisation directionnelle y compris prestations associées avec maintenance sur site 4 ans","fourniture, livraison et mise en service régulier d'une solution globale sig y compris prestations associées avec maintenance sur site 4 ans à Le Mans",,,,,,,,,,
VAL-0015,accepted_high_confidence_m0,21-124087,25-124007,2021-09-16 00:00:00,2025-11-06 00:00:00,49.67148488830486,NAME_FALLBACK,NAME_FALLBACK,ville d orvault,ville d orvault,35121700,35121700,35,35,Fourniture et installation d'un dispositif d'alarmes dans le cadre des plans particuliers de mise en sûreté (PPMS). Système audio : sonnerie et appel général.,"Maintenance, exploitation et extension des équipements anti-intrusion, de télésurveillance et de vidéosurveillance de la Ville d'Orvault.",,,,,,,,,,
VAL-0016,accepted_high_confidence_m0,16-175178,18-31687,2016-12-06 00:00:00,2018-03-08 00:00:00,15.013140604467806,NAME_FALLBACK,NAME_FALLBACK,conseil regional des pays de la loire,conseil regional des pays de la loire,nan,48900000,nan,48,Assistance à maîtrise d'ouvrage pour la mise en place d'un site internet dédié aux aides en direction des jeunes,Mise en place et maintenance d'un systeme d'information géographique (SIG) pour les services de la Région des Pays de la Loire,,,,,,,,,,
VAL-0017,accepted_high_confidence_m0,16-73215,20-26328,2016-05-23 00:00:00,2020-02-21 00:00:00,44.97371879106439,NAME_FALLBACK,NAME_FALLBACK,nantes metropole,nantes metropole,72130000,72130000,72,72,Assistance à maîtrise d'ouvrage pour la refonte du site internet nantesmetropole.fr,"conseil en stratégie de contenus web, l'animation et la conception de contenus digitaux pour le site nantes entreprise dans ma poche",,,,,,,,,,
VAL-0018,accepted_high_confidence_m0,18-181130,23-76010,2018-12-30 00:00:00,2023-06-07 00:00:00,53.21944809461235,NAME_FALLBACK,NAME_FALLBACK,nantes metropole,nantes metropole,79512000,79512000,79,79,accord-cadre de prestations de centre de contact multicanal pour le dépannage et l'assistance informatique et téléphonique,prestations de centre de contact multicanal pour le dépannage et l'assistance informatique et téléphonique,,,,,,,,,,
VAL-0019,accepted_high_confidence_m0,17-150835,21-152380,2017-10-25 00:00:00,2021-11-17 00:00:00,48.75164257555847,NAME_FALLBACK,NAME_FALLBACK,gie des epl de vendee,gie des epl de vendee,48920000,48200000,48,48,location de logiciels de bureautique et d'applications en ligne de messagerie électronique et de travail collaboratif,Location de logiciels de bureautique et d'applications en ligne de messagerie électronique et de travail collaboratif,,,,,,,,,,
VAL-0020,accepted_high_confidence_m0,19-28845,23-23775,2019-02-21 00:00:00,2023-02-20 00:00:00,47.96320630749014,NAME_FALLBACK,NAME_FALLBACK,departement de la mayenne,departement de la mayenne,72212500,nan,72,nan,Conception et installation d'un parcours multimédia sur le site du Château de Sainte-Suzanne et prestations associées,Lac de Haute Mayenne - Observatoire de la qualité de l'eau 2023-2026 - Analyses de phytoplancton et interprétation des résultats,,,,,,,,,,
VAL-0021,accepted_high_confidence_m0,16-49315,16-153372,2016-04-05 00:00:00,2016-10-20 00:00:00,6.504599211563732,NAME_FALLBACK,NAME_FALLBACK,rectorat de l academie de nantes,rectorat de l academie de nantes,nan,nan,nan,nan,Prestations de support et de maintenance sur des équipements de téléphonie sur IP et de réseaux informatiques du rectorat de Nantes et de ses services déconcentrés.,Acquisition de prestations de support et de maintenance sur des équipements de réseaux informatiques du rectorat de nantes et de ses services déconcentrés.,,,,,,,,,,
VAL-0022,accepted_high_confidence_m0,19-74485,23-144303,2019-05-18 00:00:00,2023-10-20 00:00:00,53.088042049934295,NAME_FALLBACK,NAME_FALLBACK,nantes metropole,nantes metropole,72243000,72000000,72,72,missions de programmation et d'assistance à maîtrise d'ouvrage pour des opérations de bâtiments et ou des opérations mixtes bâtiment-infrastructure,"tierce maintenance applicative de la plateforme eservices et du compte nantes métropole pour les besoins du groupement de commandes informatiques (nantes métropole, ville de nantes, ccas)",,,,,,,,,,
VAL-0023,accepted_high_confidence_m0,19-142286,20-38676,2019-09-19 00:00:00,2020-03-15 00:00:00,5.847568988173456,NAME_FALLBACK,NAME_FALLBACK,commune de nantes,commune de nantes,nan,48000000,nan,48,mise en oeuvre d'une solution logicielle de gestion des demandes et su stock horticole pour la ville de nantes,acquisition et installation d'un logiciel de gestion de l'accompagnement social,,,,,,,,,,
VAL-0024,accepted_high_confidence_m0,17-79002,20-140005,2017-06-07 00:00:00,2020-11-16 00:00:00,41.32720105124836,NAME_FALLBACK,NAME_FALLBACK,lycee polyvalent leonard de vinci,lycee polyvalent leonard de vinci,32321300,32321300,32,32,RENOUVELLEMENT DU MATERIEL AUDIOVISUEL pour le lycée Leonard de Vinci (85),RENOUVELLEMENT MATERIEL AUDIOVISUEL pour le lycée Leonard de Vinci (85),,,,,,,,,,
VAL-0025,accepted_high_confidence_m0,19-92498,23-125766,2019-06-21 00:00:00,2023-09-24 00:00:00,51.11695137976346,NAME_FALLBACK,NAME_FALLBACK,nantes metropole,nantes metropole,48000000,48000000,48,48,"acquisition, mise en oeuvre, hébergement et maintenance d'une solution logicielle de gestion du centre de réception des appels institutionnels et d'organisation de la logistique (craiol)",Acquisition et mise en oeuvre d'une solution logicielle pour la police municipale et la police métropolitaine des transports en commun,,,,,,,,,,
VAL-0026,accepted_high_confidence_m0,17-157486,21-156574,2017-11-08 00:00:00,2021-11-26 00:00:00,48.58738501971091,NAME_FALLBACK,NAME_FALLBACK,departement de la sarthe,departement de la sarthe,72268000,72224000,72,72,Acquisition et mise en oeuvre d'un outil collaboratif de gestion de projets et de portefeuilles de projets pour les besoins du Département de la Sarthe,MISSION D'ASSISTANCE A MAITRISE D'OUVRAGE AFIN D'ELABORER DEUX SCHEMAS DIRECTEURS IMMOBILIERS POUR LES BESOINS DU DEPARTEMENT DE LA SARTHE,,,,,,,,,,
VAL-0027,accepted_high_confidence_m0,18-182041,21-157863,2018-12-31 00:00:00,2021-12-02 00:00:00,35.05256241787122,NAME_FALLBACK,NAME_FALLBACK,commune de saint-herblain,commune de saint-herblain,32420000,72267100,32,72,"Acquisition de matériels réseau et de téléphonie IP, fourniture de logiciels, prestations ponctuelles et maintenance de l'architecture réseau et TOIP pour la Mairie de Saint-Herblain","Acquisition, maintenance et prestations associées pour l'infrastructure réseau, TOIP et Visio de la Ville de Saint-Herblain",,,,,,,,,,
VAL-0028,accepted_high_confidence_m0,20-49949,24-127528,2020-04-30 00:00:00,2024-11-08 00:00:00,54.30354796320631,NAME_FALLBACK,NAME_FALLBACK,nantes metropole,nantes metropole,48822000,48000000,48,48,"acquisition et maintenance de matériels de technologies intel "" x86 "" (serveurs, baies de stockage de données, accessoires, matériels périphériques) et prestations associées.","Acquisition, maintenance et hébergement d'une solution de gestion du conservatoire de Nantes et d'un environnement numérique de travail pédagogique - phase candidature",,,,,,,,,,
VAL-0029,accepted_high_confidence_m0,18-164871,19-74485,2018-11-26 00:00:00,2019-05-18 00:00:00,5.683311432325887,NAME_FALLBACK,NAME_FALLBACK,nantes metropole,nantes metropole,nan,72243000,nan,72,conception d'une maquette numérique avec son support physique (y compris mobilier) et les interfaces numériques (écrans) nécessaires à la visualisation in situ de la métropole nantaise,missions de programmation et d'assistance à maîtrise d'ouvrage pour des opérations de bâtiments et ou des opérations mixtes bâtiment-infrastructure,,,,,,,,,,
VAL-0030,accepted_high_confidence_m0,16-57014,16-155479,2016-04-20 00:00:00,2016-10-27 00:00:00,6.241787122207621,NAME_FALLBACK,NAME_FALLBACK,nantes metropole,nantes metropole,nan,30121100,nan,30,"mission d'étude, de préconisations et d'élaboration de scénarios d'évolution pour le réseau numérique urbain de nantes métropole et de la ville de nantes","acquisition et maintenance de copieurs bureautiques multifonctions pour le compte du groupement de commandes informatiques (nantes metropole, ville de nantes, ccas, esbanm)",,,,,,,,,,
VAL-0031,accepted_low_margin_m0,17-76616,21-85842,2017-06-03 00:00:00,2021-06-25 00:00:00,48.71879106438896,NAME_FALLBACK,NAME_FALLBACK,nantes metropole,nantes metropole,72250000,72253000,72,72,"tierce maintenance applicative sur géonantes, portail géographique intranet, extranet et internet de nantes métropole (maintien en conditions opérationnelles et évolutions)",prestations de renfort du support utilisateurs.,,,,,,,,,,
VAL-0032,accepted_low_margin_m0,19-119269,23-102643,2019-08-02 00:00:00,2023-07-22 00:00:00,47.63469119579501,NAME_FALLBACK,NAME_FALLBACK,nantes metropole,nantes metropole,72250000,72415000,72,72,"accord-cadre pour la "" tierce maintenance applicative du système d'aide à la décision"" (MCO et évolutions) pour le compte de Nantes Métropole, de la ville de Nantes et de son CCAS",acquisition et mise en oeuvre d'une solution cms d'hébergement de site web institutionnel et la refonte des sites metropole.nantes.fr et patrimonia.nantes.fr pour le compte du groupement de commandes,,,,,,,,,,
