domain_normalized,registered_domain,observation_count,distinct_profile_buyer_names,dominant_buyer_normalized,dominant_buyer_share,buyer_entropy,domain_specificity
marchespublics-idf-centre.fr,marchespublics-idf-centre.fr,116,104,ville d andresy,0.02586206896551724,6.638069141641997,GENERIC_PLATFORM
marches-public.gouv.fr,marches-public.gouv.fr,116,41,universite de nantes,0.4827586206896552,3.4164993086170052,GENERIC_PLATFORM
e-megalisbretagne.org,e-megalisbretagne.org,111,76,region bretagne,0.07207207207207207,5.967619132018421,GENERIC_PLATFORM
marchespublics.aquitaine.fr,aquitaine.fr,110,80,centre communal d action sociale,0.05454545454545454,6.160771872556564,GENERIC_PLATFORM
lamayenne.fr,lamayenne.fr,105,2,departement de la mayenne,0.7238095238095238,0.8502079949955313,SHARED_INSTITUTIONAL
tan-marches.com,tan-marches.com,105,2,semitan,0.9142857142857143,0.4220005168831531,HIGHLY_CONCENTRATED
marches-publics.fr,marches-publics.fr,101,25,chu de nantes,0.7227722772277227,2.1051699698979207,AMBIGUOUS
metropole-angers.marcoweb.fr,marcoweb.fr,98,8,angers loire metropole,0.7040816326530612,1.4254563997921952,SHARED_INSTITUTIONAL
loire.fr,loire.fr,93,81,mairie,0.03225806451612903,6.272977225063264,GENERIC_PLATFORM
ladepeche-marchespublics.fr,ladepeche-marchespublics.fr,91,66,mairie,0.06593406593406594,5.897797112678622,GENERIC_PLATFORM
marches-publics.sis-marches.com,sis-marches.com,86,22,commune de saint-nazaire,0.5581395348837209,2.7447819053114433,AMBIGUOUS
eadministration64.fr,eadministration64.fr,85,63,mairie de mouguerre,0.047058823529411764,5.841571377237815,GENERIC_PLATFORM
marches.megalis.bretagne.bzh,bretagne.bzh,78,32,region bretagne,0.15384615384615385,4.5337459306174965,GENERIC_PLATFORM
agglo-carene.fr,agglo-carene.fr,78,3,com d agglo reg nazairienne estuaire,0.358974358974359,1.58211413544444,AMBIGUOUS
interco.achatpublic.com,achatpublic.com,76,73,satt ouest valorisation,0.039473684210526314,6.159047414730909,GENERIC_PLATFORM
marchespublics.dordogne.fr,dordogne.fr,74,59,c c du pays riberacois,0.02702702702702703,5.804047960223547,GENERIC_PLATFORM
marchespublics.vendee.fr,vendee.fr,72,5,departement de la vendee,0.6527777777777778,1.389894656934791,SHARED_INSTITUTIONAL
marchespublics.cdg43.fr,cdg43.fr,69,57,aiguilhe,0.028985507246376812,5.760698369821648,GENERIC_PLATFORM
midilibre-marchespublics.com,midilibre-marchespublics.com,69,47,centre communal d action sociale,0.057971014492753624,5.441857790111501,GENERIC_PLATFORM
webmarche.adullact.org,adullact.org,69,45,commune de romagnat,0.057971014492753624,5.304034963961836,GENERIC_PLATFORM
alm.marhces-securises.fr,marhces-securises.fr,69,1,angers loire metropole,1.0,-0.0,BUYER_SPECIFIC
cnamts.achatpublic.com,achatpublic.com,67,53,cram ile de france,0.04477611940298507,5.625644787408116,GENERIC_PLATFORM
lamayenne.marcoweb.fr,marcoweb.fr,66,3,conseil departemental de la mayenne,0.8787878787878788,0.6311718053929062,HIGHLY_CONCENTRATED
marchespublics82.com,marchespublics82.com,65,59,mairie,0.046153846153846156,5.826138774533631,GENERIC_PLATFORM
publication.marchesonline.com,marchesonline.com,65,58,groupement d interet public arronax,0.06153846153846154,5.776213966874607,GENERIC_PLATFORM
e-marchespublics.fr,e-marchespublics.fr,65,56,centre de gestion fpt loire-atlantique,0.046153846153846156,5.7222174283465,GENERIC_PLATFORM
marchespublics.aude.fr,aude.fr,63,44,commune de carcassonne,0.06349206349206349,5.3183946059709175,GENERIC_PLATFORM
marchespublics-aquitaine.org,marchespublics-aquitaine.org,62,48,bordeaux metropole,0.06451612903225806,5.433798528024125,GENERIC_PLATFORM
meoss.fr,meoss.fr,61,15,gie sesam vitale,0.6885245901639344,2.0212728825348867,SHARED_INSTITUTIONAL
centreofficielles.com,centreofficielles.com,60,47,centre hospitalier guy thomas,0.05,5.460975803905793,GENERIC_PLATFORM
marchespublics.adm76.com,adm76.com,59,45,mairie,0.1016949152542373,5.31468076115291,GENERIC_PLATFORM
lamayenne.marco-web.fr,marco-web.fr,58,1,conseil departemental de la mayenne,1.0,-0.0,BUYER_SPECIFIC
vendee-eau.fr,vendee-eau.fr,56,3,vendee eau,0.9642857142857143,0.2579991163999737,HIGHLY_CONCENTRATED
marches-aube.fr,marches-aube.fr,55,44,cc seine et aube,0.03636363636363636,5.381359713524659,GENERIC_PLATFORM
marches.publics.gouv.fr,publics.gouv.fr,55,36,chd vendee,0.2545454545454545,4.594033006091814,GENERIC_PLATFORM
reseaucma.e-marchespublics.com,e-marchespublics.com,54,39,cmar pays de la loire,0.16666666666666666,4.9673074093304885,GENERIC_PLATFORM
marches.cdg5962.fr,cdg5962.fr,53,44,mairie,0.05660377358490566,5.374054652635587,GENERIC_PLATFORM
marchespublicsaffiches.com,marchespublicsaffiches.com,53,38,mairie de villard de lans,0.05660377358490566,5.147639558295964,GENERIC_PLATFORM
eu-supply.com,eu-supply.com,53,35,ca saumur val de loire,0.18867924528301888,4.733032606389603,GENERIC_PLATFORM
pole-emploi.e-marchespublics.com,e-marchespublics.com,53,31,pole emploi,0.1509433962264151,4.66632304878036,GENERIC_PLATFORM
marches-publics.gouv,marches-publics.gouv,53,8,ch le mans,0.8679245283018868,0.9338855493061691,SHARED_INSTITUTIONAL
marches.smic-vosges.fr,smic-vosges.fr,49,46,commune d eloyes,0.04081632653061224,5.492260864523372,GENERIC_PLATFORM
achatpublics.com,achatpublics.com,49,4,ch le mans,0.9387755102040817,0.42932515067393073,SHARED_INSTITUTIONAL
achatspublicscorse.com,achatspublicscorse.com,48,29,commune de sarrola carcopino,0.0625,4.746115365169275,GENERIC_PLATFORM
marches.ternum-bfc.fr,ternum-bfc.fr,48,29,communaute urbaine le creusot montceau,0.08333333333333333,4.67850885479768,GENERIC_PLATFORM
plateforme.achat-hopital.com,achat-hopital.com,48,25,centre hospitalier de laval,0.08333333333333333,4.412782031835939,GENERIC_PLATFORM
marchespublics.semitan.fr,semitan.fr,48,2,semitan,0.6666666666666666,0.9182958340544896,SHARED_INSTITUTIONAL
semitan.tan.fr,tan.fr,48,2,semitan,0.6666666666666666,0.9182958340544896,SHARED_INSTITUTIONAL
marchespublics.agglo-carene.fr,agglo-carene.fr,47,4,commune de saint-nazaire,0.5106382978723404,1.4726178400726835,SHARED_INSTITUTIONAL
eguadeloupe.com,eguadeloupe.com,46,22,communaute d agl du nord basse terre,0.10869565217391304,4.308903195602073,GENERIC_PLATFORM
cdg59.fr,cdg59.fr,44,40,commune de mouvaux,0.045454545454545456,5.277613436819116,GENERIC_PLATFORM
klekoon.fr,klekoon.fr,44,32,gcs esante pays de la loire,0.13636363636363635,4.788754913993504,GENERIC_PLATFORM
marches.local-trust.com,local-trust.com,44,20,communaute urbaine d alencon,0.18181818181818182,3.916833823616225,GENERIC_PLATFORM
marches.rvvn.org,rvvn.org,43,35,ville de valenciennes,0.06976744186046512,5.036616208140156,GENERIC_PLATFORM
proxilegales.fr,proxilegales.fr,43,25,cte d agglo du soissonnais,0.09302325581395349,4.507432777857286,GENERIC_PLATFORM
gazettenpdc.fr,gazettenpdc.fr,41,39,commune d etaples sur mer,0.04878048780487805,5.259991029008325,GENERIC_PLATFORM
voixdelain.fr,voixdelain.fr,41,32,a synd d irrigation de l ain,0.07317073170731707,4.900115724077511,GENERIC_PLATFORM
achat-sante.com,achat-sante.com,41,31,chi de clermont,0.12195121951219512,4.781707114997672,GENERIC_PLATFORM
e-occitanie.fr,e-occitanie.fr,41,28,mairie,0.14634146341463414,4.589020906951571,GENERIC_PLATFORM
approlys.marches-publics.info,marches-publics.info,40,33,communaute de communes du malesherbois,0.05,4.971928094887363,GENERIC_PLATFORM
ecrivainpublic.doubletrade.net,doubletrade.net,40,8,commune de mauges sur loire,0.6,1.8709505944546687,SHARED_INSTITUTIONAL
nantes.fr,nantes.fr,40,1,ville de nantes,1.0,-0.0,BUYER_SPECIFIC
mpe27.fr,mpe27.fr,39,34,agglomeration seine-eure,0.05128205128205128,5.028991962451991,GENERIC_PLATFORM
marchespublics.ain.fr,ain.fr,39,24,ca du bassin de bourg en bresse,0.1282051282051282,4.384904386073434,GENERIC_PLATFORM
marchesonline.com,marchesonline.com,38,30,euratechnologies,0.10526315789473684,4.774243302917272,GENERIC_PLATFORM
marches.montpellier3m.fr,montpellier3m.fr,38,24,ccas de montpellier,0.07894736842105263,4.43162356584743,GENERIC_PLATFORM
achatpublic.fr,achatpublic.fr,37,33,centre regional oeuvres universitaires,0.05405405405405406,4.993237149412734,GENERIC_PLATFORM
marchespublics.cg27.fr,cg27.fr,37,27,grand evreux agglomeration,0.10810810810810811,4.5944564061110205,GENERIC_PLATFORM
cad-en.marcoweb.fr,marcoweb.fr,36,34,saeu bosc roger st ouen du tilleul,0.05555555555555555,5.0588138903312005,GENERIC_PLATFORM
e-aveyron.fr,e-aveyron.fr,35,26,commune de najac,0.08571428571428572,4.571860873964196,GENERIC_PLATFORM
marches.securises.fr,securises.fr,35,25,ville de la roche sur yon,0.2,4.339240603962017,GENERIC_PLATFORM
marchespublics-matec57.fr,marchespublics-matec57.fr,34,27,commune de boust,0.058823529411764705,4.675698135367986,GENERIC_PLATFORM
marchespublics-agglo-carene.omnikles.com,omnikles.com,34,3,commune de saint-nazaire,0.7058823529411765,1.0119209285947934,SHARED_INSTITUTIONAL
achat-national.com,achat-national.com,33,25,mairie,0.09090909090909091,4.536670255656531,GENERIC_PLATFORM
adto.fr,adto.fr,33,20,mairie,0.18181818181818182,4.0895524525606675,GENERIC_PLATFORM
am28.org,am28.org,32,23,energie eure et loir,0.09375,4.413909765557392,GENERIC_PLATFORM
e-marches06.fr,e-marches06.fr,31,15,metropole nice cote d azur,0.1935483870967742,3.630985019785137,GENERIC_PLATFORM
agglo-laval.achatpublic.com,achatpublic.com,31,5,ville de laval,0.5806451612903226,1.5481325994532482,GENERIC_PLATFORM
marches-marne.fr,marches-marne.fr,30,24,cc grande vallee de la marne,0.06666666666666667,4.506890595608519,GENERIC_PLATFORM
eu.eu-supply.com,eu-supply.com,30,23,ca pornic agglo pays de retz,0.2,4.256564762130954,GENERIC_PLATFORM
cap-atlantique.achatpublic.com,achatpublic.com,30,1,cap atlantique,1.0,-0.0,GENERIC_PLATFORM
webmarche.eu,webmarche.eu,29,20,communaute de communes de desvres-same,0.10344827586206896,4.211260736432279,GENERIC_PLATFORM
agysoft.marches-publics.fr,marches-publics.fr,29,1,conseil departemental de la mayenne,1.0,-0.0,BUYER_SPECIFIC
amayenne.marcoweb.fr,marcoweb.fr,29,1,conseil departemental de la mayenne,1.0,-0.0,BUYER_SPECIFIC
achats-franciliens.fr,achats-franciliens.fr,28,22,ville de wissous,0.10714285714285714,4.324862957617357,GENERIC_PLATFORM
sommemarchespublics.fr,sommemarchespublics.fr,27,24,cc du sud ouest amienois,0.07407407407407407,4.532665279941247,GENERIC_PLATFORM
marches-info.fr,marches-info.fr,27,22,cc de l argonne champenoise,0.07407407407407407,4.384517131793099,GENERIC_PLATFORM
marches.caissedesdepots.fr,caissedesdepots.fr,27,3,caisse des depots,0.8888888888888888,0.6052912052261445,HIGHLY_CONCENTRATED
marches.publics.nantesmetropole.fr,nantesmetropole.fr,27,1,commune de nantes,1.0,-0.0,BUYER_SPECIFIC
mapa.aji-france.com,aji-france.com,26,20,college le ruissatel,0.07692307692307693,4.23890125660263,GENERIC_PLATFORM
ternum-bfc.fr,ternum-bfc.fr,26,20,s d i s de saone-et-loire,0.11538461538461539,4.209867121904035,GENERIC_PLATFORM
pays-ancenis.e-marchespublics.com,e-marchespublics.com,26,1,cte de cnes du pays d ancenis,1.0,-0.0,GENERIC_PLATFORM
marches-publics.loiret.com,loiret.com,25,24,departement du loiret,0.08,4.563856189774725,GENERIC_PLATFORM
avisdemarches.leparisien.fr,leparisien.fr,25,22,cc coeur d yvelines,0.08,4.403856189774724,GENERIC_PLATFORM
marchespublics.grandlyon.com,grandlyon.com,25,14,metropole de lyon,0.36,3.2626831892554913,AMBIGUOUS
ledauphine.marchespublics-eurolegales.com,marchespublics-eurolegales.com,24,17,c de c du massif du vercors,0.08333333333333333,4.001629167387822,GENERIC_PLATFORM
megalis.bretagne.bzh,bretagne.bzh,24,15,region bretagne,0.16666666666666666,3.7516291673878235,GENERIC_PLATFORM
marchespublics-amhr.omnikles.com,omnikles.com,23,17,commune de rosenau,0.13043478260869565,3.9690016298759927,GENERIC_PLATFORM
marchespublics.grand-nancy.org,grand-nancy.org,23,14,commune de laxou,0.13043478260869565,3.675310868912364,AMBIGUOUS
mairie-orvault.e-marchespublics.com,e-marchespublics.com,23,1,ville d orvault,1.0,-0.0,GENERIC_PLATFORM
marche-publics.gouv.fr,marche-publics.gouv.fr,22,17,etablissement francais du sang,0.18181818181818182,3.9139770731827515,GENERIC_PLATFORM
sudest-marchespublics.com,sudest-marchespublics.com,22,16,chambre des metiers et de l artisanat,0.13636363636363635,3.8796640049025943,GENERIC_PLATFORM
marches-pubics.gouv.fr,marches-pubics.gouv.fr,22,3,ministere des affaires etrangeres,0.8636363636363636,0.6998578570269279,HIGHLY_CONCENTRATED
marches.agglo-compiegne.fr,agglo-compiegne.fr,21,18,ville de compiegne,0.09523809523809523,4.106603137064474,GENERIC_PLATFORM
appels-offres.org,appels-offres.org,21,15,cc andaine passais,0.09523809523809523,3.8208888513501877,GENERIC_PLATFORM
marches-publics-manche.fr,marches-publics-manche.fr,21,15,communaute d agglomeration du cotentin,0.14285714285714285,3.7849418274376414,GENERIC_PLATFORM
laprovencemarchespublics.com,laprovencemarchespublics.com,21,12,ville de saint-victoret,0.14285714285714285,3.4632805178108104,AMBIGUOUS
territoires-numeriques-bfc.fr,territoires-numeriques-bfc.fr,21,11,nievre habitat,0.19047619047619047,3.2135132560090707,AMBIGUOUS
marchespublics85.fr,marchespublics85.fr,21,10,syndicat departemental d energie,0.19047619047619047,3.0823281368584294,AMBIGUOUS
ww.sarthe-marchespublics.fr,sarthe-marchespublics.fr,21,1,ville du mans,1.0,-0.0,BUYER_SPECIFIC
marches-aisne.fr,marches-aisne.fr,20,18,entente oise-aisne,0.1,4.1219280948873624,GENERIC_PLATFORM
marches.cdg59.fr,cdg59.fr,20,18,ville de saint-amand-les-eaux,0.1,4.1219280948873624,GENERIC_PLATFORM
avis.maximilien.fr,maximilien.fr,20,15,region ile-de-france,0.2,3.721928094887362,GENERIC_PLATFORM
