source_notice_id,publication_date,publication_year,cpv_division,buyer_key,buyer_key_type,buyer_key_provenance,duration_months,duration_imputation_status,estimated_end_date,observable_followup_months,buyer_publication_frequency,later_same_buyer_notice_count,later_same_buyer_in_m0_window_count,m0_candidate_count,m0_best_candidate_notice_id,m0_best_score,m0_second_best_score,m0_score_margin,m0_accepted,m0_selected_candidate_notice_id,m0_selected_candidate_reuse_count,m1_candidate_count,m1_accepted,m1_selected_candidate_notice_id,m1_selected_candidate_reuse_count,m1_buyer_match_mechanism,profile_audited_link_present,profile_evidence_status,primary_linkage_status_reason,secondary_diagnostic_flags
18-151695,2018-10-28,2018,72,NAME:agce pour l enst fr a l etranger,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2022-10-28,92.47700394218134,9,4,0,0,,,,,False,,0,0,False,,0,,False,,later_same_buyer_notice_outside_m0_window,later_same_buyer_outside_m0_window
18-179065,2018-12-23,2018,72,NAME:agce pour l enst fr a l etranger,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2023-04-17,90.63731931668856,9,3,0,0,,,,,False,,0,0,False,,0,,False,,later_same_buyer_notice_outside_m0_window,later_same_buyer_outside_m0_window
19-8820,2019-01-19,2019,72,NAME:agce pour l enst fr a l etranger,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2023-07-27,89.75032851511169,9,2,0,0,,,,,False,,0,0,False,,0,,False,,later_same_buyer_notice_outside_m0_window,later_same_buyer_outside_m0_window
19-79758,2019-05-23,2019,79,NAME:agce pour l enst fr a l etranger,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2023-05-23,85.67674113009198,9,1,0,0,,,,,False,,0,0,False,,0,,False,,later_same_buyer_notice_outside_m0_window,later_same_buyer_outside_m0_window
20-79138,2020-06-19,2020,32,NAME:agce pour l enst fr a l etranger,NAME_FALLBACK,NAME_FALLBACK,36.0,imputed,2023-06-19,72.76609724047306,9,0,0,0,,,,,False,,0,0,False,,0,,False,,no_later_same_buyer_notice_observed,no_later_same_buyer_notice
22-121609,2022-09-11,2022,72,NAME:agence regionale de sante ars,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2026-09-11,46.02496714848883,1,0,0,0,,,,,False,,0,0,False,,0,,False,,no_later_same_buyer_notice_observed,no_later_same_buyer_notice
16-109275,2016-07-22,2016,,NAME:agence regionale pays de la loire ti,NAME_FALLBACK,NAME_FALLBACK,6.0,imputed,2017-01-22,119.67805519053876,6,5,3,3,17-46886,0.473375981706443,0.376682582904481,0.0966933988019619,True,17-46886,1,3,True,17-46886,1,M0_NAME_FALLBACK,True,NEUTRAL_SHARED_PLATFORM,linked_m0_balanced_proxy_event,ambiguous_multiple_candidates;same_candidate_m0_m1
16-166021,2016-11-16,2016,,NAME:agence regionale pays de la loire ti,NAME_FALLBACK,NAME_FALLBACK,6.0,imputed,2017-05-16,115.83442838370564,6,4,2,2,17-46886,0.2885500397828533,0.2212732605214128,0.0672767792614404,False,,0,2,False,,0,,False,,candidate_pool_below_balanced_threshold,ambiguous_multiple_candidates
17-14320,2017-02-01,2017,72,NAME:agence regionale pays de la loire ti,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2021-02-01,113.30486202365309,6,3,0,0,,,,,False,,0,0,False,,0,,False,,later_same_buyer_notice_outside_m0_window,later_same_buyer_outside_m0_window
17-46886,2017-04-06,2017,,NAME:agence regionale pays de la loire ti,NAME_FALLBACK,NAME_FALLBACK,6.0,imputed,2017-10-06,111.2023653088042,6,2,0,0,,,,,False,,0,0,False,,0,,False,,later_same_buyer_notice_outside_m0_window,later_same_buyer_outside_m0_window
