profile_row_id,domain_source,profile_buyer_name_raw,profile_buyer_name_normalized,url_raw,domain_normalized,registered_domain,subdomain,url_valid,is_email,has_multiple_values,normalization_status,normalization_warning,date_dernier_avis,dernier_site_en_date
35,profile,ACADEMIE DE PARIS,academie de paris,www.marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2018-02-21,False
36,profile,ACADEMIE DE REIMS,academie de reims,www.marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2019-12-21,True
37,profile,ACADEMIE DE REIMS,academie de reims,www.ac-reims.fr,ac-reims.fr,ac-reims.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2017-11-26,False
38,profile,ACFCI,acfci,www.marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2019-11-27,True
39,profile,ACG-SYNERGIES,acg-synergies,www.acg-synergies.fr,acg-synergies.fr,acg-synergies.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2020-10-06,True
40,profile,ACG-SYNERGIES,acg-synergies,www.e-marchespublics.com,e-marchespublics.com,e-marchespublics.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2020-01-04,False
41,profile,ACG-SYNERGIES,acg-synergies,acg-synergies.e-marchespublics.com,acg-synergies.e-marchespublics.com,e-marchespublics.com,acg-synergies,True,False,False,OK_WITH_WARNING,missing_protocol,2016-12-28,False
42,profile,ACHA,acha,www.achats-hopitaux.com,achats-hopitaux.com,achats-hopitaux.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2015-11-19,True
43,profile,ACHAT,achat,www.achats-hopitaux.com,achats-hopitaux.com,achats-hopitaux.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2015-06-08,True
44,profile,ACM OPH de la CA de Montpellier,acm oph de la ca de montpellier,marches-publics.acmhabitat.fr,marches-publics.acmhabitat.fr,acmhabitat.fr,marches-publics,True,False,False,OK_WITH_WARNING,missing_protocol,2019-12-25,True
45,profile,ACM OPH de la CA de Montpellier,acm oph de la ca de montpellier,marches-publics.oph-montpellier-agglo.fr,marches-publics.oph-montpellier-agglo.fr,oph-montpellier-agglo.fr,marches-publics,True,False,False,OK_WITH_WARNING,missing_protocol,2015-10-20,False
46,profile,ACOSS,acoss,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2020-12-25,True
47,profile,ACOSS,acoss,acoss.achatpublic.com,acoss.achatpublic.com,achatpublic.com,acoss,True,False,False,OK_WITH_WARNING,missing_protocol,2020-06-27,False
48,profile,ACOSS,acoss,www.acoss.achatpublic.com,acoss.achatpublic.com,achatpublic.com,acoss,True,False,False,OK_WITH_WARNING,missing_protocol,2020-04-10,False
49,profile,ACOSS,acoss,acoss.achatpublic.com.,acoss.achatpublic.com,achatpublic.com,acoss,True,False,False,OK_WITH_WARNING,missing_protocol,2016-05-12,False
50,profile,ACTION ENFANCE,action enfance,marchesonline.achatpublic.com,marchesonline.achatpublic.com,achatpublic.com,marchesonline,True,False,False,OK_WITH_WARNING,missing_protocol,2020-09-30,True
51,profile,ACTION LOGEMENT FORMATION,action logement formation,www.marches-publics.info,marches-publics.info,marches-publics.info,,True,False,False,OK_WITH_WARNING,missing_protocol,2020-03-06,True
52,profile,ACTION LOGEMENT GROUPE,action logement groupe,www.marches-publics.info,marches-publics.info,marches-publics.info,,True,False,False,OK_WITH_WARNING,missing_protocol,2020-12-10,True
53,profile,ACTION LOGEMENT GROUPE,action logement groupe,marches-publics.info,marches-publics.info,marches-publics.info,,True,False,False,OK_WITH_WARNING,missing_protocol,2017-11-17,False
54,profile,ACTION LOGEMENT IMMOBILIER,action logement immobilier,www.marches-publics.info,marches-publics.info,marches-publics.info,,True,False,False,OK_WITH_WARNING,missing_protocol,2020-11-30,True
55,profile,ACTION LOGEMENT SERVICES,action logement services,www.marches-publics.info,marches-publics.info,marches-publics.info,,True,False,False,OK_WITH_WARNING,missing_protocol,2019-10-21,True
56,profile,ACTION LOGEMENT SERVICES,action logement services,marches-publics.info,marches-publics.info,marches-publics.info,,True,False,False,OK_WITH_WARNING,missing_protocol,2017-10-25,False
57,profile,ACTION SOCIALE DELEG13,action sociale deleg13,www.boamp.fr,boamp.fr,boamp.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2016-02-29,True
58,profile,ACTIS(OPH),actis oph,www.marches-securises.fr,marches-securises.fr,marches-securises.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2015-10-09,True
59,profile,ADADSA,adadsa,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2016-06-08,True
60,profile,ADAFORSS,adaforss,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2018-11-12,True
61,profile,ADAFP CFA Lucien RAVIT,adafp cfa lucien ravit,www.boamp.fr,boamp.fr,boamp.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2015-10-02,True
62,profile,ADAPEI DE LA DROME,adapei de la drome,www.marches-publics.info,marches-publics.info,marches-publics.info,,True,False,False,OK_WITH_WARNING,missing_protocol,2017-07-28,True
