file,year_in_filename,field,non_null_count,non_null_rate,sample_values
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2025.parquet.parquet,2025,SN_06_categorieJuridiqueUniteLegale,137422,0.999992723197718,7113 | 7343 | 7344
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2025.parquet.parquet,2025,SN_10_denominationUniteLegale,137420,0.999978169593154,MINISTERE DE L'EUROPE ET DES AFFAIRES ETRANGERES | COMMUNAUTE URBAINE DE DUNKERQUE | METROPOLE NANTES METROPOLE
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2025.parquet.parquet,2025,SN_15_etatAdministratifUniteLegale,137422,0.999992723197718,A | C
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2025.parquet.parquet,2025,SN_18_nomUniteLegale,2,1.4553604564010391e-05,MAYO | DENTAL
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2025.parquet.parquet,2025,SN_29_sigleUniteLegale,36276,0.2639732795820205,SILA | G.P.M.G. | I.CDC
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2025.parquet.parquet,2025,SN_30_siren,137422,0.999992723197718,110006012 | 245900428 | 244400404
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2026.parquet.parquet,2026,B_04_codeDepartement,49890,1.0,"75,77,78,91,92,93,94,95 | 17 | 6"
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2026.parquet.parquet,2026,B_09_dateParution,49890,1.0,2026-01-01 00:00:00+00:00 | 2026-01-02 00:00:00+00:00 | 2026-01-03 00:00:00+00:00
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2026.parquet.parquet,2026,B_17_idweb,49890,1.0,25-143165 | 25-143166 | 25-143151
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2026.parquet.parquet,2026,B_20_nature,49889,0.9999799559029866,APPEL_OFFRE | ATTRIBUTION | EX_ANTE_VOLONTAIRE
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2026.parquet.parquet,2026,B_24_nomAcheteur,49890,1.0,Service du Premier ministre - DSAF | Syndicat Départemental de la Voirie (17) | SICTIAM (06)
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2026.parquet.parquet,2026,B_38_urlAvis,49890,1.0,https://www.boamp.fr/pages/avis/?q=idweb:25-143165 | https://www.boamp.fr/pages/avis/?q=idweb:25-143166 | https://www.boamp.fr/pages/avis/?q=idweb:25-143151
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2026.parquet.parquet,2026,B_46_NUM_SIRET_ACHETEURS_RECUP,34682,0.6951693726197635,12000103700023 | 25170182700015 | 25060187900076
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2026.parquet.parquet,2026,B_47_NOM_SIRET_ACHETEURS_RECUP,34682,0.6951693726197635,DIRECTION DES SERVICES ADMINISTRATIFS ET FINANCIERS | SYNDICAT DEPARTEMENTAL DE LA VOIRIE DES COLLECTIVITES DU DEPARTEMENT DE LA CHARE | SM D'INGENIERIE POUR LES COLLECTIVITES ET TERRITOIRES INNOVANTS DES ALPES-MEDITE
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2026.parquet.parquet,2026,B_48_NOM_CAT_JUR_ACHETEUR,49889,0.9999799559029866,Service central d'un ministère  | Syndicat mixte ouvert | Communauté de communes 
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2026.parquet.parquet,2026,SN_06_categorieJuridiqueUniteLegale,49889,0.9999799559029866,7120 | 7355 | 7346
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2026.parquet.parquet,2026,SN_10_denominationUniteLegale,49887,0.9999398677089597,DIRECTION DES SERVICES ADMINISTRATIFS ET FINANCIERS | SYNDICAT DEPARTEMENTAL DE LA VOIRIE DES COLLECTIVITES DU DEPARTEMENT DE LA CHARE | SM D'INGENIERIE POUR LES COLLECTIVITES ET TERRITOIRES INNOVANTS DES ALPES-MEDITE
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2026.parquet.parquet,2026,SN_15_etatAdministratifUniteLegale,49889,0.9999799559029866,A | C
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2026.parquet.parquet,2026,SN_18_nomUniteLegale,2,4.008819402685909e-05,DENTAL
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2026.parquet.parquet,2026,SN_29_sigleUniteLegale,13809,0.2767889356584486,DSAF | SICTIAM | COMPA
data/raw/buyer_siren_enrichment_m1/boamp-avec-siren-acheteurs-2026.parquet.parquet,2026,SN_30_siren,49889,0.9999799559029866,120001037 | 251701827 | 250601879
