variant,term,test_statistic,p,-log2(p)
forward_24m_no_duration,buyer_key_type_RAW_SIRET,0.14148783510895704,0.706806360214868,0.5006130728116917
forward_24m_no_duration,cpv_division_22.0,1.6780154467719939,0.19518836177666515,2.357061060980667
forward_24m_no_duration,cpv_division_30.0,3.431610897536307,0.06395968613257924,3.966693330632566
forward_24m_no_duration,cpv_division_31.0,0.0025676243745457166,0.9595871026860875,0.05951432764353528
forward_24m_no_duration,cpv_division_32.0,0.0787008219179649,0.7790657976374632,0.3601829156163699
forward_24m_no_duration,cpv_division_33.0,3.5546411539079874,0.05937914584858101,4.073899849041589
forward_24m_no_duration,cpv_division_34.0,0.0012249594041112066,0.9720802033211707,0.04085274385446249
forward_24m_no_duration,cpv_division_35.0,0.003496461221555082,0.9528478612851199,0.0696822136915257
forward_24m_no_duration,cpv_division_38.0,0.9864903056027847,0.32060169000740335,1.641146064407772
forward_24m_no_duration,cpv_division_39.0,0.1563220835443215,0.6925655097674739,0.5299775527556532
forward_24m_no_duration,cpv_division_42.0,0.35750285315217295,0.5498963682994535,0.8627683363001729
forward_24m_no_duration,cpv_division_43.0,19.553733724251806,9.780938854976765e-06,16.641595615761197
forward_24m_no_duration,cpv_division_44.0,0.6415628695259369,0.4231454255079077,1.2407745246806967
forward_24m_no_duration,cpv_division_45.0,2.0985739195763093,0.14743659466421405,2.7618334402777927
forward_24m_no_duration,cpv_division_48.0,0.16956030592159874,0.6805028736554544,0.5553268408734198
forward_24m_no_duration,cpv_division_50.0,1.1994438877921099,0.2734328555327313,1.8707414881313411
forward_24m_no_duration,cpv_division_51.0,0.00897287198756632,0.9245330657466188,0.11320317662554763
forward_24m_no_duration,cpv_division_55.0,0.0005531323293591632,0.9812364699419934,0.027327238869279492
forward_24m_no_duration,cpv_division_64.0,7.233460486481823,0.007155714471340265,7.126688462811644
forward_24m_no_duration,cpv_division_65.0,0.0005527641587395202,0.9812427144307427,0.027318057734495204
forward_24m_no_duration,cpv_division_66.0,0.2901288201027217,0.5901379911608617,0.7608757575545056
forward_24m_no_duration,cpv_division_71.0,0.02940040723026895,0.8638577796674397,0.211134279555814
forward_24m_no_duration,cpv_division_72.0,3.4495223214899635,0.06327005269504185,3.982333392359709
forward_24m_no_duration,cpv_division_75.0,0.5656813173951102,0.45198016753652814,1.1456686249558117
forward_24m_no_duration,cpv_division_77.0,196.05757740196185,1.514253784018928e-44,145.56622915845048
forward_24m_no_duration,cpv_division_79.0,0.6216475643819555,0.43043569893480627,1.2161303596033761
forward_24m_no_duration,cpv_division_80.0,3.7784868650226757,0.05191558875900829,4.267688386288817
forward_24m_no_duration,cpv_division_85.0,0.0021077384332660446,0.9633818940376003,0.05382028496250096
forward_24m_no_duration,cpv_division_9.0,0.009076902230940261,0.9240981642760671,0.11388198178281814
forward_24m_no_duration,cpv_division_90.0,0.07464355471957859,0.7846920035554067,0.3498015964702093
forward_24m_no_duration,cpv_division_92.0,1.666127404585189,0.19677804058270768,2.3453588625743693
forward_24m_no_duration,cpv_division_MISSING,5.253897385464205,0.021897671497132672,5.513078721689863
forward_24m_no_duration,dur_was_imputed,0.10500954150585316,0.7458988497556789,0.42294809289213736
forward_24m_no_duration,duration_sq,0.005332198614652832,0.9417886863457722,0.0865247031597613
forward_24m_no_duration,log_duration,1.6235183803216993,0.20260189673576695,2.30328041433925
